model_label,score_role,score_path,score_exists,score_len,score_shape,matrix_role,matrix_path,matrix_rows,matrix_shape,expected_rows,alignment_status,note
dA_official_reference,full_id_scores,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\original100_fewshot_official_control_2026-04-22\score_cache\da_full_id_scores.npy,True,50000,"(50000,)",id_source_100,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\data\id_source_100.npy,50000,"(50000, 100)",50000,aligned,official few-shot package cache
dA_official_reference,ood_scores,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\original100_fewshot_official_control_2026-04-22\score_cache\da_ood_scores.npy,True,20000,"(20000,)",ood_benign_source_100,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\data\ood_benign_source_100.npy,20000,"(20000, 100)",20000,aligned,official few-shot package cache
dA_official_reference,attack_scores,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\original100_fewshot_official_control_2026-04-22\score_cache\da_attack_scores.npy,True,10000,"(10000,)",attack_source_100,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_joint_eval_stage1_2026-03-31\data\attack_source_100.csv,10000,"(10000, 'unknown_cols')",10000,aligned,must preserve attack_source_100 row order
transformer_seed42,id_scores,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\id_scores.npy,True,5000,"(5000,)",id_source_100,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\data\id_source_100.npy,50000,"(50000, 100)",50000,length_mismatch,legacy cache has only 5000 ID rows; not current 50k split
transformer_seed42,ood_scores,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\iot23_ood_benign_scores.npy,True,20000,"(20000,)",ood_benign_source_100,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\data\ood_benign_source_100.npy,20000,"(20000, 100)",20000,aligned,legacy cache aligns to OOD rows
transformer_seed42,attack_scores,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_joint_eval_stage1_2026-03-31\transformer_attack_scores.npy,True,10000,"(10000,)",attack_source_100,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_joint_eval_stage1_2026-03-31\data\attack_source_100.csv,10000,"(10000, 'unknown_cols')",10000,aligned,stage1 attack score cache
transformer_tailreg_seed42,id_scores,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_tailreg_seed42\id_scores.npy,True,5000,"(5000,)",id_source_100,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\data\id_source_100.npy,50000,"(50000, 100)",50000,length_mismatch,legacy cache has only 5000 ID rows; not current 50k split
transformer_tailreg_seed42,ood_scores,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_tailreg_seed42\iot23_ood_benign_scores.npy,True,20000,"(20000,)",ood_benign_source_100,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\data\ood_benign_source_100.npy,20000,"(20000, 100)",20000,aligned,legacy cache aligns to OOD rows
transformer_tailreg_seed42,attack_scores,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_joint_eval_stage1_2026-03-31\transformer_tailreg_attack_scores.npy,True,10000,"(10000,)",attack_source_100,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_joint_eval_stage1_2026-03-31\data\attack_source_100.csv,10000,"(10000, 'unknown_cols')",10000,aligned,stage1 attack score cache
deep_svdd,raw_scores,N/A,False,N/A,N/A,input matrices,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\frontend100_deep_svdd_baseline_2026-04-09\inputs\attack_source_100.csv,10000,"(10000, 'unknown_cols')",10000,score_missing,no raw per-sample score cache retained in returned package
ft_transformer_ae,raw_scores,N/A,False,N/A,N/A,source_root matrices,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\frontend100_modern_tabular_baselines_ft_2026-04-14\source_root\runs\frontend100_joint_eval_stage1_2026-03-31\data\attack_source_100.csv,10000,"(10000, 'unknown_cols')",10000,score_missing,no raw per-sample score cache retained in returned package
original100_fewshot_logistic,raw_scores,N/A,False,N/A,N/A,original100 split matrices,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_joint_eval_stage1_2026-03-31\data\attack_source_100.csv,10000,"(10000, 'unknown_cols')",10000,score_missing,raw decision scores not retained; no retraining in this audit
source_rich_fewshot_logistic,raw_scores,N/A,False,N/A,N/A,source_rich matrices,N/A,N/A,N/A,N/A,score_missing,raw decision scores not retained; no retraining in this audit
