representation,positive_budget,threshold_policy,paper_role,appendix_candidate,n_seeds,auc_mean,auc_min,auc_max,ood_alarm_mean,ood_alarm_max,attack_detection_mean,attack_detection_min,feasible_rate
original100,16,fixed_id_calib_q99,official control,False,5,0.9906719854545454,0.9580066909090909,0.9999739636363636,0.0045,0.0095,0.9675636363636363,0.9141818181818182,1.0
original100,16,guarded_id_calib_and_ood_val_target1pct,official control,False,5,0.9906719854545454,0.9580066909090909,0.9999739636363636,0.0044399999999999995,0.0092,0.9675636363636363,0.9141818181818182,1.0
original100,32,fixed_id_calib_q99,official control,False,5,0.9846152290909093,0.9676323636363636,0.9999097454545456,0.006520000000000001,0.0098,0.9406545454545455,0.9207272727272728,1.0
original100,32,guarded_id_calib_and_ood_val_target1pct,official control,False,5,0.9846152290909093,0.9676323636363636,0.9999097454545456,0.006520000000000001,0.0098,0.9406545454545455,0.9207272727272728,1.0
source_rich,16,fixed_id_calib_q99,complementary hard-holdout robustness / auditability asset,False,5,0.9775879272727274,0.9645766545454546,0.9924165090909092,0.0058200000000000005,0.0096,0.9488,0.9272727272727272,1.0
source_rich,16,guarded_id_calib_and_ood_val_target1pct,complementary hard-holdout robustness / auditability asset,False,5,0.9775879272727274,0.9645766545454546,0.9924165090909092,0.005640000000000001,0.0088,0.9486545454545455,0.9272727272727272,1.0
source_rich,32,fixed_id_calib_q99,complementary hard-holdout robustness / auditability asset,False,5,0.9775962181818182,0.9682272,0.9906644363636362,0.007520000000000001,0.0109,0.958690909090909,0.9476363636363636,0.8
source_rich,32,guarded_id_calib_and_ood_val_target1pct,complementary hard-holdout robustness / auditability asset,False,5,0.9775962181818182,0.9682272,0.9906644363636362,0.00742,0.0109,0.958690909090909,0.9476363636363636,0.8
source_rich,64,fixed_id_calib_q99,complementary hard-holdout robustness / auditability asset,True,5,0.9836837672727272,0.9640362909090908,0.9974102545454544,0.010400000000000001,0.0218,0.9533090909090909,0.9250909090909092,0.6
source_rich,64,guarded_id_calib_and_ood_val_target1pct,complementary hard-holdout robustness / auditability asset,True,5,0.9836837672727272,0.9640362909090908,0.9974102545454544,0.0081,0.0142,0.9515636363636364,0.9207272727272728,0.6
