representation,positive_budget,seed,threshold_policy,auc_attack_vs_ood,ood_alarm,attack_detection,feasible,note,appendix_candidate,paper_role
original100,16,42,fixed_id_calib_q99,0.999768290909091,0.0015,0.9992727272727272,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,16,42,guarded_id_calib_and_ood_val_target1pct,0.999768290909091,0.0015,0.9992727272727272,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,16,43,fixed_id_calib_q99,0.9964683636363636,0.0056,0.9301818181818182,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,16,43,guarded_id_calib_and_ood_val_target1pct,0.9964683636363636,0.0056,0.9301818181818182,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,16,44,fixed_id_calib_q99,0.9999739636363636,0.0012,0.9992727272727272,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,16,44,guarded_id_calib_and_ood_val_target1pct,0.9999739636363636,0.0012,0.9992727272727272,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,16,45,fixed_id_calib_q99,0.9580066909090909,0.0047,0.9141818181818182,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,16,45,guarded_id_calib_and_ood_val_target1pct,0.9580066909090909,0.0047,0.9141818181818182,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,16,46,fixed_id_calib_q99,0.9991426181818182,0.0095,0.9949090909090909,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,16,46,guarded_id_calib_and_ood_val_target1pct,0.9991426181818182,0.0092,0.9949090909090909,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,32,42,fixed_id_calib_q99,0.9868984727272728,0.0047,0.9272727272727272,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,32,42,guarded_id_calib_and_ood_val_target1pct,0.9868984727272728,0.0047,0.9272727272727272,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,32,43,fixed_id_calib_q99,0.9676323636363636,0.0067,0.9236363636363636,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,32,43,guarded_id_calib_and_ood_val_target1pct,0.9676323636363636,0.0067,0.9236363636363636,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,32,44,fixed_id_calib_q99,0.9881501818181818,0.0078,0.9323636363636364,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,32,44,guarded_id_calib_and_ood_val_target1pct,0.9881501818181818,0.0078,0.9323636363636364,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,32,45,fixed_id_calib_q99,0.9999097454545456,0.0036,0.9992727272727272,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,32,45,guarded_id_calib_and_ood_val_target1pct,0.9999097454545456,0.0036,0.9992727272727272,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,32,46,fixed_id_calib_q99,0.980485381818182,0.0098,0.9207272727272728,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
original100,32,46,guarded_id_calib_and_ood_val_target1pct,0.980485381818182,0.0098,0.9207272727272728,True,reused original100 official-control seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,official control
source_rich,16,42,fixed_id_calib_q99,0.9756540363636363,0.0096,0.9585454545454546,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,16,42,guarded_id_calib_and_ood_val_target1pct,0.9756540363636363,0.0088,0.9578181818181818,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,16,43,fixed_id_calib_q99,0.9809626181818184,0.0044,0.9490909090909092,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,16,43,guarded_id_calib_and_ood_val_target1pct,0.9809626181818184,0.0044,0.9490909090909092,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,16,44,fixed_id_calib_q99,0.9645766545454546,0.0066,0.9272727272727272,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,16,44,guarded_id_calib_and_ood_val_target1pct,0.9645766545454546,0.0066,0.9272727272727272,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,16,45,fixed_id_calib_q99,0.9743298181818182,0.0038,0.9505454545454546,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,16,45,guarded_id_calib_and_ood_val_target1pct,0.9743298181818182,0.0037,0.9505454545454546,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,16,46,fixed_id_calib_q99,0.9924165090909092,0.0047,0.9585454545454546,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,16,46,guarded_id_calib_and_ood_val_target1pct,0.9924165090909092,0.0047,0.9585454545454546,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,32,42,fixed_id_calib_q99,0.9793655272727272,0.0074,0.9636363636363636,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,32,42,guarded_id_calib_and_ood_val_target1pct,0.9793655272727272,0.007,0.9636363636363636,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,32,43,fixed_id_calib_q99,0.9759447272727272,0.0059,0.962181818181818,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,32,43,guarded_id_calib_and_ood_val_target1pct,0.9759447272727272,0.0058,0.962181818181818,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,32,44,fixed_id_calib_q99,0.9737792,0.0066,0.9585454545454546,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,32,44,guarded_id_calib_and_ood_val_target1pct,0.9737792,0.0066,0.9585454545454546,True,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,32,45,fixed_id_calib_q99,0.9906644363636362,0.0109,0.9614545454545456,False,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
source_rich,32,45,guarded_id_calib_and_ood_val_target1pct,0.9906644363636362,0.0109,0.9614545454545456,False,reused source_rich v7.2 seed-level result; no retraining; E3/E3-b no-leakage audit passed,False,complementary hard-holdout robustness / auditability asset
