attack_family,records,sessions,missing_records,finite_records,attributed_missing_records,identifiability_status
File Download,18,4,3,15,0,NO_IDENTIFIABLE_MISSINGNESS_MECHANISM_WITHOUT_REDECODE
Ingress Tool Transfer,21,1,0,21,0,NO_IDENTIFIABLE_MISSINGNESS_MECHANISM_WITHOUT_REDECODE
Merlin C&C Communication,35,33,32,3,0,NO_IDENTIFIABLE_MISSINGNESS_MECHANISM_WITHOUT_REDECODE
Merlin ICMP Flooding,51,51,51,0,0,NO_IDENTIFIABLE_MISSINGNESS_MECHANISM_WITHOUT_REDECODE
Merlin TCP Flooding,71,59,0,71,0,NO_IDENTIFIABLE_MISSINGNESS_MECHANISM_WITHOUT_REDECODE
Merlin UDP Flooding,36,36,0,36,0,NO_IDENTIFIABLE_MISSINGNESS_MECHANISM_WITHOUT_REDECODE
Mirai C&C Communication,11,1,0,11,0,NO_IDENTIFIABLE_MISSINGNESS_MECHANISM_WITHOUT_REDECODE
Mirai GRE Flooding,70,70,70,0,0,NO_IDENTIFIABLE_MISSINGNESS_MECHANISM_WITHOUT_REDECODE
Mirai TCP Flooding,70,61,0,70,0,NO_IDENTIFIABLE_MISSINGNESS_MECHANISM_WITHOUT_REDECODE
Mirai UDP Flooding,71,8,6,65,0,NO_IDENTIFIABLE_MISSINGNESS_MECHANISM_WITHOUT_REDECODE
ToN-credential_bruteforce,2000,1986,0,2000,0,NO_IDENTIFIABLE_MISSINGNESS_MECHANISM_WITHOUT_REDECODE
ToN-reconnaissance_scan,2000,2000,0,2000,0,NO_IDENTIFIABLE_MISSINGNESS_MECHANISM_WITHOUT_REDECODE
benign,21013,15070,11478,9535,0,NO_IDENTIFIABLE_MISSINGNESS_MECHANISM_WITHOUT_REDECODE
