member_index,dataset_kind,container_path,raw_source_path,target_count,status,checkpoint_identity,checkpoint_sha256,discovery_packets,replay_packets
1,direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\normal_1.pcap,normal_1.pcap,4000,COMPUTED_EXACT_TWOPASS,1a51ea2acefb12e4a3620ae6f50bc3f5fae18383c43a4b1ba650f8859f1ac1b0,223118e6a2e0b34c324ae3a9d4ae6b285f997c49178ea76c9585af68dc170f7b,1999922,1999922
2,direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\normal_2.pcap,normal_2.pcap,4000,COMPUTED_EXACT_TWOPASS,d577648ec97d2ebfb871615575c1cd77480012ebd955a995795d2230c2bc6bba,e5260bdf1e2f81a301dd19d50f225a83087bdf8a1d08b47787f12cac8ba03965,1999922,1999922
3,direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\normal_scanning1.pcap,normal_scanning1.pcap,2000,COMPUTED_EXACT_TWOPASS,8b3a1ead56afe259f7a24739de1ff84a4ac247677833a259a7e847c9ef6f99b3,8ac0d507a9674cbae94d475fd47c28693973b69db4bb5104aa17a0d6a06531fd,624503,624503
4,direct_pcap,D:\study\paper\anomaly_detection\paper04\datasets\external\ton_iot_raw_network\raw_pcap_pilot_v1\password_normal1.pcap,password_normal1.pcap,2000,COMPUTED_EXACT_TWOPASS,2c258b50acc16dbb414e1ee13c4bf4bfcc64ba409d9ff59a18a5b142e4392cd8,7836e10804b01c1498046277750e1ae2da82f072fc3e1d97231934f261cd8420,1687310,1687310
5,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,1690,COMPUTED_EXACT_TWOPASS,540b092db18b3a89dbc71ddcb38f92595ead37f8ec093d1750157c7469a0b788,5d7bbc6ed33272db03234c8ded63896928aaad8f549cf73e6ba771c950bcc3ae,2392,2392
6,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,914,COMPUTED_EXACT_TWOPASS,aea850d39a4210c535953efe71d8bc2cbd00efa569439351334dab41d5a10063,f5db85d3a2495cf9a4cf3552a208a155c410661f162685645d99de15c82c2ccc,1350,1350
7,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0.pcap,600,COMPUTED_EXACT_TWOPASS,bc22b78b4f52466749031b83a96517680a0e5a16c941c88038fa0d20b473b538,d87974158d0220b8d2716c423eb9e554825f54928b94fdb377db21d8bdb6597c,1100,1100
8,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,600,COMPUTED_EXACT_TWOPASS,ac3fa73063ec15803660dff793aeea2842a3a7e6cb929e9f357ca908f3e1ee24,807344659187010c590100ab18684fd6c4b719466f63f8cda4bb169a221c9c3e,1100,1100
9,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0.pcap,600,COMPUTED_EXACT_TWOPASS,0f8241b91250aa8bd4dc8260c03e64bb3ad8eb37b8bd0d07d5702ffd565821a7,f6d2da5258a24f967164549449563f70955733514b0d1bd3604d1f9401f71a2d,1100,1100
10,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0.pcap,600,COMPUTED_EXACT_TWOPASS,0203e003ae8a2a2a362bca507f5ac5bbf45d77aace82f735a5cd7381de9227ef,3524582ff024763715dbda00f1229680f0bcd7786fd8c0f9a46b451a39584eb1,1100,1100
11,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0.pcap,600,COMPUTED_EXACT_TWOPASS,09ad39ffeb317b7eea8df212d5d384b004ad262224647604baa7f9e3e488100f,19905af454e8c6a48da9111481a5da45776ee671d31f8fae3f3e997c2e114bae,1100,1100
12,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0.pcap,600,COMPUTED_EXACT_TWOPASS,5e0cca6fd4a8dc088f84b1b5079648635d79a70d9950b766e0e9a6e282cb37a1,22069af04ea3691a4e1f75943e7bff2762ff135c951fff8160a9d74c2d6bea35,1100,1100
13,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0.pcap,600,COMPUTED_EXACT_TWOPASS,311c868c2bdde5cd90e3ef8185d9b534c3f32cd392c33c38b458a069c162cf5a,aa00b7be9b6836af3a2ce522318486f2b3c2e2f31aad394e8b6fd38021972662,1100,1100
14,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0.pcap,600,COMPUTED_EXACT_TWOPASS,55fba4885c153f9042d78fd5a9abdf55cc415eace0fa1b88d28030b426fee513,7c7fb824fa37b5e9e6696996550c4c9eb3786a5df7df5d9e124d5998fc598118,1100,1100
15,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0.pcap,600,COMPUTED_EXACT_TWOPASS,af8ad8b3ae81e7759d742422106d5a04454d24f423b4bfa31c38d56cbff4f1e3,d703f132bc7eb22ee65399d7964973d784d334c4f053732c6a100486ba5ec276,1100,1100
16,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0.pcap,600,COMPUTED_EXACT_TWOPASS,56cc386ec5ea5602babb10bc3fa8d937ec047e2fb223d40c6874e956a1576921,cf2972b07730e38abb2db303bf859b2ed82af367331bc0a60f47995e3666df80,1100,1100
17,gotham_zip,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\raw\GothamDataset2025.zip,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,600,COMPUTED_EXACT_TWOPASS,66982b1e947c53895a0ecca43cd4aa2dac7ba3825191cc76a83a77761c77206f,688c8c95019e27812a52a7b01a572b42d1d5e2fa43485cff532c74f4075d7487,1100,1100
