attack_family,missing_targets,SESSION_TIMESTAMP_REGRESSION,NO_IP_SESSION_KEY,UNSUPPORTED_IP_PROTOCOL_NOT_TCP_UDP,NONFINITE_TARGET_TIMESTAMP
File Download,3,3,0,0,0
Ingress Tool Transfer,0,0,0,0,0
Merlin C&C Communication,32,32,0,0,0
Merlin ICMP Flooding,51,12,0,51,0
Merlin TCP Flooding,0,0,0,0,0
Merlin UDP Flooding,0,0,0,0,0
Mirai C&C Communication,0,0,0,0,0
Mirai GRE Flooding,70,0,0,70,0
Mirai TCP Flooding,0,0,0,0,0
Mirai UDP Flooding,6,0,0,6,0
ToN-credential_bruteforce,0,0,0,0,0
ToN-reconnaissance_scan,0,0,0,0,0
benign,11478,0,9605,11478,0
