group_kind,group_value,targets,targets_with_regression,regression_count_sum
device_family,city-power,160,4,4
device_family,combined-cycle,39,0,0
device_family,iotsim-building-monitor,3804,0,0
device_family,iotsim-combined-cycle,4800,0,0
device_family,iotsim-combined-cycle-tls,2009,0,0
device_family,iotsim-domotic-monitor,2400,0,0
device_family,ip-camera-museum,255,16,22
device_family,ton-iot-external,12000,0,0
attack_family,File Download,18,0,0
attack_family,Ingress Tool Transfer,21,0,0
attack_family,Merlin C&C Communication,35,16,22
attack_family,Merlin ICMP Flooding,51,4,4
attack_family,Merlin TCP Flooding,71,0,0
attack_family,Merlin UDP Flooding,36,0,0
attack_family,Mirai C&C Communication,11,0,0
attack_family,Mirai GRE Flooding,70,0,0
attack_family,Mirai TCP Flooding,70,0,0
attack_family,Mirai UDP Flooding,71,0,0
attack_family,ToN-credential_bruteforce,2000,0,0
attack_family,ToN-reconnaissance_scan,2000,0,0
attack_family,benign,21013,0,0
