nested_split,source_group,targets,prefix_events,unk_events,unk_rate
train,iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,600,2022,0,0.0
train,iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,600,789,0,0.0
internal_val,iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,600,784,0,0.0
train,iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,600,783,0,0.0
train,iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,600,3447,0,0.0
internal_val,iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,600,2497,27,0.010812975570684821
train,iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,600,2149,0,0.0
internal_val,normal_1.pcap,4000,191626,149731,0.7813710039347479
train,password_normal1.pcap,2000,16814,0,0.0
train,processed/iotsim-building-monitor-2.csv,1690,4441,0,0.0
train,processed/iotsim-building-monitor-3.csv,914,2443,0,0.0
train,processed/iotsim-city-power-1.csv,115,3228,0,0.0
internal_val,processed/iotsim-combined-cycle-10.csv,6,454,277,0.6101321585903083
train,processed/iotsim-combined-cycle-tls-3.csv,270,2089,0,0.0
train,processed/iotsim-combined-cycle-tls-4.csv,270,2033,0,0.0
train,processed/iotsim-combined-cycle-tls-5.csv,269,2070,0,0.0
train,processed/iotsim-ip-camera-museum-1.csv,132,5228,0,0.0
