method,input_mode,positive_budget,positive_sample_seed,threshold_policy,threshold,target_alarm,selection_feasible,feasible,id_calib_alarm,id_eval_alarm,ood_val_alarm,final_ood_alarm,attack_detection_val,attack_detection,roc_auc_attack_vs_ood,pr_auc_attack_vs_ood,train_time_seconds,inference_time_seconds,inference_samples,inference_latency_ms_per_sample,num_trainable_params,feature_dim,solver_converged
da_score_only_fewshot_lr,da_score_only,32,42,guarded_id_calib_and_ood_val_target1pct,0.0021614079548527704,0.01,True,True,0.0098,0.010228571428571429,0.0,0.0,0.0,0.0,0.19363912727272728,0.08448834137349488,0.012443500105291605,0.003893500193953514,54749,7.111545770614101e-05,2,1,True
da_score_only_fewshot_lr,da_score_only,32,43,guarded_id_calib_and_ood_val_target1pct,0.0021611118549420966,0.01,True,True,0.0086,0.008342857142857143,0.0,0.0,0.0,0.0,0.19363090909090908,0.08445772353333503,0.009268800029531121,0.003551499918103218,54749,6.486876323043742e-05,2,1,True
da_score_only_fewshot_lr,da_score_only,32,44,guarded_id_calib_and_ood_val_target1pct,0.0021643237211945165,0.01,True,True,0.0088,0.008742857142857142,0.0,0.0,0.0,0.0,0.19363563636363634,0.08443634643780643,0.010862299939617515,0.0033575999550521374,54749,6.132714670682821e-05,2,1,True
da_score_only_fewshot_lr,da_score_only,32,45,guarded_id_calib_and_ood_val_target1pct,0.0021611711286431898,0.01,True,True,0.009,0.0092,0.0,0.0,0.0,0.0,0.19364163636363635,0.08447252435762118,0.01641739998012781,0.0025722000282257795,54749,4.6981680546234265e-05,2,1,True
da_score_only_fewshot_lr,da_score_only,32,46,guarded_id_calib_and_ood_val_target1pct,0.0021613712954043837,0.01,True,True,0.0092,0.0098,0.0,0.0,0.0,0.0,0.19363403636363635,0.08447255268569658,0.013896999880671501,0.00374580011703074,54749,6.841769013188807e-05,2,1,True
original100_plus_da_score_fewshot_lr,original100_plus_da_score,32,42,guarded_id_calib_and_ood_val_target1pct,-3.4867630568950045,0.01,True,True,0.0098,0.013857142857142858,0.002,0.0048,0.9708879184861717,0.9272727272727272,0.9869205818181818,0.9294721428512178,0.9113520998507738,0.07971909991465509,54749,0.001456083214572962,102,101,True
original100_plus_da_score_fewshot_lr,original100_plus_da_score,32,43,guarded_id_calib_and_ood_val_target1pct,-3.5999626665304802,0.01,True,True,0.0098,0.016142857142857143,0.001,0.0067,0.9606986899563319,0.9236363636363636,0.9676533818181817,0.9196159277420377,0.9820014999713749,0.07119629997760057,54749,0.0013004127925185954,102,101,True
original100_plus_da_score_fewshot_lr,original100_plus_da_score,32,44,guarded_id_calib_and_ood_val_target1pct,-3.4390499885672527,0.01,True,True,0.01,0.013914285714285714,0.0025,0.0078,0.9672489082969432,0.9323636363636364,0.9881501090909091,0.9089761727029785,0.8741282001137733,0.07976419990882277,54749,0.0014569069738045038,102,101,True
original100_plus_da_score_fewshot_lr,original100_plus_da_score,32,45,guarded_id_calib_and_ood_val_target1pct,-2.3785264359101843,0.01,True,True,0.01,0.013257142857142858,0.0025,0.0036,0.9992721979621543,0.9992727272727273,0.9999098181818182,0.9992061036368235,1.3171401999425143,0.10125409997999668,54749,0.0018494237334014628,102,101,True
original100_plus_da_score_fewshot_lr,original100_plus_da_score,32,46,guarded_id_calib_and_ood_val_target1pct,-4.3047891371022935,0.01,True,True,0.01,0.01562857142857143,0.004,0.0099,0.9614264919941776,0.9207272727272727,0.9804801454545454,0.9527417038829743,0.8627925999462605,0.0929454998113215,54749,0.0016976657073429924,102,101,True
