base_detector,strategy,budget,seed_group,attack_high_detection,attack_review_rate,attack_total_captured,OOD_high_alarm,OOD_review_rate,OOD_total_burden,feasible_high_alarm,feasible_total_burden,high_alert_attack_fraction,review_burden_ratio,computation_status,reason
dA,base_only,32,main_42_46_and_heldout_47_51,,,,,,,,,,,not_computed_missing_gda_per_sample_score,"issue11 saved aggregate GDA-minimal metrics and thresholds, but not per-sample gda_score or trained model artifacts."
dA,gda_only,32,main_42_46_and_heldout_47_51,,,,,,,,,,,not_computed_missing_gda_per_sample_score,"issue11 saved aggregate GDA-minimal metrics and thresholds, but not per-sample gda_score or trained model artifacts."
dA,OR_policy,32,main_42_46_and_heldout_47_51,,,,,,,,,,,not_computed_missing_gda_per_sample_score,"issue11 saved aggregate GDA-minimal metrics and thresholds, but not per-sample gda_score or trained model artifacts."
dA,AND_policy,32,main_42_46_and_heldout_47_51,,,,,,,,,,,not_computed_missing_gda_per_sample_score,"issue11 saved aggregate GDA-minimal metrics and thresholds, but not per-sample gda_score or trained model artifacts."
dA,mode_gated_arbitration,32,main_42_46_and_heldout_47_51,,,,,,,,,,,not_computed_missing_gda_per_sample_score,"issue11 saved aggregate GDA-minimal metrics and thresholds, but not per-sample gda_score or trained model artifacts."
Transformer,base_only,32,main_42_46_and_heldout_47_51,,,,,,,,,,,not_computed_missing_gda_per_sample_score,"issue11 saved aggregate GDA-minimal metrics and thresholds, but not per-sample gda_score or trained model artifacts."
Transformer,gda_only,32,main_42_46_and_heldout_47_51,,,,,,,,,,,not_computed_missing_gda_per_sample_score,"issue11 saved aggregate GDA-minimal metrics and thresholds, but not per-sample gda_score or trained model artifacts."
Transformer,OR_policy,32,main_42_46_and_heldout_47_51,,,,,,,,,,,not_computed_missing_gda_per_sample_score,"issue11 saved aggregate GDA-minimal metrics and thresholds, but not per-sample gda_score or trained model artifacts."
Transformer,AND_policy,32,main_42_46_and_heldout_47_51,,,,,,,,,,,not_computed_missing_gda_per_sample_score,"issue11 saved aggregate GDA-minimal metrics and thresholds, but not per-sample gda_score or trained model artifacts."
Transformer,mode_gated_arbitration,32,main_42_46_and_heldout_47_51,,,,,,,,,,,not_computed_missing_gda_per_sample_score,"issue11 saved aggregate GDA-minimal metrics and thresholds, but not per-sample gda_score or trained model artifacts."
