base_detector,seed_group,review_policy,review_budget_target,n_seeds,review_budget_used_mean,attack_high_detection_mean,OOD_high_alarm_mean,attack_review_rate_mean,OOD_review_rate_mean,attack_total_captured_mean,OOD_total_burden_mean,review_attack_fraction_mean,high_alert_attack_fraction_mean,attack_captured_per_100_review_mean,review_budget_used_min,attack_high_detection_min,OOD_high_alarm_min,attack_review_rate_min,OOD_review_rate_min,attack_total_captured_min,OOD_total_burden_min,review_attack_fraction_min,high_alert_attack_fraction_min,attack_captured_per_100_review_min,review_budget_used_max,attack_high_detection_max,OOD_high_alarm_max,attack_review_rate_max,OOD_review_rate_max,attack_total_captured_max,OOD_total_burden_max,review_attack_fraction_max,high_alert_attack_fraction_max,attack_captured_per_100_review_max,feasible_high_alarm_rate,feasible_total_burden_1pct_rate,feasible_total_burden_2pct_rate
Transformer,heldout_support_47_51,review_all,all,5,109.0,0.9922909090909091,0.00442,0.0002909090909090909,0.01086,0.9925818181818181,0.015279999999999998,0.0036363636363636364,0.9687781847483761,0.36363636363636365,108,0.984,0.0019,0.0,0.0108,0.984,0.0128,0.0,0.942200557103064,0.0,110,1.0,0.0083,0.0014545454545454545,0.0109,1.0,0.0191,0.01818181818181818,0.986321094312455,1.8181818181818181,1.0,0.0,1.0
Transformer,heldout_support_47_51,review_off,0.0,5,0.0,0.9922909090909091,0.00442,0.0,0.0,0.9922909090909091,0.00442,,0.9687781847483761,,0,0.984,0.0019,0.0,0.0,0.984,0.0019,,0.942200557103064,,0,1.0,0.0083,0.0,0.0,1.0,0.0083,,0.986321094312455,,1.0,1.0,1.0
Transformer,heldout_support_47_51,review_top_0.25pct,0.0025,5,25.0,0.9922909090909091,0.00442,0.0,0.0025,0.9922909090909091,0.00692,0.0,0.9687781847483761,0.0,25,0.984,0.0019,0.0,0.0025,0.984,0.0044,0.0,0.942200557103064,0.0,25,1.0,0.0083,0.0,0.0025,1.0,0.0108,0.0,0.986321094312455,0.0,1.0,0.8,1.0
Transformer,heldout_support_47_51,review_top_0.5pct,0.005,5,50.0,0.9922909090909091,0.00442,0.00014545454545454546,0.00498,0.9924363636363637,0.0094,0.004,0.9687781847483761,0.4,50,0.984,0.0019,0.0,0.0049,0.984,0.0069,0.0,0.942200557103064,0.0,50,1.0,0.0083,0.0007272727272727272,0.005,1.0,0.0133,0.02,0.986321094312455,2.0,1.0,0.8,1.0
Transformer,heldout_support_47_51,review_top_1pct,0.01,5,100.0,0.9922909090909091,0.00442,0.0002909090909090909,0.00996,0.9925818181818181,0.01438,0.004,0.9687781847483761,0.4,100,0.984,0.0019,0.0,0.0098,0.984,0.0119,0.0,0.942200557103064,0.0,100,1.0,0.0083,0.0014545454545454545,0.01,1.0,0.0183,0.02,0.986321094312455,2.0,1.0,0.0,1.0
Transformer,heldout_support_47_51,review_top_2pct,0.02,5,109.0,0.9922909090909091,0.00442,0.0002909090909090909,0.01086,0.9925818181818181,0.015279999999999998,0.0036363636363636364,0.9687781847483761,0.36363636363636365,108,0.984,0.0019,0.0,0.0108,0.984,0.0128,0.0,0.942200557103064,0.0,110,1.0,0.0083,0.0014545454545454545,0.0109,1.0,0.0191,0.01818181818181818,0.986321094312455,1.8181818181818181,1.0,0.0,1.0
Transformer,main_paired_42_46,review_all,all,5,97.2,0.9381818181818182,0.0043,0.0011636363636363637,0.009559999999999999,0.9393454545454546,0.01386,0.017129115026554637,0.9675566174003876,1.7129115026554635,86,0.9112727272727272,0.0021,0.0,0.0084,0.9127272727272727,0.0122,0.0,0.9566192969334331,0.0,109,1.0,0.0058,0.0014545454545454545,0.0109,1.0,0.0158,0.023255813953488372,0.9849570200573066,2.3255813953488373,1.0,0.0,1.0
Transformer,main_paired_42_46,review_off,0.0,5,0.0,0.9381818181818182,0.0043,0.0,0.0,0.9381818181818182,0.0043,,0.9675566174003876,,0,0.9112727272727272,0.0021,0.0,0.0,0.9112727272727272,0.0021,,0.9566192969334331,,0,1.0,0.0058,0.0,0.0,1.0,0.0058,,0.9849570200573066,,1.0,1.0,1.0
Transformer,main_paired_42_46,review_top_0.25pct,0.0025,5,25.0,0.9381818181818182,0.0043,0.0,0.0025,0.9381818181818182,0.0068000000000000005,0.0,0.9675566174003876,0.0,25,0.9112727272727272,0.0021,0.0,0.0025,0.9112727272727272,0.0046,0.0,0.9566192969334331,0.0,25,1.0,0.0058,0.0,0.0025,1.0,0.0083,0.0,0.9849570200573066,0.0,1.0,1.0,1.0
Transformer,main_paired_42_46,review_top_0.5pct,0.005,5,50.0,0.9381818181818182,0.0043,0.001018181818181818,0.00486,0.9391999999999999,0.00916,0.028000000000000004,0.9675566174003876,2.8,50,0.9112727272727272,0.0021,0.0,0.0048,0.912,0.0071,0.0,0.9566192969334331,0.0,50,1.0,0.0058,0.0014545454545454545,0.005,1.0,0.0106,0.04,0.9849570200573066,4.0,1.0,0.8,1.0
