holdout,support_method,budget,seed,seed_group,ood_target,target_label,threshold,attack_high_detection,ood_high_alarm,feasible_for_target,feasible_for_1pct,attack_eval_size,ood_eval_size,roc_auc,pr_auc,attack_margin_q25,attack_margin_q50,attack_margin_q75,ood_margin_q95,ood_margin_q99,train_time,inference_time,parameter_count
chrono_late_train_early_eval,kcenter_32shot,32,42,main_42_46,0.005,0.5pct,-2.6591118507806715,0.6771745475773496,0.0014,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.92240012601413,12.16569237870276,17.654658563047132,-3.125299943091543,-2.1132820047963703,0.8452410998288542,0.021024399902671576,101
chrono_late_train_early_eval,kcenter_32shot,32,42,main_42_46,0.01,1pct,-3.2033476938112866,0.6798015178050204,0.0018,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.378164282983516,12.709928221733374,18.19889440607775,-2.581064100060928,-1.569046161765755,0.8452410998288542,0.021024399902671576,101
chrono_late_train_early_eval,kcenter_32shot,32,42,main_42_46,0.02,2pct,-3.644449702795814,0.6827203736135435,0.0028,True,True,3426,10000,0.705273963806188,0.7560938824515404,-16.937062273998986,13.151030230717902,18.639996415062274,-2.139962091076401,-1.1279441527812277,0.8452410998288542,0.021024399902671576,101
chrono_late_train_early_eval,kcenter_32shot,32,43,main_42_46,0.005,0.5pct,-2.6591118507806715,0.6771745475773496,0.0014,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.92240012601413,12.16569237870276,17.654658563047132,-3.125299943091543,-2.1132820047963703,0.7890212000347674,0.020679099950939417,101
chrono_late_train_early_eval,kcenter_32shot,32,43,main_42_46,0.01,1pct,-3.2033476938112866,0.6798015178050204,0.0018,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.378164282983516,12.709928221733374,18.19889440607775,-2.581064100060928,-1.569046161765755,0.7890212000347674,0.020679099950939417,101
chrono_late_train_early_eval,kcenter_32shot,32,43,main_42_46,0.02,2pct,-3.644449702795814,0.6827203736135435,0.0028,True,True,3426,10000,0.705273963806188,0.7560938824515404,-16.937062273998986,13.151030230717902,18.639996415062274,-2.139962091076401,-1.1279441527812277,0.7890212000347674,0.020679099950939417,101
chrono_late_train_early_eval,kcenter_32shot,32,44,main_42_46,0.005,0.5pct,-2.6591118507806715,0.6771745475773496,0.0014,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.92240012601413,12.16569237870276,17.654658563047132,-3.125299943091543,-2.1132820047963703,0.794755500042811,0.023410100024193525,101
chrono_late_train_early_eval,kcenter_32shot,32,44,main_42_46,0.01,1pct,-3.2033476938112866,0.6798015178050204,0.0018,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.378164282983516,12.709928221733374,18.19889440607775,-2.581064100060928,-1.569046161765755,0.794755500042811,0.023410100024193525,101
chrono_late_train_early_eval,kcenter_32shot,32,44,main_42_46,0.02,2pct,-3.644449702795814,0.6827203736135435,0.0028,True,True,3426,10000,0.705273963806188,0.7560938824515404,-16.937062273998986,13.151030230717902,18.639996415062274,-2.139962091076401,-1.1279441527812277,0.794755500042811,0.023410100024193525,101
chrono_late_train_early_eval,kcenter_32shot,32,45,main_42_46,0.005,0.5pct,-2.6591118507806715,0.6771745475773496,0.0014,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.92240012601413,12.16569237870276,17.654658563047132,-3.125299943091543,-2.1132820047963703,0.8118087998591363,0.019332800060510635,101
chrono_late_train_early_eval,kcenter_32shot,32,45,main_42_46,0.01,1pct,-3.2033476938112866,0.6798015178050204,0.0018,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.378164282983516,12.709928221733374,18.19889440607775,-2.581064100060928,-1.569046161765755,0.8118087998591363,0.019332800060510635,101
chrono_late_train_early_eval,kcenter_32shot,32,45,main_42_46,0.02,2pct,-3.644449702795814,0.6827203736135435,0.0028,True,True,3426,10000,0.705273963806188,0.7560938824515404,-16.937062273998986,13.151030230717902,18.639996415062274,-2.139962091076401,-1.1279441527812277,0.8118087998591363,0.019332800060510635,101
chrono_late_train_early_eval,kcenter_32shot,32,46,main_42_46,0.005,0.5pct,-2.6591118507806715,0.6771745475773496,0.0014,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.92240012601413,12.16569237870276,17.654658563047132,-3.125299943091543,-2.1132820047963703,0.7878145999275148,0.022551999893039465,101
chrono_late_train_early_eval,kcenter_32shot,32,46,main_42_46,0.01,1pct,-3.2033476938112866,0.6798015178050204,0.0018,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.378164282983516,12.709928221733374,18.19889440607775,-2.581064100060928,-1.569046161765755,0.7878145999275148,0.022551999893039465,101
chrono_late_train_early_eval,kcenter_32shot,32,46,main_42_46,0.02,2pct,-3.644449702795814,0.6827203736135435,0.0028,True,True,3426,10000,0.705273963806188,0.7560938824515404,-16.937062273998986,13.151030230717902,18.639996415062274,-2.139962091076401,-1.1279441527812277,0.7878145999275148,0.022551999893039465,101
chrono_late_train_early_eval,kcenter_32shot,32,47,heldout_47_51,0.005,0.5pct,-2.6591118507806715,0.6771745475773496,0.0014,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.92240012601413,12.16569237870276,17.654658563047132,-3.125299943091543,-2.1132820047963703,0.7811412999872118,0.021519900066778064,101
chrono_late_train_early_eval,kcenter_32shot,32,47,heldout_47_51,0.01,1pct,-3.2033476938112866,0.6798015178050204,0.0018,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.378164282983516,12.709928221733374,18.19889440607775,-2.581064100060928,-1.569046161765755,0.7811412999872118,0.021519900066778064,101
chrono_late_train_early_eval,kcenter_32shot,32,47,heldout_47_51,0.02,2pct,-3.644449702795814,0.6827203736135435,0.0028,True,True,3426,10000,0.705273963806188,0.7560938824515404,-16.937062273998986,13.151030230717902,18.639996415062274,-2.139962091076401,-1.1279441527812277,0.7811412999872118,0.021519900066778064,101
chrono_late_train_early_eval,kcenter_32shot,32,48,heldout_47_51,0.005,0.5pct,-2.6591118507806715,0.6771745475773496,0.0014,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.92240012601413,12.16569237870276,17.654658563047132,-3.125299943091543,-2.1132820047963703,0.8011919998098165,0.020142100052908063,101
chrono_late_train_early_eval,kcenter_32shot,32,48,heldout_47_51,0.01,1pct,-3.2033476938112866,0.6798015178050204,0.0018,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.378164282983516,12.709928221733374,18.19889440607775,-2.581064100060928,-1.569046161765755,0.8011919998098165,0.020142100052908063,101
chrono_late_train_early_eval,kcenter_32shot,32,48,heldout_47_51,0.02,2pct,-3.644449702795814,0.6827203736135435,0.0028,True,True,3426,10000,0.705273963806188,0.7560938824515404,-16.937062273998986,13.151030230717902,18.639996415062274,-2.139962091076401,-1.1279441527812277,0.8011919998098165,0.020142100052908063,101
chrono_late_train_early_eval,kcenter_32shot,32,49,heldout_47_51,0.005,0.5pct,-2.6591118507806715,0.6771745475773496,0.0014,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.92240012601413,12.16569237870276,17.654658563047132,-3.125299943091543,-2.1132820047963703,0.8263493999838829,0.024240699829533696,101
chrono_late_train_early_eval,kcenter_32shot,32,49,heldout_47_51,0.01,1pct,-3.2033476938112866,0.6798015178050204,0.0018,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.378164282983516,12.709928221733374,18.19889440607775,-2.581064100060928,-1.569046161765755,0.8263493999838829,0.024240699829533696,101
chrono_late_train_early_eval,kcenter_32shot,32,49,heldout_47_51,0.02,2pct,-3.644449702795814,0.6827203736135435,0.0028,True,True,3426,10000,0.705273963806188,0.7560938824515404,-16.937062273998986,13.151030230717902,18.639996415062274,-2.139962091076401,-1.1279441527812277,0.8263493999838829,0.024240699829533696,101
chrono_late_train_early_eval,kcenter_32shot,32,50,heldout_47_51,0.005,0.5pct,-2.6591118507806715,0.6771745475773496,0.0014,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.92240012601413,12.16569237870276,17.654658563047132,-3.125299943091543,-2.1132820047963703,0.8093513001222163,0.021447200095281005,101
chrono_late_train_early_eval,kcenter_32shot,32,50,heldout_47_51,0.01,1pct,-3.2033476938112866,0.6798015178050204,0.0018,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.378164282983516,12.709928221733374,18.19889440607775,-2.581064100060928,-1.569046161765755,0.8093513001222163,0.021447200095281005,101
chrono_late_train_early_eval,kcenter_32shot,32,50,heldout_47_51,0.02,2pct,-3.644449702795814,0.6827203736135435,0.0028,True,True,3426,10000,0.705273963806188,0.7560938824515404,-16.937062273998986,13.151030230717902,18.639996415062274,-2.139962091076401,-1.1279441527812277,0.8093513001222163,0.021447200095281005,101
chrono_late_train_early_eval,kcenter_32shot,32,51,heldout_47_51,0.005,0.5pct,-2.6591118507806715,0.6771745475773496,0.0014,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.92240012601413,12.16569237870276,17.654658563047132,-3.125299943091543,-2.1132820047963703,0.793729400029406,0.021648199995979667,101
chrono_late_train_early_eval,kcenter_32shot,32,51,heldout_47_51,0.01,1pct,-3.2033476938112866,0.6798015178050204,0.0018,True,True,3426,10000,0.705273963806188,0.7560938824515404,-17.378164282983516,12.709928221733374,18.19889440607775,-2.581064100060928,-1.569046161765755,0.793729400029406,0.021648199995979667,101
chrono_late_train_early_eval,kcenter_32shot,32,51,heldout_47_51,0.02,2pct,-3.644449702795814,0.6827203736135435,0.0028,True,True,3426,10000,0.705273963806188,0.7560938824515404,-16.937062273998986,13.151030230717902,18.639996415062274,-2.139962091076401,-1.1279441527812277,0.793729400029406,0.021648199995979667,101
chrono_late_train_early_eval,random_32shot_baseline,32,42,main_42_46,0.005,0.5pct,-2.6466129833582683,0.6792177466433158,0.0014,True,True,3426,10000,0.7045755691768826,0.7554553677200878,-18.14272805795278,11.753000923726885,17.549236177416226,-3.1801598769464614,-2.188999434400801,0.7456455999054015,0.020096200052648783,101
chrono_late_train_early_eval,random_32shot_baseline,32,42,main_42_46,0.01,1pct,-3.332950360075675,0.6827203736135435,0.0017,True,True,3426,10000,0.7045755691768826,0.7554553677200878,-17.45639068123537,12.439338300444291,18.235573554133634,-2.493822500229055,-1.5026620576833944,0.7456455999054015,0.020096200052648783,101
chrono_late_train_early_eval,random_32shot_baseline,32,42,main_42_46,0.02,2pct,-3.5858714209420204,0.6833041447752481,0.0022,True,True,3426,10000,0.7045755691768826,0.7554553677200878,-17.203469620369027,12.692259361310636,18.48849461499998,-2.2409014393627094,-1.249740996817049,0.7456455999054015,0.020096200052648783,101
chrono_late_train_early_eval,random_32shot_baseline,32,43,main_42_46,0.005,0.5pct,-2.810767170328325,0.690893169877408,0.0013,True,True,3426,10000,0.7227667250437829,0.7673718380222473,-14.04194394383785,11.558786795149746,16.688138536261715,-3.171747367048693,-2.3145952970906984,0.6744779001455754,0.01872890000231564,101
chrono_late_train_early_eval,random_32shot_baseline,32,43,main_42_46,0.01,1pct,-3.45268956703332,0.6929363689433742,0.0013,True,True,3426,10000,0.7227667250437829,0.7673718380222473,-13.400021547132855,12.200709191854742,17.33006093296671,-2.529824970343698,-1.6726729003857033,0.6744779001455754,0.01872890000231564,101
chrono_late_train_early_eval,random_32shot_baseline,32,43,main_42_46,0.02,2pct,-3.679925420777838,0.6938120256859311,0.0014,True,True,3426,10000,0.7227667250437829,0.7673718380222473,-13.172785693388338,12.42794504559926,17.557296786711227,-2.3025891165991803,-1.4454370466411857,0.6744779001455754,0.01872890000231564,101
chrono_late_train_early_eval,random_32shot_baseline,32,44,main_42_46,0.005,0.5pct,-2.8080947969403516,0.6935201401050788,0.0013,True,True,3426,10000,0.7258885580852306,0.7747775633234657,-13.761319169886349,12.530917553178442,18.306163992445228,-3.1191588372011445,-2.2204621384800736,0.6877326997928321,0.022358500165864825,101
chrono_late_train_early_eval,random_32shot_baseline,32,44,main_42_46,0.01,1pct,-3.477014218671437,0.695563339171045,0.0017,True,True,3426,10000,0.7258885580852306,0.7747775633234657,-13.092399748155263,13.199836974909527,18.97508341417631,-2.450239415470059,-1.5515427167489884,0.6877326997928321,0.022358500165864825,101
chrono_late_train_early_eval,random_32shot_baseline,32,44,main_42_46,0.02,2pct,-3.7036332529661142,0.6964389959136019,0.0019,True,True,3426,10000,0.7258885580852306,0.7747775633234657,-12.865780713860588,13.426456009204204,19.20170244847099,-2.223620381175382,-1.3249236824543111,0.6877326997928321,0.022358500165864825,101
chrono_late_train_early_eval,random_32shot_baseline,32,45,main_42_46,0.005,0.5pct,-2.6739032923162234,0.6911850554582604,0.0012,True,True,3426,10000,0.7262976065382369,0.7752749851500416,-14.332992135009137,11.846584803877649,17.034630181625058,-3.3104842224605724,-2.327395479661498,0.7115523999091238,0.022876800037920475,101
chrono_late_train_early_eval,random_32shot_baseline,32,45,main_42_46,0.01,1pct,-3.404132179268407,0.6943957968476357,0.0015,True,True,3426,10000,0.7262976065382369,0.7752749851500416,-13.602763248056954,12.576813690829832,17.76485906857724,-2.580255335508389,-1.5971665927093146,0.7115523999091238,0.022876800037920475,101
chrono_late_train_early_eval,random_32shot_baseline,32,45,main_42_46,0.02,2pct,-3.5733463992407244,0.694687682428488,0.0015,True,True,3426,10000,0.7262976065382369,0.7752749851500416,-13.433549028084636,12.74602791080215,17.93407328854956,-2.4110411155360714,-1.4279523727369972,0.7115523999091238,0.022876800037920475,101
chrono_late_train_early_eval,random_32shot_baseline,32,46,main_42_46,0.005,0.5pct,-2.8049761555479615,0.6923525977816696,0.0013,True,True,3426,10000,0.7210334792761238,0.7713836079232965,-13.978805428107952,12.663267166768007,18.517983065273462,-3.1598743307039854,-2.21465016074361,0.7177806000690907,0.025228100130334496,101
chrono_late_train_early_eval,random_32shot_baseline,32,46,main_42_46,0.01,1pct,-3.4823052954505984,0.6935201401050788,0.0014,True,True,3426,10000,0.7210334792761238,0.7713836079232965,-13.301476288205317,13.340596306670642,19.195312205176098,-2.4825451908013485,-1.5373210208409733,0.7177806000690907,0.025228100130334496,101
chrono_late_train_early_eval,random_32shot_baseline,32,46,main_42_46,0.02,2pct,-3.7608982677229914,0.694687682428488,0.0017,True,True,3426,10000,0.7210334792761238,0.7713836079232965,-13.022883315932923,13.619189278943036,19.473905177448493,-2.2039522185289555,-1.2587280485685803,0.7177806000690907,0.025228100130334496,101
chrono_late_train_early_eval,random_32shot_baseline,32,47,heldout_47_51,0.005,0.5pct,-3.2070490467257633,0.7174547577349679,0.0006,True,True,3426,10000,0.7599164915353182,0.8017750540929618,-5.546149981291778,10.811263498411739,16.716218284245294,-2.9680752027322166,-2.1953824403596847,0.7851942998822778,0.02189660002477467,101
chrono_late_train_early_eval,random_32shot_baseline,32,47,heldout_47_51,0.01,1pct,-3.560014729408409,0.7203736135434909,0.001,True,True,3426,10000,0.7599164915353182,0.8017750540929618,-5.1931842986091326,11.164229181094386,17.069183966927937,-2.615109520049571,-1.842416757677039,0.7851942998822778,0.02189660002477467,101
chrono_late_train_early_eval,random_32shot_baseline,32,47,heldout_47_51,0.02,2pct,-3.9402073435727467,0.7247518972562755,0.0014,True,True,3426,10000,0.7599164915353182,0.8017750540929618,-4.812991684444794,11.544421795258723,17.449376581092274,-2.234916905885233,-1.4622241435127012,0.7851942998822778,0.02189660002477467,101
chrono_late_train_early_eval,random_32shot_baseline,32,48,heldout_47_51,0.005,0.5pct,-2.881677233061522,0.6818447168709866,0.0014,True,True,3426,10000,0.7077268826619965,0.7556980527739561,-15.216984663109253,11.306778233272622,16.68365307049607,-2.9087479650654267,-1.9975078105411952,0.698601100128144,0.02208050014451146,101
chrono_late_train_early_eval,random_32shot_baseline,32,48,heldout_47_51,0.01,1pct,-3.435858018739106,0.6868067717454758,0.0018,True,True,3426,10000,0.7077268826619965,0.7556980527739561,-14.662803877431669,11.860959018950206,17.23783385617366,-2.3545671793878427,-1.4433270248636112,0.698601100128144,0.02208050014451146,101
chrono_late_train_early_eval,random_32shot_baseline,32,48,heldout_47_51,0.02,2pct,-3.7611139738359083,0.6873905429071804,0.0021,True,True,3426,10000,0.7077268826619965,0.7556980527739561,-14.337547922334867,12.186214974047008,17.56308981127046,-2.0293112242910403,-1.1180710697668088,0.698601100128144,0.02208050014451146,101
chrono_late_train_early_eval,random_32shot_baseline,32,49,heldout_47_51,0.005,0.5pct,-4.206272466574603,0.7831290134267367,0.001,True,True,3426,10000,0.8160423525977818,0.8525686618197713,2.97291351858148,13.03553056552097,19.909558834369975,-2.282963020794023,-1.6683904918572223,0.6558375000022352,0.023140599951148033,101
chrono_late_train_early_eval,random_32shot_baseline,32,49,heldout_47_51,0.01,1pct,-4.555388448570464,0.7848803269118505,0.0015,True,True,3426,10000,0.8160423525977818,0.8525686618197713,3.322029500577341,13.384646547516832,20.258674816365833,-1.933847038798162,-1.3192745098613614,0.6558375000022352,0.023140599951148033,101
chrono_late_train_early_eval,random_32shot_baseline,32,49,heldout_47_51,0.02,2pct,-4.673191498470885,0.7851722124927029,0.0018,True,True,3426,10000,0.8160423525977818,0.8525686618197713,3.439832550477762,13.502449597417252,20.376477866266256,-1.816043988897741,-1.2014714599609404,0.6558375000022352,0.023140599951148033,101
chrono_late_train_early_eval,random_32shot_baseline,32,50,heldout_47_51,0.005,0.5pct,-3.9385171398602723,0.7796263864565091,0.0008,True,True,3426,10000,0.8151120840630472,0.8518807116524507,2.400562047959496,12.75213724126649,20.048942597688267,-2.535228896340549,-1.8856272446595337,0.6436189999803901,0.023691799957305193,101
chrono_late_train_early_eval,random_32shot_baseline,32,50,heldout_47_51,0.01,1pct,-4.40694990353057,0.7831290134267367,0.0008,True,True,3426,10000,0.8151120840630472,0.8518807116524507,2.8689948116297934,13.22057000493679,20.517375361358564,-2.066796132670251,-1.4171944809892356,0.6436189999803901,0.023691799957305193,101
chrono_late_train_early_eval,random_32shot_baseline,32,50,heldout_47_51,0.02,2pct,-4.615349732911557,0.7851722124927029,0.0011,True,True,3426,10000,0.8151120840630472,0.8518807116524507,3.0773946410107804,13.428969834317776,20.72577519073955,-1.8583963032892636,-1.2087946516082486,0.6436189999803901,0.023691799957305193,101
chrono_late_train_early_eval,random_32shot_baseline,32,51,heldout_47_51,0.005,0.5pct,-3.2776697233103262,0.6920607122008173,0.0019,True,True,3426,10000,0.7139203736135435,0.7602502631184488,-12.151637290566441,10.608672790537513,15.894320588661369,-2.5392021213679814,-1.7128759780474223,0.5655149000231177,0.024331900058314204,101
chrono_late_train_early_eval,random_32shot_baseline,32,51,heldout_47_51,0.01,1pct,-3.726960167489133,0.6938120256859311,0.0024,True,True,3426,10000,0.7139203736135435,0.7602502631184488,-11.702346846387636,11.057963234716318,16.343611032840172,-2.089911677189175,-1.2635855338686157,0.5655149000231177,0.024331900058314204,101
