holdout,support_method,seed,seed_group,ood_target,target_label,threshold,uses_id_calib,uses_ood_val,uses_final_ood_eval,uses_attack_eval,threshold_record_source,id_calib_alarm_at_selection,ood_val_alarm_at_selection
chrono_late_train_early_eval,kcenter_32shot,42,main_42_46,0.005,0.5pct,-2.6591118507806715,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,kcenter_32shot,42,main_42_46,0.01,1pct,-3.2033476938112866,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
chrono_late_train_early_eval,kcenter_32shot,42,main_42_46,0.02,2pct,-3.644449702795814,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,kcenter_32shot,43,main_42_46,0.005,0.5pct,-2.6591118507806715,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,kcenter_32shot,43,main_42_46,0.01,1pct,-3.2033476938112866,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
chrono_late_train_early_eval,kcenter_32shot,43,main_42_46,0.02,2pct,-3.644449702795814,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,kcenter_32shot,44,main_42_46,0.005,0.5pct,-2.6591118507806715,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,kcenter_32shot,44,main_42_46,0.01,1pct,-3.2033476938112866,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
chrono_late_train_early_eval,kcenter_32shot,44,main_42_46,0.02,2pct,-3.644449702795814,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,kcenter_32shot,45,main_42_46,0.005,0.5pct,-2.6591118507806715,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,kcenter_32shot,45,main_42_46,0.01,1pct,-3.2033476938112866,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
chrono_late_train_early_eval,kcenter_32shot,45,main_42_46,0.02,2pct,-3.644449702795814,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,kcenter_32shot,46,main_42_46,0.005,0.5pct,-2.6591118507806715,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,kcenter_32shot,46,main_42_46,0.01,1pct,-3.2033476938112866,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
chrono_late_train_early_eval,kcenter_32shot,46,main_42_46,0.02,2pct,-3.644449702795814,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,kcenter_32shot,47,heldout_47_51,0.005,0.5pct,-2.6591118507806715,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,kcenter_32shot,47,heldout_47_51,0.01,1pct,-3.2033476938112866,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
chrono_late_train_early_eval,kcenter_32shot,47,heldout_47_51,0.02,2pct,-3.644449702795814,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,kcenter_32shot,48,heldout_47_51,0.005,0.5pct,-2.6591118507806715,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,kcenter_32shot,48,heldout_47_51,0.01,1pct,-3.2033476938112866,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
chrono_late_train_early_eval,kcenter_32shot,48,heldout_47_51,0.02,2pct,-3.644449702795814,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,kcenter_32shot,49,heldout_47_51,0.005,0.5pct,-2.6591118507806715,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,kcenter_32shot,49,heldout_47_51,0.01,1pct,-3.2033476938112866,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
chrono_late_train_early_eval,kcenter_32shot,49,heldout_47_51,0.02,2pct,-3.644449702795814,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,kcenter_32shot,50,heldout_47_51,0.005,0.5pct,-2.6591118507806715,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,kcenter_32shot,50,heldout_47_51,0.01,1pct,-3.2033476938112866,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
chrono_late_train_early_eval,kcenter_32shot,50,heldout_47_51,0.02,2pct,-3.644449702795814,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,kcenter_32shot,51,heldout_47_51,0.005,0.5pct,-2.6591118507806715,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,kcenter_32shot,51,heldout_47_51,0.01,1pct,-3.2033476938112866,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
chrono_late_train_early_eval,kcenter_32shot,51,heldout_47_51,0.02,2pct,-3.644449702795814,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,random_32shot_baseline,42,main_42_46,0.005,0.5pct,-2.6466129833582683,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,random_32shot_baseline,42,main_42_46,0.01,1pct,-3.332950360075675,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0138,0.0
chrono_late_train_early_eval,random_32shot_baseline,42,main_42_46,0.02,2pct,-3.5858714209420204,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
chrono_late_train_early_eval,random_32shot_baseline,43,main_42_46,0.005,0.5pct,-2.810767170328325,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,random_32shot_baseline,43,main_42_46,0.01,1pct,-3.45268956703332,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.014,0.0
chrono_late_train_early_eval,random_32shot_baseline,43,main_42_46,0.02,2pct,-3.679925420777838,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0005
chrono_late_train_early_eval,random_32shot_baseline,44,main_42_46,0.005,0.5pct,-2.8080947969403516,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,random_32shot_baseline,44,main_42_46,0.01,1pct,-3.477014218671437,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0126,0.0
chrono_late_train_early_eval,random_32shot_baseline,44,main_42_46,0.02,2pct,-3.7036332529661142,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,random_32shot_baseline,45,main_42_46,0.005,0.5pct,-2.6739032923162234,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,random_32shot_baseline,45,main_42_46,0.01,1pct,-3.404132179268407,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0152,0.0
chrono_late_train_early_eval,random_32shot_baseline,45,main_42_46,0.02,2pct,-3.5733463992407244,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0005
chrono_late_train_early_eval,random_32shot_baseline,46,main_42_46,0.005,0.5pct,-2.8049761555479615,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,random_32shot_baseline,46,main_42_46,0.01,1pct,-3.4823052954505984,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0142,0.0
chrono_late_train_early_eval,random_32shot_baseline,46,main_42_46,0.02,2pct,-3.7608982677229914,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
chrono_late_train_early_eval,random_32shot_baseline,47,heldout_47_51,0.005,0.5pct,-3.2070490467257633,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0048,0.0005
chrono_late_train_early_eval,random_32shot_baseline,47,heldout_47_51,0.01,1pct,-3.560014729408409,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0112,0.0005
chrono_late_train_early_eval,random_32shot_baseline,47,heldout_47_51,0.02,2pct,-3.9402073435727467,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
chrono_late_train_early_eval,random_32shot_baseline,48,heldout_47_51,0.005,0.5pct,-2.881677233061522,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
chrono_late_train_early_eval,random_32shot_baseline,48,heldout_47_51,0.01,1pct,-3.435858018739106,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0124,0.001
chrono_late_train_early_eval,random_32shot_baseline,48,heldout_47_51,0.02,2pct,-3.7611139738359083,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,random_32shot_baseline,49,heldout_47_51,0.005,0.5pct,-4.206272466574603,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0048,0.0005
chrono_late_train_early_eval,random_32shot_baseline,49,heldout_47_51,0.01,1pct,-4.555388448570464,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0132,0.001
chrono_late_train_early_eval,random_32shot_baseline,49,heldout_47_51,0.02,2pct,-4.673191498470885,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,random_32shot_baseline,50,heldout_47_51,0.005,0.5pct,-3.9385171398602723,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0048,0.0005
chrono_late_train_early_eval,random_32shot_baseline,50,heldout_47_51,0.01,1pct,-4.40694990353057,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0134,0.0015
chrono_late_train_early_eval,random_32shot_baseline,50,heldout_47_51,0.02,2pct,-4.615349732911557,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
chrono_late_train_early_eval,random_32shot_baseline,51,heldout_47_51,0.005,0.5pct,-3.2776697233103262,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.001
chrono_late_train_early_eval,random_32shot_baseline,51,heldout_47_51,0.01,1pct,-3.726960167489133,True,True,False,False,reused_issue17_issue16b_recorded_threshold,0.0126,0.001
chrono_late_train_early_eval,random_32shot_baseline,51,heldout_47_51,0.02,2pct,-4.019284242260445,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0198,0.0015
holdout_bin_2,kcenter_32shot,42,main_42_46,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,42,main_42_46,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,42,main_42_46,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,43,main_42_46,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,43,main_42_46,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,43,main_42_46,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,44,main_42_46,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,44,main_42_46,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,44,main_42_46,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,45,main_42_46,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,45,main_42_46,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,45,main_42_46,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,46,main_42_46,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,46,main_42_46,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,46,main_42_46,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,47,heldout_47_51,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,47,heldout_47_51,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,47,heldout_47_51,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,48,heldout_47_51,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,48,heldout_47_51,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
holdout_bin_2,kcenter_32shot,48,heldout_47_51,0.02,2pct,-3.5529003738716143,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.02,0.001
holdout_bin_2,kcenter_32shot,49,heldout_47_51,0.005,0.5pct,-2.581646605551015,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.005,0.0
holdout_bin_2,kcenter_32shot,49,heldout_47_51,0.01,1pct,-3.126371385544741,True,True,False,False,recomputed_from_id_calib_and_ood_val,0.0098,0.0
