evidence_strategy,k,selection_correct_rate,final_detection_mean,final_ood_alarm_max,feasible_rate,label_efficiency,mean_confirmed_attack_count
R0_random_confirmed_attack_validation,4,0.3,0.6450521559664788,0.0156,0.9666666666666667,1.0,4.0
R0_random_confirmed_attack_validation,8,0.2222222222222222,0.6446561963705192,0.0156,0.8888888888888888,1.0,8.0
R0_random_confirmed_attack_validation,16,0.28888888888888886,0.6449955903099132,0.0156,0.9555555555555556,1.0,16.0
R0_random_confirmed_attack_validation,32,0.25555555555555554,0.6448258933402161,0.0156,0.9222222222222223,1.0,32.0
R1_kcenter_confirmed_attack_validation,4,0.3333333333333333,0.6452218529361757,0.0036,1.0,1.0,4.0
R1_kcenter_confirmed_attack_validation,8,0.1111111111111111,0.6440905398048626,0.0156,0.7777777777777778,1.0,8.0
R1_kcenter_confirmed_attack_validation,16,0.2222222222222222,0.6446561963705192,0.0156,0.8888888888888888,1.0,16.0
R1_kcenter_confirmed_attack_validation,32,0.2222222222222222,0.6446561963705192,0.0156,0.8888888888888888,1.0,32.0
R2_V2_high_V1_low_disagreement_review,4,0.0,0.6435248832392061,0.0156,0.6666666666666666,0.3333333333333333,1.3333333333333333
R2_V2_high_V1_low_disagreement_review,8,0.0,0.6435248832392061,0.0156,0.6666666666666666,0.3333333333333333,2.6666666666666665
R2_V2_high_V1_low_disagreement_review,16,0.0,0.6435248832392061,0.0156,0.6666666666666666,0.3333333333333333,5.333333333333333
R2_V2_high_V1_low_disagreement_review,32,0.0,0.6435248832392061,0.0156,0.6666666666666666,0.3333333333333333,10.666666666666666
R3_near_threshold_uncertainty_review,4,0.0,0.6435248832392061,0.0156,0.6666666666666666,0.5,2.0
R3_near_threshold_uncertainty_review,8,0.0,0.6435248832392061,0.0156,0.6666666666666666,0.5833333333333334,4.666666666666667
R3_near_threshold_uncertainty_review,16,0.0,0.6435248832392061,0.0156,0.6666666666666666,0.6875,11.0
R3_near_threshold_uncertainty_review,32,0.0,0.6435248832392061,0.0156,0.6666666666666666,0.6458333333333334,20.666666666666668
R4_representation_shift_high_review,4,0.0,0.6435248832392061,0.0156,0.6666666666666666,1.0,4.0
R4_representation_shift_high_review,8,0.0,0.6435248832392061,0.0156,0.6666666666666666,1.0,8.0
R4_representation_shift_high_review,16,0.0,0.6435248832392061,0.0156,0.6666666666666666,1.0,16.0
R4_representation_shift_high_review,32,0.0,0.6435248832392061,0.0156,0.6666666666666666,1.0,32.0
R5_hybrid_active_review,4,0.0,0.6435248832392061,0.0156,0.6666666666666666,0.8333333333333334,3.3333333333333335
R5_hybrid_active_review,8,0.0,0.6435248832392061,0.0156,0.6666666666666666,0.8333333333333334,6.666666666666667
R5_hybrid_active_review,16,0.0,0.6435248832392061,0.0156,0.6666666666666666,0.7916666666666666,12.666666666666666
R5_hybrid_active_review,32,0.0,0.6435248832392061,0.0156,0.6666666666666666,0.8645833333333334,27.666666666666668
