setting,dataset,holdout,seed,seed_group,evidence_strategy,k,delta_threshold,promotion_detection_v1,promotion_detection_v2,delta_promotion_detection,v2_ood_validation_alarm,selected_champion,selected_reason,desired_champion,selection_correct,final_attack_detection,final_ood_alarm,feasible,review_cost,review_pool_size,confirmed_attack_count,estimated_label_efficiency,review_rate_attack_report_only,review_rate_ood_report_only,promotion_uses_final_attack_eval,promotion_uses_final_ood_eval
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,4,0.05,1.0,1.0,0.0,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.05",V1,True,0.9294545454545454,0.0036,True,4,4090,4,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,4,0.1,1.0,1.0,0.0,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.10",V1,True,0.9294545454545454,0.0036,True,4,4090,4,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,4,0.2,1.0,1.0,0.0,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.20",V1,True,0.9294545454545454,0.0036,True,4,4090,4,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,8,0.05,0.75,0.875,0.125,0.0095,V2,V2 OOD validation <=1% and promotion delta >= 0.05,V1,False,0.9243636363636364,0.0156,False,8,4090,8,1.0,0.014545454545454545,0.0016,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,8,0.1,0.75,0.875,0.125,0.0095,V2,V2 OOD validation <=1% and promotion delta >= 0.10,V1,False,0.9243636363636364,0.0156,False,8,4090,8,1.0,0.014545454545454545,0.0016,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,8,0.2,0.75,0.875,0.125,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.20",V1,True,0.9294545454545454,0.0036,True,8,4090,8,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,16,0.05,1.0,1.0,0.0,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.05",V1,True,0.9294545454545454,0.0036,True,16,4090,16,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,16,0.1,1.0,1.0,0.0,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.10",V1,True,0.9294545454545454,0.0036,True,16,4090,16,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,16,0.2,1.0,1.0,0.0,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.20",V1,True,0.9294545454545454,0.0036,True,16,4090,16,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,32,0.05,0.875,0.9375,0.0625,0.0095,V2,V2 OOD validation <=1% and promotion delta >= 0.05,V1,False,0.9243636363636364,0.0156,False,32,4090,32,1.0,0.014545454545454545,0.0016,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,32,0.1,0.875,0.9375,0.0625,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.10",V1,True,0.9294545454545454,0.0036,True,32,4090,32,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R0_random_confirmed_attack_validation,32,0.2,0.875,0.9375,0.0625,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.20",V1,True,0.9294545454545454,0.0036,True,32,4090,32,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,4,0.05,1.0,1.0,0.0,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.05",V1,True,0.9294545454545454,0.0036,True,4,4090,4,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,4,0.1,1.0,1.0,0.0,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.10",V1,True,0.9294545454545454,0.0036,True,4,4090,4,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,4,0.2,1.0,1.0,0.0,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.20",V1,True,0.9294545454545454,0.0036,True,4,4090,4,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,8,0.05,0.875,1.0,0.125,0.0095,V2,V2 OOD validation <=1% and promotion delta >= 0.05,V1,False,0.9243636363636364,0.0156,False,8,4090,8,1.0,0.014545454545454545,0.0016,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,8,0.1,0.875,1.0,0.125,0.0095,V2,V2 OOD validation <=1% and promotion delta >= 0.10,V1,False,0.9243636363636364,0.0156,False,8,4090,8,1.0,0.014545454545454545,0.0016,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,8,0.2,0.875,1.0,0.125,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.20",V1,True,0.9294545454545454,0.0036,True,8,4090,8,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,16,0.05,0.9375,1.0,0.0625,0.0095,V2,V2 OOD validation <=1% and promotion delta >= 0.05,V1,False,0.9243636363636364,0.0156,False,16,4090,16,1.0,0.014545454545454545,0.0016,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,16,0.1,0.9375,1.0,0.0625,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.10",V1,True,0.9294545454545454,0.0036,True,16,4090,16,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,16,0.2,0.9375,1.0,0.0625,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.20",V1,True,0.9294545454545454,0.0036,True,16,4090,16,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,32,0.05,0.9375,1.0,0.0625,0.0095,V2,V2 OOD validation <=1% and promotion delta >= 0.05,V1,False,0.9243636363636364,0.0156,False,32,4090,32,1.0,0.014545454545454545,0.0016,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,32,0.1,0.9375,1.0,0.0625,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.10",V1,True,0.9294545454545454,0.0036,True,32,4090,32,1.0,0.009454545454545455,0.0136,False,False
primary_lowood,primary_lowood,primary_lowood,42,main_42_46,R1_kcenter_confirmed_attack_validation,32,0.2,0.9375,1.0,0.0625,0.0095,V1,"V2 OOD validation >1%, no confirmed attack evidence, or promotion delta < 0.20",V1,True,0.9294545454545454,0.0036,True,32,4090,32,1.0,0.009454545454545455,0.0136,False,False
