dataset,holdout,method,method_group,seed_group,ood_target,ood_target_label,n_seeds,roc_auc_mean,pr_auc_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,support_size,feature_dim,selected_topk,hard_negative_count,train_time_mean,inference_time_mean,provenance_clean_rate
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.005,0.5pct,5,0.9806204028021016,0.9612652574285201,0.7098657326328079,0.0,0.7098657326328079,0.7098657326328079,0.0035000000000000005,0.0035,1.0,0.1953391988737625,32,32,32,0,0.17953415999945718,0.007165599998552352,1.0
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.005,0.5pct,5,0.9806204028021016,0.9612652574285201,0.7098657326328079,0.0,0.7098657326328079,0.7098657326328079,0.0035000000000000005,0.0035,1.0,0.1953391988737625,32,32,32,0,0.17414336000219918,0.006767599997692742,1.0
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.008,0.8pct,5,0.9806204028021016,0.9612652574285201,0.7218330414477525,0.0,0.7218330414477525,0.7218330414477525,0.008,0.008,1.0,-0.22410922283595572,32,32,32,0,0.17953415999945718,0.007165599998552352,1.0
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.008,0.8pct,5,0.9806204028021016,0.9612652574285201,0.7218330414477525,0.0,0.7218330414477525,0.7218330414477525,0.008,0.008,1.0,-0.22410922283595572,32,32,32,0,0.17414336000219918,0.006767599997692742,1.0
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.01,1.0pct,5,0.9806204028021016,0.9612652574285201,0.7314652656158785,0.0,0.7314652656158785,0.7314652656158785,0.0097,0.0097,1.0,-0.46364417869220853,32,32,32,0,0.17953415999945718,0.007165599998552352,1.0
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.01,1.0pct,5,0.9806204028021016,0.9612652574285201,0.7314652656158785,0.0,0.7314652656158785,0.7314652656158785,0.0097,0.0097,1.0,-0.46364417869220853,32,32,32,0,0.17414336000219918,0.006767599997692742,1.0
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.012,1.2pct,5,0.9806204028021016,0.9612652574285201,0.7358435493286631,0.0,0.7358435493286631,0.7358435493286631,0.0103,0.0103,0.0,-0.6067427317924122,32,32,32,0,0.17953415999945718,0.007165599998552352,1.0
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.012,1.2pct,5,0.9806204028021016,0.9612652574285201,0.7358435493286631,0.0,0.7358435493286631,0.7358435493286631,0.0103,0.0103,0.0,-0.6067427317924122,32,32,32,0,0.17414336000219918,0.006767599997692742,1.0
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.015,1.5pct,5,0.9806204028021016,0.9612652574285201,0.7641564506713369,0.0,0.7641564506713369,0.7641564506713369,0.0139,0.0139,0.0,-1.071366076589143,32,32,32,0,0.17953415999945718,0.007165599998552352,1.0
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.015,1.5pct,5,0.9806204028021016,0.9612652574285201,0.7641564506713369,0.0,0.7641564506713369,0.7641564506713369,0.0139,0.0139,0.0,-1.071366076589143,32,32,32,0,0.17414336000219918,0.006767599997692742,1.0
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.02,2.0pct,5,0.9806204028021016,0.9612652574285201,0.8032691185055458,0.0,0.8032691185055458,0.8032691185055458,0.019,0.019,0.0,-1.8563854153752692,32,32,32,0,0.17953415999945718,0.007165599998552352,1.0
harder_holdout,chrono_late_train_early_eval,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.02,2.0pct,5,0.9806204028021016,0.9612652574285201,0.8032691185055458,0.0,0.8032691185055458,0.8032691185055458,0.019,0.019,0.0,-1.8563854153752692,32,32,32,0,0.17414336000219918,0.006767599997692742,1.0
harder_holdout,holdout_bin_2,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.005,0.5pct,5,0.9406764094955488,0.8874848250315692,0.7974777448071216,0.0,0.7974777448071216,0.7974777448071216,0.0051,0.0051,1.0,-1.4566658383604079,32,32,32,0,0.15916862000303808,0.006890940002631396,1.0
harder_holdout,holdout_bin_2,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.005,0.5pct,5,0.9406764094955488,0.8874848250315692,0.7974777448071216,0.0,0.7974777448071216,0.7974777448071216,0.0051,0.0051,1.0,-1.4566658383604079,32,32,32,0,0.16700718000065534,0.007176060002529993,1.0
harder_holdout,holdout_bin_2,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.008,0.8pct,5,0.9406764094955488,0.8874848250315692,0.8078635014836795,0.0,0.8078635014836796,0.8078635014836796,0.0061,0.0061,1.0,-1.8428993629358472,32,32,32,0,0.15916862000303808,0.006890940002631396,1.0
