candidate,method,ood_target,ood_target_label,attack_high_detection_mean,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,n_seeds,diagnostic_only
V1,M0_V1_original100_kcenter32_fixed_guard,0.005,0.5pct,0.9287272727272728,0.9287272727272728,0.9287272727272728,0.0028,0.0028,1.0,-2.283850927043697,10,True
V1,M0_V1_original100_kcenter32_fixed_guard,0.008,0.8pct,0.9294545454545455,0.9294545454545454,0.9294545454545454,0.0035000000000000005,0.0035,1.0,-2.551113819111253,10,True
V1,M0_V1_original100_kcenter32_fixed_guard,0.01,1.0pct,0.9294545454545455,0.9294545454545454,0.9294545454545454,0.0036,0.0036,1.0,-2.646479427395543,10,False
V1,M0_V1_original100_kcenter32_fixed_guard,0.012,1.2pct,0.9309090909090909,0.9309090909090908,0.9309090909090908,0.0038,0.0038,1.0,-2.7115290745656973,10,True
V1,M0_V1_original100_kcenter32_fixed_guard,0.015,1.5pct,0.9323636363636364,0.9323636363636364,0.9323636363636364,0.0041,0.0041,1.0,-2.9362243777465555,10,True
V1,M0_V1_original100_kcenter32_fixed_guard,0.02,2.0pct,0.9338181818181818,0.9338181818181818,0.9338181818181818,0.0051,0.0051,1.0,-3.2059518376041694,10,True
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,0.005,0.5pct,0.9236363636363636,0.9236363636363636,0.9236363636363636,0.013300000000000001,0.0133,0.0,-3.2324561958544265,10,True
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,0.008,0.8pct,0.9243636363636364,0.9243636363636364,0.9243636363636364,0.014599999999999998,0.0146,0.0,-3.340601775032772,10,True
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,0.01,1.0pct,0.9243636363636364,0.9243636363636364,0.9243636363636364,0.0156,0.0156,0.0,-3.426404387097379,10,False
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,0.012,1.2pct,0.9265454545454546,0.9265454545454546,0.9265454545454546,0.019,0.019,0.0,-3.697176596162664,10,True
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,0.015,1.5pct,0.9280000000000002,0.928,0.928,0.0222,0.0222,0.0,-3.882553548140707,10,True
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,0.02,2.0pct,0.9294545454545455,0.9294545454545454,0.9294545454545454,0.028699999999999996,0.0287,0.0,-4.187793147940497,10,True
V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,0.005,0.5pct,0.9476363636363636,0.9476363636363636,0.9476363636363636,0.0036,0.0036,1.0,-4.2105346205874765,10,True
V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,0.008,0.8pct,0.9476363636363636,0.9476363636363636,0.9476363636363636,0.0037000000000000006,0.0037,1.0,-4.33549208002283,10,True
V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,0.01,1.0pct,0.9476363636363636,0.9476363636363636,0.9476363636363636,0.0037000000000000006,0.0037,1.0,-4.41641482616712,10,False
V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,0.012,1.2pct,0.9476363636363636,0.9476363636363636,0.9476363636363636,0.0043,0.0043,1.0,-4.489470516909927,10,True
V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,0.015,1.5pct,0.9483636363636364,0.9483636363636364,0.9483636363636364,0.0044,0.0044,1.0,-4.542583907018168,10,True
V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,0.02,2.0pct,0.9483636363636364,0.9483636363636364,0.9483636363636364,0.0051,0.0051,1.0,-4.6785895799498896,10,True
