evaluation_role,holdout,adapter,seed,selected_config_id,model_type,train_time,inference_time,parameter_count,hard_negative_count
locked,holdout_bin_5,A0_lr_baseline,42,lr_fixed_guard,lr,0.5421694999968167,0.019443400000454858,65,0
locked,holdout_bin_5,A1_low_fpr_weighted_lr,42,lr_tail_q0.975_w8.0_a1.0,lr,1.0437009000161197,0.02313379998668097,65,50
locked,holdout_bin_5,A2_linear_svm_margin,42,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.07416799999191426,0.024459000007482246,65,0
locked,holdout_bin_5,A0_lr_baseline,43,lr_fixed_guard,lr,0.493179200013401,0.023380800004815683,65,0
locked,holdout_bin_5,A1_low_fpr_weighted_lr,43,lr_tail_q0.975_w8.0_a1.0,lr,1.0391846999991685,0.01911290001589805,65,50
locked,holdout_bin_5,A2_linear_svm_margin,43,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.06243650001124479,0.019949400011682883,65,0
locked,holdout_bin_5,A0_lr_baseline,44,lr_fixed_guard,lr,0.4850021000020206,0.020607300015399233,65,0
locked,holdout_bin_5,A1_low_fpr_weighted_lr,44,lr_tail_q0.975_w8.0_a1.0,lr,1.0441196000028867,0.021962900005746633,65,50
locked,holdout_bin_5,A2_linear_svm_margin,44,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.07477259999723174,0.01764740000362508,65,0
locked,holdout_bin_5,A0_lr_baseline,45,lr_fixed_guard,lr,0.5056886000093073,0.0164812000002712,65,0
locked,holdout_bin_5,A1_low_fpr_weighted_lr,45,lr_tail_q0.975_w8.0_a1.0,lr,0.9474300000001676,0.01756740000564605,65,50
locked,holdout_bin_5,A2_linear_svm_margin,45,sgd_hinge_alpha0.0001_a2.0,linear_svm,0.12738749998970889,0.026157199987210333,65,0
locked,holdout_bin_5,A0_lr_baseline,46,lr_fixed_guard,lr,0.5616903000045568,0.01962090001325123,65,0
locked,holdout_bin_5,A1_low_fpr_weighted_lr,46,lr_tail_q0.975_w8.0_a1.0,lr,1.0477247000089847,0.01748419998330064,65,50
locked,holdout_bin_5,A2_linear_svm_margin,46,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.09811749999062158,0.015681899996707216,65,0
locked,holdout_bin_5,A0_lr_baseline,47,lr_fixed_guard,lr,0.5397884000267368,0.013400399999227375,65,0
locked,holdout_bin_5,A1_low_fpr_weighted_lr,47,lr_tail_q0.95_w4.0_a1.0,lr,1.1040824000083376,0.020233199989888817,65,100
locked,holdout_bin_5,A2_linear_svm_margin,47,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.07931800000369549,0.01600879998295568,65,0
locked,holdout_bin_5,A0_lr_baseline,48,lr_fixed_guard,lr,0.5510317000153009,0.02105080001638271,65,0
locked,holdout_bin_5,A1_low_fpr_weighted_lr,48,lr_tail_q0.975_w4.0_a1.0,lr,1.0135846000048332,0.024753600009717047,65,50
locked,holdout_bin_5,A2_linear_svm_margin,48,sgd_hinge_alpha0.0001_a2.0,linear_svm,0.06271339999511838,0.01849799999035895,65,0
locked,holdout_bin_5,A0_lr_baseline,49,lr_fixed_guard,lr,0.5392300999956205,0.02397519999067299,65,0
locked,holdout_bin_5,A1_low_fpr_weighted_lr,49,lr_tail_q0.975_w8.0_a1.0,lr,1.0529476999945473,0.03073430000222288,65,50
locked,holdout_bin_5,A2_linear_svm_margin,49,sgd_hinge_alpha0.0001_a2.0,linear_svm,0.06234699999913573,0.01491240001632832,65,0
locked,holdout_bin_5,A0_lr_baseline,50,lr_fixed_guard,lr,0.4731681999983266,0.0222238999849651,65,0
locked,holdout_bin_5,A1_low_fpr_weighted_lr,50,lr_tail_q0.95_w4.0_a1.0,lr,0.999413999990793,0.029208599997218698,65,100
locked,holdout_bin_5,A2_linear_svm_margin,50,sgd_hinge_alpha0.0001_a1.0,linear_svm,0.05980250000720844,0.019363500003237277,65,0
locked,holdout_bin_5,A0_lr_baseline,51,lr_fixed_guard,lr,0.5372705000045244,0.017348699999274686,65,0
locked,holdout_bin_5,A1_low_fpr_weighted_lr,51,lr_tail_q0.975_w8.0_a1.0,lr,1.0473743000184186,0.025124800013145432,65,50
locked,holdout_bin_5,A2_linear_svm_margin,51,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.07477720000315458,0.011038900003768504,65,0
locked,holdout_bin_6,A0_lr_baseline,42,lr_fixed_guard,lr,0.5045505999878515,0.025365499983308837,65,0
locked,holdout_bin_6,A1_low_fpr_weighted_lr,42,lr_tail_q0.95_w4.0_a1.0,lr,1.068989799998235,0.01650930001051165,65,100
locked,holdout_bin_6,A2_linear_svm_margin,42,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.095341299980646,0.014652600017143413,65,0
locked,holdout_bin_6,A0_lr_baseline,43,lr_fixed_guard,lr,0.4976977000187617,0.019455800007563084,65,0
locked,holdout_bin_6,A1_low_fpr_weighted_lr,43,lr_tail_q0.975_w8.0_a1.0,lr,1.0419571000093129,0.03445669999928214,65,50
locked,holdout_bin_6,A2_linear_svm_margin,43,sgd_hinge_alpha0.0001_a2.0,linear_svm,0.07554859999800101,0.023214799992274493,65,0
locked,holdout_bin_6,A0_lr_baseline,44,lr_fixed_guard,lr,0.5510523999982979,0.02105209999717772,65,0
locked,holdout_bin_6,A1_low_fpr_weighted_lr,44,lr_tail_q0.975_w8.0_a1.0,lr,0.9759660999989137,0.017452900006901473,65,50
locked,holdout_bin_6,A2_linear_svm_margin,44,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.07388440001523122,0.009109100006753579,65,0
locked,holdout_bin_6,A0_lr_baseline,45,lr_fixed_guard,lr,0.5914277999836486,0.024685600015800446,65,0
locked,holdout_bin_6,A1_low_fpr_weighted_lr,45,lr_tail_q0.975_w8.0_a1.0,lr,0.9973373000102583,0.01861199998529628,65,50
locked,holdout_bin_6,A2_linear_svm_margin,45,sgd_hinge_alpha0.0001_a2.0,linear_svm,0.05956980001064949,0.012092500022845343,65,0
locked,holdout_bin_6,A0_lr_baseline,46,lr_fixed_guard,lr,0.4829450999968685,0.02110840001842007,65,0
locked,holdout_bin_6,A1_low_fpr_weighted_lr,46,lr_tail_q0.975_w8.0_a1.0,lr,1.0074504000076558,0.018504400009987876,65,50
locked,holdout_bin_6,A2_linear_svm_margin,46,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.05995579998125322,0.01512130000628531,65,0
locked,holdout_bin_6,A0_lr_baseline,47,lr_fixed_guard,lr,0.5143613000109326,0.022188999981153756,65,0
locked,holdout_bin_6,A1_low_fpr_weighted_lr,47,lr_tail_q0.95_w4.0_a1.0,lr,0.9756816999870352,0.018719099985901266,65,100
locked,holdout_bin_6,A2_linear_svm_margin,47,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.0771662000042852,0.01580130000365898,65,0
locked,holdout_bin_6,A0_lr_baseline,48,lr_fixed_guard,lr,0.5212921000202186,0.022817199991550297,65,0
locked,holdout_bin_6,A1_low_fpr_weighted_lr,48,lr_tail_q0.975_w8.0_a1.0,lr,1.1165676000237,0.02756680001039058,65,50
locked,holdout_bin_6,A2_linear_svm_margin,48,sgd_hinge_alpha0.0001_a1.0,linear_svm,0.09344930000952445,0.023910600022645667,65,0
locked,holdout_bin_6,A0_lr_baseline,49,lr_fixed_guard,lr,0.5090010000276379,0.018649300007382408,65,0
locked,holdout_bin_6,A1_low_fpr_weighted_lr,49,lr_tail_q0.975_w8.0_a1.0,lr,0.9785294999892358,0.017654299997957423,65,50
locked,holdout_bin_6,A2_linear_svm_margin,49,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.05180250000557862,0.016818099975353107,65,0
locked,holdout_bin_6,A0_lr_baseline,50,lr_fixed_guard,lr,0.5058802999847103,0.015954899979988113,65,0
locked,holdout_bin_6,A1_low_fpr_weighted_lr,50,lr_tail_q0.95_w4.0_a1.0,lr,0.9947409000014886,0.017584699991857633,65,100
locked,holdout_bin_6,A2_linear_svm_margin,50,sgd_hinge_alpha0.0001_a1.0,linear_svm,0.07503629999700934,0.01623529999051243,65,0
locked,holdout_bin_6,A0_lr_baseline,51,lr_fixed_guard,lr,0.5279817999980878,0.030385100020794198,65,0
locked,holdout_bin_6,A1_low_fpr_weighted_lr,51,lr_tail_q0.975_w8.0_a1.0,lr,1.0458612999937031,0.022957800014410168,65,50
locked,holdout_bin_6,A2_linear_svm_margin,51,sgd_hinge_alpha0.0001_a2.0,linear_svm,0.06304810001165606,0.014648500015027821,65,0
locked,holdout_bin_7,A0_lr_baseline,42,lr_fixed_guard,lr,0.5158123000001069,0.015209500008495525,65,0
locked,holdout_bin_7,A1_low_fpr_weighted_lr,42,lr_tail_q0.975_w8.0_a1.0,lr,1.017191199993249,0.025620299973525107,65,50
locked,holdout_bin_7,A2_linear_svm_margin,42,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.0604616999917198,0.014545999991241843,65,0
locked,holdout_bin_7,A0_lr_baseline,43,lr_fixed_guard,lr,0.5037442999891937,0.018375999992713332,65,0
locked,holdout_bin_7,A1_low_fpr_weighted_lr,43,lr_tail_q0.95_w4.0_a1.0,lr,1.0395507999928668,0.018048600002657622,65,100
locked,holdout_bin_7,A2_linear_svm_margin,43,sgd_hinge_alpha0.0001_a2.0,linear_svm,0.06706110000959598,0.0153584000072442,65,0
locked,holdout_bin_7,A0_lr_baseline,44,lr_fixed_guard,lr,0.5465944999887142,0.020356099994387478,65,0
locked,holdout_bin_7,A1_low_fpr_weighted_lr,44,lr_tail_q0.975_w8.0_a1.0,lr,1.0152626000053715,0.016935199993895367,65,50
locked,holdout_bin_7,A2_linear_svm_margin,44,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.04888429999118671,0.017620300000999123,65,0
locked,holdout_bin_7,A0_lr_baseline,45,lr_fixed_guard,lr,0.5123053999850526,0.018853999994462356,65,0
locked,holdout_bin_7,A1_low_fpr_weighted_lr,45,lr_tail_q0.95_w4.0_a1.0,lr,1.0800116000173148,0.02443310001399368,65,100
locked,holdout_bin_7,A2_linear_svm_margin,45,sgd_hinge_alpha1e-05_a1.0,linear_svm,0.0655687999969814,0.021646600012900308,65,0
