evaluation_role,dataset,holdout,adapter,seed_group,n_seeds,roc_auc_mean,pr_auc_mean,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,selected_config,train_time_mean,inference_time_mean,parameter_count_mean,hard_negative_count_mean,provenance_clean_rate
consistency,harder_holdout,chrono_late_train_early_eval,A0_lr_baseline,heldout_47_51,5,0.9932267950963223,0.9883133894403848,0.9539070131744536,0.9538820782253357,0.9500875656742556,0.0,0.9500875656742557,0.9500875656742557,0.0089,0.0089,1.0,-2.8655547549506384,lr_fixed_guard,0.5947746800025925,0.020915219996822998,65.0,0.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,A0_lr_baseline,main_42_46,5,0.9932267950963223,0.9883133894403848,0.9539070131744536,0.9538820782253357,0.9500875656742556,0.0,0.9500875656742557,0.9500875656742557,0.0089,0.0089,1.0,-2.8655547549506384,lr_fixed_guard,0.5967316199908964,0.0217316199967172,65.0,0.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,heldout_47_51,5,0.9929517396380618,0.9887677585886095,0.9697759081455144,0.965323992994746,0.9567425569176884,0.0011191062179031562,0.9559252772913018,0.957968476357268,0.0034000000000000002,0.0036,1.0,-2.863864925970094,lr_tail_q0.975_w4.0_a1.0;lr_tail_q0.975_w8.0_a1.0,1.2109380599984434,0.023354719998314975,65.0,50.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,A1_low_fpr_weighted_lr,main_42_46,5,0.9930419439579683,0.9888760379974958,0.9693983636806331,0.9645650904845301,0.9564506713368359,0.0008609387742996477,0.9559252772913018,0.957968476357268,0.0034999999999999996,0.0036,1.0,-2.861696166271282,lr_tail_q0.95_w4.0_a1.0;lr_tail_q0.975_w4.0_a1.0;lr_tail_q0.975_w8.0_a1.0,1.2195398000010755,0.02129314000485465,65.0,70.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,A2_linear_svm_margin,heldout_47_51,5,0.9330233070636311,0.9022251151935891,0.7478566211090479,0.6479276123759486,0.5738470519556333,0.1245043410911373,0.4314068884997081,0.7682428488032691,0.00858,0.0108,0.8,456.29400522886715,sgd_hinge_alpha0.0001_a1.0;sgd_hinge_alpha1e-05_a1.0,0.06634997999644839,0.022176320006838068,65.0,0.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,A2_linear_svm_margin,main_42_46,5,0.938485230589609,0.915876017207361,0.7863186334474473,0.7172796263864565,0.6510215995329831,0.06216498214528626,0.5443666082895505,0.6952714535901926,0.0071,0.0097,1.0,996.5224514200884,sgd_hinge_alpha0.0001_a1.0;sgd_hinge_alpha0.0001_a2.0;sgd_hinge_alpha1e-05_a1.0,0.06941660000593401,0.018140160001348705,65.0,0.0,1.0
consistency,harder_holdout,holdout_bin_2,A0_lr_baseline,heldout_47_51,5,0.9959862759643915,0.9865837153127115,0.9734838882841508,0.9770029673590506,0.9740356083086054,0.0,0.9740356083086054,0.9740356083086054,0.0057,0.0057,1.0,-3.4616880163438504,lr_fixed_guard,0.6013018799945712,0.018462160002673044,65.0,0.0,1.0
consistency,harder_holdout,holdout_bin_2,A0_lr_baseline,main_42_46,5,0.9959862759643915,0.9865837153127115,0.9734838882841508,0.9770029673590506,0.9740356083086054,0.0,0.9740356083086054,0.9740356083086054,0.0057,0.0057,1.0,-3.4616880163438504,lr_fixed_guard,0.5840877799957525,0.02285764000262134,65.0,0.0,1.0
consistency,harder_holdout,holdout_bin_2,A1_low_fpr_weighted_lr,heldout_47_51,5,0.9963122106824924,0.9879867535150317,0.9793224281645617,0.9784866468842729,0.9756676557863502,0.00033176082752216717,0.9755192878338279,0.9762611275964391,0.004399999999999999,0.0045,1.0,-3.44478890004239,lr_tail_q0.95_w4.0_a1.0;lr_tail_q0.975_w4.0_a1.0;lr_tail_q0.975_w8.0_a1.0,1.1398048599949107,0.017597379995277152,65.0,80.0,1.0
consistency,harder_holdout,holdout_bin_2,A1_low_fpr_weighted_lr,main_42_46,5,0.9963092284866469,0.9880918159885124,0.9801321145788288,0.9784866468842729,0.9759643916913946,0.00040632237203643506,0.9755192878338279,0.9762611275964391,0.0042,0.0045,1.0,-3.436210075607653,lr_tail_q0.975_w4.0_a1.0;lr_tail_q0.975_w8.0_a1.0,1.2048525599995628,0.02123143999488093,65.0,50.0,1.0
