evaluation_role,dataset,holdout,seed_group,alpha,n_seeds,selected_by_validation_rate,attack_high_detection_mean,final_ood_high_alarm_max,feasible_rate,roc_auc_mean,pr_auc_mean,pauc_fpr_1pct_mean
consistency,harder_holdout,chrono_late_train_early_eval,heldout_47_51,0.5,5,1.0,0.7078225335668418,0.0018,1.0,0.7413222708698189,0.7863313268107066,0.8330267801353528
consistency,harder_holdout,chrono_late_train_early_eval,main_42_46,0.5,5,1.0,0.7078225335668418,0.0018,1.0,0.7413222708698189,0.7863313268107066,0.8330267801353528
consistency,harder_holdout,chrono_late_train_early_eval,heldout_47_51,0.6,5,0.0,0.7177466433158202,0.0028,1.0,0.7578261821366024,0.800614175073121,0.841344785808787
consistency,harder_holdout,chrono_late_train_early_eval,main_42_46,0.6,5,0.0,0.7177466433158202,0.0028,1.0,0.7578261821366024,0.800614175073121,0.841344785808787
consistency,harder_holdout,chrono_late_train_early_eval,heldout_47_51,0.7,5,0.0,0.7314652656158785,0.0033,1.0,0.7809399007589024,0.8204062455485952,0.852685787372355
consistency,harder_holdout,chrono_late_train_early_eval,main_42_46,0.7,5,0.0,0.7314652656158785,0.0033,1.0,0.7809399007589024,0.8204062455485952,0.852685787372355
consistency,harder_holdout,chrono_late_train_early_eval,heldout_47_51,0.8,5,0.0,0.7600700525394045,0.005,1.0,0.8264660828955052,0.8489578186554025,0.8686324207141956
consistency,harder_holdout,chrono_late_train_early_eval,main_42_46,0.8,5,0.0,0.7600700525394045,0.005,1.0,0.8264660828955052,0.8489578186554025,0.8686324207141956
consistency,harder_holdout,chrono_late_train_early_eval,heldout_47_51,0.9,5,0.0,0.8374197314652656,0.0065,1.0,0.9338622883829538,0.9321972079177374,0.9030558513525009
consistency,harder_holdout,chrono_late_train_early_eval,main_42_46,0.9,5,0.0,0.8374197314652656,0.0065,1.0,0.9338622883829538,0.9321972079177374,0.9030558513525009
consistency,harder_holdout,holdout_bin_2,heldout_47_51,0.5,5,0.6,0.4250741839762611,0.0009,1.0,0.5274047477744808,0.5203155145120674,0.7118530337145669
consistency,harder_holdout,holdout_bin_2,main_42_46,0.5,5,0.8,0.4250741839762611,0.0009,1.0,0.5274047477744808,0.5203155145120674,0.7118530337145669
consistency,harder_holdout,holdout_bin_2,heldout_47_51,0.6,5,0.2,0.47106824925816027,0.0008,1.0,0.588343768545994,0.5824908493405067,0.7409488093285418
consistency,harder_holdout,holdout_bin_2,main_42_46,0.6,5,0.2,0.47106824925816027,0.0008,1.0,0.588343768545994,0.5824908493405067,0.7409488093285418
consistency,harder_holdout,holdout_bin_2,heldout_47_51,0.7,5,0.0,0.5586053412462908,0.0017,1.0,0.6998745548961425,0.6693873337122543,0.7808590429894279
