evaluation_role,dataset,holdout,split_protocol,method,method_group,candidate,fusion_family,selected_config_id,seed,seed_group,ood_target,threshold,support_size,feature_dim,train_time,inference_time,parameter_count,provenance_clean,final_eval_used_for_selection,roc_auc,pr_auc,pauc_fpr_1pct,tpr_at_fpr_1pct,attack_high_detection,final_ood_high_alarm,attack_eval_size,final_ood_eval_size,feasible_final_1pct
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F0_V1_baseline,baseline,V1_LOW_GUARD_minimal,raw_v1,none,42,main_42_46,0.01,-2.4168281315697695,32,100,1.0736246999586,0.033331000013276935,101,True,False,0.9955963511972634,0.9750327295349486,0.9591572457498438,0.9828962371721779,0.9669327251995439,0.0019,877,10000,True
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F1_V2_top64_baseline,baseline,V2_top64_LR,raw_v2,none,42,main_42_46,0.01,-4.102580408336336,32,64,0.3028347000363283,0.01886049995664507,65,True,False,0.9811110604332952,0.9727854578991534,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0045,877,10000,True
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F2_linear_alpha_selected,targeted_fusion_retry,F2_linear_alpha_selected,linear_alpha,alpha_0.90,42,main_42_46,0.01,1.8322651301399804,32,2,0.0001674999948590994,0.09374690003460273,0,True,False,0.9827901938426453,0.9737068614216348,0.983641124665517,0.9680729760547321,0.9680729760547321,0.0032,877,10000,True
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F3_residual_lr_selected,targeted_fusion_retry,F3_residual_lr_selected,residual_lr,residual_C_1.0,42,main_42_46,0.01,-4.651984122472564,32,5,0.02497969998512417,0.10056749999057502,6,True,False,0.9995380843785633,0.9952455423608991,0.9837614526452101,0.9908779931584949,0.9680729760547321,0.0049,877,10000,True
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F4_conservative_max_selected,targeted_fusion_retry,F4_conservative_max_selected,conservative_max,beta_0.50,42,main_42_46,0.01,1.9470669667280993,32,2,4.4199987314641476e-05,0.09959970001364127,0,True,False,0.9980453819840365,0.9867389561329417,0.982821748422844,0.9680729760547321,0.9680729760547321,0.0053,877,10000,True
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F0_V1_baseline,baseline,V1_LOW_GUARD_minimal,raw_v1,none,43,main_42_46,0.01,-2.4168281315697695,32,100,1.0859427999821492,0.03066350001608953,101,True,False,0.9955963511972634,0.9750327295349486,0.9591572457498438,0.9828962371721779,0.9669327251995439,0.0019,877,10000,True
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F1_V2_top64_baseline,baseline,V2_top64_LR,raw_v2,none,43,main_42_46,0.01,-4.102580408336336,32,64,0.3400318999774754,0.018214399984572083,65,True,False,0.9811110604332952,0.9727854578991534,0.9830738641898202,0.9680729760547321,0.9680729760547321,0.0045,877,10000,True
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F2_linear_alpha_selected,targeted_fusion_retry,F2_linear_alpha_selected,linear_alpha,alpha_0.50,43,main_42_46,0.01,1.554760383816045,32,2,6.40999642200768e-05,0.10761130001628771,0,True,False,0.991777993158495,0.9839057466931772,0.9849418128269626,0.9726339794754846,0.9669327251995439,0.0003,877,10000,True
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F3_residual_lr_selected,targeted_fusion_retry,F3_residual_lr_selected,residual_lr,residual_C_1.0,43,main_42_46,0.01,-4.651984122472564,32,5,0.021860599983483553,0.09613570000510663,6,True,False,0.9995380843785633,0.9952455423608991,0.9837614526452101,0.9908779931584949,0.9680729760547321,0.0049,877,10000,True
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F4_conservative_max_selected,targeted_fusion_retry,F4_conservative_max_selected,conservative_max,beta_1.00,43,main_42_46,0.01,1.9470669667280993,32,2,4.930002614855766e-05,0.09407399996416643,0,True,False,0.9996212086659065,0.994613110747429,0.9809652595932915,1.0,0.9703534777651083,0.0057,877,10000,True
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,F0_V1_baseline,baseline,V1_LOW_GUARD_minimal,raw_v1,none,44,main_42_46,0.01,-2.4168281315697695,32,100,1.1477038000011817,0.031270000035874546,101,True,False,0.9955963511972634,0.9750327295349486,0.9591572457498438,0.9828962371721779,0.9669327251995439,0.0019,877,10000,True
