dataset,holdout,evaluation_role,seed,v1_score_available,v2_top64_score_available,selection_base_support_size,selection_support_holdout_size,final_support_size,final_eval_used_for_fusion_selection,score_reconstructed_from_fixed_protocol
locked_harder_holdout,holdout_bin_5,locked,42,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_5,locked,43,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_5,locked,44,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_5,locked,45,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_5,locked,46,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_5,locked,47,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_5,locked,48,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_5,locked,49,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_5,locked,50,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_5,locked,51,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_6,locked,42,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_6,locked,43,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_6,locked,44,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_6,locked,45,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_6,locked,46,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_6,locked,47,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_6,locked,48,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_6,locked,49,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_6,locked,50,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_6,locked,51,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_7,locked,42,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_7,locked,43,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_7,locked,44,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_7,locked,45,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_7,locked,46,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_7,locked,47,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_7,locked,48,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_7,locked,49,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_7,locked,50,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_7,locked,51,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_8,locked,42,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_8,locked,43,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_8,locked,44,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_8,locked,45,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_8,locked,46,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_8,locked,47,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_8,locked,48,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_8,locked,49,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_8,locked,50,True,True,24,8,32,False,True
locked_harder_holdout,holdout_bin_8,locked,51,True,True,24,8,32,False,True
primary_lowood,primary_lowood,consistency,42,True,True,24,8,32,False,True
primary_lowood,primary_lowood,consistency,43,True,True,24,8,32,False,True
primary_lowood,primary_lowood,consistency,44,True,True,24,8,32,False,True
primary_lowood,primary_lowood,consistency,45,True,True,24,8,32,False,True
primary_lowood,primary_lowood,consistency,46,True,True,24,8,32,False,True
primary_lowood,primary_lowood,consistency,47,True,True,24,8,32,False,True
primary_lowood,primary_lowood,consistency,48,True,True,24,8,32,False,True
primary_lowood,primary_lowood,consistency,49,True,True,24,8,32,False,True
primary_lowood,primary_lowood,consistency,50,True,True,24,8,32,False,True
primary_lowood,primary_lowood,consistency,51,True,True,24,8,32,False,True
harder_holdout,chrono_late_train_early_eval,consistency,42,True,True,24,8,32,False,True
harder_holdout,chrono_late_train_early_eval,consistency,43,True,True,24,8,32,False,True
harder_holdout,chrono_late_train_early_eval,consistency,44,True,True,24,8,32,False,True
harder_holdout,chrono_late_train_early_eval,consistency,45,True,True,24,8,32,False,True
harder_holdout,chrono_late_train_early_eval,consistency,46,True,True,24,8,32,False,True
harder_holdout,chrono_late_train_early_eval,consistency,47,True,True,24,8,32,False,True
harder_holdout,chrono_late_train_early_eval,consistency,48,True,True,24,8,32,False,True
harder_holdout,chrono_late_train_early_eval,consistency,49,True,True,24,8,32,False,True
harder_holdout,chrono_late_train_early_eval,consistency,50,True,True,24,8,32,False,True
harder_holdout,chrono_late_train_early_eval,consistency,51,True,True,24,8,32,False,True
harder_holdout,holdout_bin_2,consistency,42,True,True,24,8,32,False,True
harder_holdout,holdout_bin_2,consistency,43,True,True,24,8,32,False,True
harder_holdout,holdout_bin_2,consistency,44,True,True,24,8,32,False,True
harder_holdout,holdout_bin_2,consistency,45,True,True,24,8,32,False,True
harder_holdout,holdout_bin_2,consistency,46,True,True,24,8,32,False,True
harder_holdout,holdout_bin_2,consistency,47,True,True,24,8,32,False,True
harder_holdout,holdout_bin_2,consistency,48,True,True,24,8,32,False,True
harder_holdout,holdout_bin_2,consistency,49,True,True,24,8,32,False,True
harder_holdout,holdout_bin_2,consistency,50,True,True,24,8,32,False,True
harder_holdout,holdout_bin_2,consistency,51,True,True,24,8,32,False,True
