run_id,layer,method_or_group,settings,seeds,expected_runtime,must_run,fallback_if_too_expensive
R1,internal_baseline,V1_original100_fixed_guard_LR,locked_bins_5_6_7_8,main_42_46;heldout_47_51,low,yes,main_42_46_first_then_heldout
R2,internal_baseline,V2_top32_source_rich_fixed_guard_LR,locked_bins_5_6_7_8,main_42_46;heldout_47_51,low,yes,main_42_46_first_then_heldout
R3,main_method,Enhanced_LOW_GUARD_top64_fixed_guard_LR,locked_bins_5_6_7_8,main_42_46;heldout_47_51,low,yes,reuse_issue23_if_protocol_identical
R4,component_ablation,top64_no_guard,locked_bins_5_6_7_8,main_42_46;heldout_47_51,low,yes,main_42_46_first
R5,component_ablation,top64_random32,locked_bins_5_6_7_8,main_42_46;heldout_47_51,low_to_medium,yes,reduce_to_5_main_seeds_if_cost_high
R6,unsupervised,Isolation_Forest,locked_bins_5_6_7_8,main_42_46;heldout_47_51,medium,yes,main_42_46_first
R7,unsupervised,OC_SVM,locked_bins_5_6_7_8,main_42_46;heldout_47_51,medium_to_high,yes,main_42_46_first_with_small_predefined_grid
R8,nonlinear_tabular,HistGB_shallow,locked_bins_5_6_7_8,main_42_46;heldout_47_51,medium,yes,main_42_46_first
R9,fewshot_anomaly,DevNet_like_lightweight,locked_bins_5_6_7_8,main_42_46;heldout_47_51,high,yes,if_unstable_mark_diagnostic_and_run_main_42_46
R10,semisupervised_anomaly,DeepSAD_like_lightweight,locked_bins_5_6_7_8,main_42_46;heldout_47_51,high,yes,if_unstable_mark_diagnostic_and_run_main_42_46
R11,optional_unsupervised,LOF,locked_bins_5_6_7_8,main_42_46,medium,optional,skip_if_scalability_poor
R12,optional_representation,full_source_rich_LR,locked_bins_5_6_7_8,main_42_46,medium,optional,skip_if_alignment_or_runtime_unclean
R13,consistency_check,required_methods_subset,primary_lowood;holdout_bin_2;chrono_late,main_42_46;heldout_47_51,medium,yes,reuse_prior_identical_runs_where_possible
