evaluation_role,dataset,holdout,method,baseline_category,run_priority,seed_group,n_seeds,roc_auc_mean,pr_auc_mean,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,feature_input,feature_dim,uses_attack_supports,support_count,selected_config,train_time_mean,inference_time_mean,parameter_count_mean,provenance_clean_rate
consistency,harder_holdout,chrono_late_train_early_eval,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,required,heldout_47_51,5,0.705273963806188,0.7560938824515404,0.8092256378213308,0.6903093987157034,0.6798015178050204,0.0,0.6798015178050204,0.6798015178050204,0.0018,0.0018,1.0,-3.203347693811287,original100,100,True,32,fixed_lr,0.8421059799962677,0.02004791998770088,101.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,required,main_42_46,5,0.705273963806188,0.7560938824515404,0.8092256378213308,0.6903093987157034,0.6798015178050204,0.0,0.6798015178050204,0.6798015178050204,0.0018,0.0018,1.0,-3.203347693811287,original100,100,True,32,fixed_lr,0.7661677600233816,0.02057291999226436,101.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,required,heldout_47_51,5,0.9806204028021016,0.9612652574285201,0.8389231622209119,0.7335084646818447,0.7314652656158785,0.0,0.7314652656158785,0.7314652656158785,0.0097,0.0097,1.0,-0.46364417869220853,selected_source_rich_top32,32,True,32,fixed_lr,0.18121508000185713,0.007682840002235025,33.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,required,main_42_46,5,0.9806204028021016,0.9612652574285201,0.8389231622209119,0.7335084646818447,0.7314652656158785,0.0,0.7314652656158785,0.7314652656158785,0.0097,0.0097,1.0,-0.46364417869220853,selected_source_rich_top32,32,True,32,fixed_lr,0.21068630000809208,0.007035699998959899,33.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,required,heldout_47_51,5,0.9932267950963223,0.9883133894403848,0.9539070131744536,0.9538820782253357,0.9500875656742556,0.0,0.9500875656742557,0.9500875656742557,0.0089,0.0089,1.0,-2.8655547549506384,selected_source_rich_top64,64,True,32,fixed_lr,0.4471399600035511,0.012993219995405526,65.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,required,main_42_46,5,0.9932267950963223,0.9883133894403848,0.9539070131744536,0.9538820782253357,0.9500875656742556,0.0,0.9500875656742557,0.9500875656742557,0.0089,0.0089,1.0,-2.8655547549506384,selected_source_rich_top64,64,True,32,fixed_lr,0.49943109999876467,0.01703471998916939,65.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M3_top64_no_guard_LR,component_ablation,required,heldout_47_51,5,0.6065561004086398,0.34834945955255503,0.4974874371859296,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,1.0,109.6071538200298,selected_source_rich_top64,64,True,32,fixed_lr,0.14199338001199066,0.012839699978940189,65.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M3_top64_no_guard_LR,component_ablation,required,main_42_46,5,0.6065561004086398,0.34834945955255503,0.4974874371859296,0.0,0.0,0.0,0.0,0.0,0.0096,0.0096,1.0,109.6071538200298,selected_source_rich_top64,64,True,32,fixed_lr,0.15689112001564354,0.013932580000255258,65.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M4_top64_random32_fixed_guard_LR,component_ablation,required,heldout_47_51,5,0.9759973380035026,0.9711697533780785,0.9534590641473567,0.9222416812609457,0.914068884997081,0.03425249619889763,0.8651488616462347,0.9600116754232341,0.00574,0.0082,1.0,-4.087696679221596,selected_source_rich_top64,64,True,32,fixed_lr,0.3571827200124972,0.012419060000684112,65.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M4_top64_random32_fixed_guard_LR,component_ablation,required,main_42_46,5,0.9657485931115003,0.9578750752227213,0.93698909022638,0.894687682428488,0.878225335668418,0.05693168208532452,0.7845884413309983,0.9249854057209573,0.004739999999999999,0.0097,1.0,-3.733496340988033,selected_source_rich_top64,64,True,32,fixed_lr,0.4532846199930646,0.01292275998275727,65.0,1.0
