split_role,device,row_count
attack_eval,building-monitor,5543719
attack_eval,combined-cycle,5971118
attack_eval,domotic-monitor,2105832
attack_eval,ip-camera-street,1629489
attack_support_pool,air-quality,46962
attack_support_pool,city-power,1513259
attack_support_pool,combined-cycle,136692
attack_support_pool,ip-camera-museum,5922657
final_ood_benign_eval,domotic-monitor,6658
final_ood_benign_eval,hydraulic-system,52406
final_ood_benign_eval,ip-camera-street,783243
id_benign_train,combined-cycle,2036
id_benign_train,combined-cycle-tls,9720
id_benign_train,cooler-motor,471917
id_benign_train,ip-camera-museum,1232612
ood_benign_val,building-monitor,6960
ood_benign_val,predictive-maintenance,371034
ood_benign_val,stream-consumer,930429
