role,csv_member,pcap_member,scenario,first_attack_timestamp_epoch,first_attack_label,pcap_to_first_attack_delta_seconds,pcap_first_timestamp_epoch,pre_onset_packets,last_pre_onset_timestamp_epoch,first_packet_at_or_after_onset_epoch,hit_onset_within_scan_budget,pcap_scan_status
attack_support,processed/iotsim-air-quality-1.csv,raw/malicious/mirai-infection/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,mirai-infection,1737235793.490203,Telnet Brute Force,3974.4705078601837,1737231819.019695,2032,1737235793.486361,1737235793.490203,True,ok
attack_support,processed/iotsim-air-quality-1.csv,raw/malicious/mirai-dos/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,mirai-dos,1737235793.490203,Telnet Brute Force,-584599.3558740616,1737820392.846077,0,,,False,pcap_starts_after_csv_first_attack
attack_support,processed/iotsim-air-quality-1.csv,raw/malicious/network-scanning/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,network-scanning,1737235793.490203,Telnet Brute Force,337985.0476858616,1736897808.442517,58857,1736898713.913802,,False,ok
attack_support,processed/iotsim-city-power-1.csv,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,mirai-infection,1737235783.576491,Telnet Brute Force,3964.5563220977783,1737231819.020169,863,1737235783.320042,1737235783.576491,True,ok
attack_support,processed/iotsim-city-power-1.csv,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,merlin,1737235783.576491,Telnet Brute Force,106965.29454803467,1737128818.281943,35114,1737134148.349154,,False,ok
attack_support,processed/iotsim-city-power-1.csv,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,mirai-dos,1737235783.576491,Telnet Brute Force,-584609.2690417767,1737820392.845533,0,,,False,pcap_starts_after_csv_first_attack
attack_support,processed/iotsim-city-power-1.csv,raw/malicious/network-scanning/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,network-scanning,1737235783.576491,Telnet Brute Force,337921.83007216454,1736897861.746419,58673,1736898648.17641,,False,ok
attack_support,processed/iotsim-combined-cycle-10.csv,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,mirai-infection,1737235781.420146,Telnet Brute Force,3978.7851309776306,1737231802.635015,966,1737235781.370546,1737235781.420146,True,ok
attack_support,processed/iotsim-combined-cycle-10.csv,raw/malicious/merlin/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,merlin,1737235781.420146,Telnet Brute Force,106979.52078795433,1737128801.899358,788,1737134149.738381,,False,ok
attack_support,processed/iotsim-combined-cycle-10.csv,raw/malicious/mirai-dos/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,mirai-dos,1737235781.420146,Telnet Brute Force,-589372.342607975,1737825153.762754,0,,,False,pcap_starts_after_csv_first_attack
attack_support,processed/iotsim-combined-cycle-10.csv,raw/malicious/network-scanning/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,network-scanning,1737235781.420146,Telnet Brute Force,337958.9230439663,1736897822.497102,54848,1736898743.441214,,False,ok
attack_support,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,mirai-infection,,,,,,,,False,no_first_attack_timestamp
attack_support,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,merlin,,,,,,,,False,no_first_attack_timestamp
attack_support,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,mirai-dos,,,,,,,,False,no_first_attack_timestamp
attack_support,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/network-scanning/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,network-scanning,,,,,,,,False,no_first_attack_timestamp
attack_eval,processed/iotsim-building-monitor-1.csv,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,mirai-infection,1737235764.020608,Telnet Brute Force,3944.231323003769,1737231819.789285,1254,1737235763.769277,1737235764.020608,True,ok
attack_eval,processed/iotsim-building-monitor-1.csv,raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,merlin,1737235764.020608,Telnet Brute Force,106955.04965400696,1737128808.970954,45491,1737134215.380321,,False,ok
attack_eval,processed/iotsim-building-monitor-1.csv,raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,mirai-dos,1737235764.020608,Telnet Brute Force,-584646.3726680279,1737820410.393276,0,,,False,pcap_starts_after_csv_first_attack
attack_eval,processed/iotsim-building-monitor-1.csv,raw/malicious/network-scanning/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,network-scanning,1737235764.020608,Telnet Brute Force,337954.2232708931,1736897809.797337,58615,1736898770.331338,,False,ok
attack_eval,processed/iotsim-combined-cycle-1.csv,raw/malicious/mirai-infection/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,mirai-infection,1737235781.420146,Telnet Brute Force,3978.7850890159607,1737231802.635057,1042,1737235781.370595,1737235781.420515,True,ok
attack_eval,processed/iotsim-combined-cycle-1.csv,raw/malicious/merlin/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,merlin,1737235781.420146,Telnet Brute Force,106979.52067089081,1737128801.899475,45012,1737134216.899654,,False,ok
attack_eval,processed/iotsim-combined-cycle-1.csv,raw/malicious/mirai-dos/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,mirai-dos,1737235781.420146,Telnet Brute Force,-589372.3426289558,1737825153.762775,0,,,False,pcap_starts_after_csv_first_attack
attack_eval,processed/iotsim-combined-cycle-1.csv,raw/malicious/network-scanning/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,network-scanning,1737235781.420146,Telnet Brute Force,337958.9230339527,1736897822.497112,54815,1736898745.771456,,False,ok
attack_eval,processed/iotsim-combined-cycle-1.csv,raw/malicious/coap-amplificator/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,coap-amplificator,1737235781.420146,Telnet Brute Force,299003.037101984,1736936778.383044,200000,1736940035.333185,,False,max_packets_before_onset
