strategy,state_id,role,split_role,pcap_member,csv_member,record_start_ts,feature_rows_emitted,packets_scanned,pre_record_packets,state_hash_before,state_hash_after
reset_at_split_boundary,reset::id_benign_train::iotsim-cooler-motor-8,id_benign_train,ID_benign_train,raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap,processed/iotsim-cooler-motor-8.csv,,400,401,0,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,ad8906146fe02564f296871a1c5c5783c7f9cb020b7fbb211daffbdad6fc5ec8
reset_at_split_boundary,reset::id_benign_train::iotsim-combined-cycle-tls-1,id_benign_train,ID_benign_train,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,processed/iotsim-combined-cycle-tls-1.csv,,400,401,0,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,996a6a1b2d6ed307afb61a0a595967239dcf5932b9269c812331a8e9a683246d
reset_at_split_boundary,reset::ood_benign_val::iotsim-building-monitor-3,ood_benign_val,OOD_benign_val,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,processed/iotsim-building-monitor-3.csv,,400,401,0,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,09b19a2c687e8985fb5698bd8d079915fbac992b83baf85de5c7441cc207d2bb
reset_at_split_boundary,reset::ood_benign_val::iotsim-predictive-maintenance-8,ood_benign_val,OOD_benign_val,raw/benign/iotsim-predictive-maintenance-8_0-0_to_OpenvSwitch-19_8-0.pcap,processed/iotsim-predictive-maintenance-8.csv,,400,401,0,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,73d24f099eed0899b45670b081ab0bd7a0d19ddf5725692614670be4e120b6d2
reset_at_split_boundary,reset::final_ood_benign_eval::iotsim-hydraulic-system-8,final_ood_benign_eval,final_OOD_benign_eval,raw/benign/iotsim-hydraulic-system-8_0-0_to_OpenvSwitch-15_8-0.pcap,processed/iotsim-hydraulic-system-8.csv,,400,401,0,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,24460c2117244a74e064d60a90dd4abe3973716f03ab0e348109dc96d239b5ce
reset_at_split_boundary,reset::final_ood_benign_eval::iotsim-domotic-monitor-2,final_ood_benign_eval,final_OOD_benign_eval,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,processed/iotsim-domotic-monitor-2.csv,,400,401,0,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,1405358eb674b56ad812e10bd2d639d2a4fac973e1532c898f6482c629166cbb
reset_at_split_boundary,reset::attack_support::iotsim-air-quality-1,attack_support,attack_support,raw/malicious/mirai-infection/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,processed/iotsim-air-quality-1.csv,1737235793.490203,400,2433,2032,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,26f9e7b285529ae3121b3623550d223434e36977c44a14b3fb6cb463850e7114
reset_at_split_boundary,reset::attack_support::iotsim-city-power-1,attack_support,attack_support,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,1737235783.576491,400,1264,863,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,439765e6dc0b3f645aebbdbf1f58928afcac4b0ce400af46e247ee3823f8e16b
reset_at_split_boundary,reset::attack_support::iotsim-combined-cycle-10,attack_support,attack_support,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1737235781.420146,400,1367,966,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,c00669f771c4941570fdce48f669381e53f60938ec6e717a9e73c687f01d08b9
reset_at_split_boundary,reset::attack_eval::iotsim-building-monitor-1,attack_eval,attack_eval,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,processed/iotsim-building-monitor-1.csv,1737235764.020608,400,1655,1254,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,c6100241a625f73355d177b8b64d4e063f4f4737449e016f6fb2187e667abed0
reset_at_split_boundary,reset::attack_eval::iotsim-combined-cycle-1,attack_eval,attack_eval,raw/malicious/mirai-infection/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,processed/iotsim-combined-cycle-1.csv,1737235781.420146,400,1443,1042,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,63c344634c9f7f220f586f26289bec6b41978933a27595a089116c1d634c845b
reset_at_split_boundary,reset::attack_eval::iotsim-domotic-monitor-1,attack_eval,attack_eval,raw/malicious/mirai-infection/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,processed/iotsim-domotic-monitor-1.csv,1737235794.490721,400,2417,2016,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,dcbc80c38099f35689263afb77a092ec14d5b427396c0864b89f576eb6f06ae8
train_state_then_eval_online,B::train::iotsim-cooler-motor-8,id_benign_train,ID_benign_train,raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap,processed/iotsim-cooler-motor-8.csv,,400,401,0,d3e43d19e491fa0ee6713593692305d4a0eb615f4403f8d36cce0c1849af3b9a,ad8906146fe02564f296871a1c5c5783c7f9cb020b7fbb211daffbdad6fc5ec8
train_state_then_eval_online,B::train::iotsim-combined-cycle-tls-1,id_benign_train,ID_benign_train,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,processed/iotsim-combined-cycle-tls-1.csv,,400,401,0,ad8906146fe02564f296871a1c5c5783c7f9cb020b7fbb211daffbdad6fc5ec8,6c149658d1de4957243a3398af9321df9c5f1483d30165937c5fbb80409c0f5c
train_state_then_eval_online,B::branch::ood_benign_val::iotsim-building-monitor-3,ood_benign_val,OOD_benign_val,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,processed/iotsim-building-monitor-3.csv,,400,401,0,6c149658d1de4957243a3398af9321df9c5f1483d30165937c5fbb80409c0f5c,e5dc6bc2334c10f9f77adf040423bde5329571d123f82aad41eb56b3f711e568
train_state_then_eval_online,B::branch::ood_benign_val::iotsim-predictive-maintenance-8,ood_benign_val,OOD_benign_val,raw/benign/iotsim-predictive-maintenance-8_0-0_to_OpenvSwitch-19_8-0.pcap,processed/iotsim-predictive-maintenance-8.csv,,400,401,0,6c149658d1de4957243a3398af9321df9c5f1483d30165937c5fbb80409c0f5c,e087e9bb682560c71bf0e502114e0aa631740ac008fc760080b6e5524cd1ba3b
train_state_then_eval_online,B::branch::final_ood_benign_eval::iotsim-hydraulic-system-8,final_ood_benign_eval,final_OOD_benign_eval,raw/benign/iotsim-hydraulic-system-8_0-0_to_OpenvSwitch-15_8-0.pcap,processed/iotsim-hydraulic-system-8.csv,,400,401,0,6c149658d1de4957243a3398af9321df9c5f1483d30165937c5fbb80409c0f5c,8ffc25ea5373a23b8a47189c14426a08983eca4d0b55a6beb405bcd73ded799f
train_state_then_eval_online,B::branch::final_ood_benign_eval::iotsim-domotic-monitor-2,final_ood_benign_eval,final_OOD_benign_eval,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,processed/iotsim-domotic-monitor-2.csv,,400,401,0,6c149658d1de4957243a3398af9321df9c5f1483d30165937c5fbb80409c0f5c,5e3e44a6ddad653b76c4b393e5d448699577980396d106cd971ea21a884b9869
train_state_then_eval_online,B::branch::attack_support::iotsim-air-quality-1,attack_support,attack_support,raw/malicious/mirai-infection/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,processed/iotsim-air-quality-1.csv,1737235793.490203,400,2433,2032,6c149658d1de4957243a3398af9321df9c5f1483d30165937c5fbb80409c0f5c,a3c01b6791220f5e6d89496ce5a4ee35474e8f568fa5df40039ee0db79db114f
train_state_then_eval_online,B::branch::attack_support::iotsim-city-power-1,attack_support,attack_support,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,1737235783.576491,400,1264,863,6c149658d1de4957243a3398af9321df9c5f1483d30165937c5fbb80409c0f5c,fdbaaf8a11e89ed76bbacb40d6fbb33f0ad2d020408ee641e01e7f15ee5e0671
train_state_then_eval_online,B::branch::attack_support::iotsim-combined-cycle-10,attack_support,attack_support,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1737235781.420146,400,1367,966,6c149658d1de4957243a3398af9321df9c5f1483d30165937c5fbb80409c0f5c,9e20b6d0e22d205c90b7614bab82ac680555265ae2f9dfccefa889673316e0be
train_state_then_eval_online,B::branch::attack_eval::iotsim-building-monitor-1,attack_eval,attack_eval,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,processed/iotsim-building-monitor-1.csv,1737235764.020608,400,1655,1254,6c149658d1de4957243a3398af9321df9c5f1483d30165937c5fbb80409c0f5c,0ee9776af742440785ef43c287a0c5cad52df0c21db8764a3e84382f3c921b31
train_state_then_eval_online,B::branch::attack_eval::iotsim-combined-cycle-1,attack_eval,attack_eval,raw/malicious/mirai-infection/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,processed/iotsim-combined-cycle-1.csv,1737235781.420146,400,1443,1042,6c149658d1de4957243a3398af9321df9c5f1483d30165937c5fbb80409c0f5c,41371455352b16db924455cbf31c730fa895c55903fe9552dd09233657a51bfd
train_state_then_eval_online,B::branch::attack_eval::iotsim-domotic-monitor-1,attack_eval,attack_eval,raw/malicious/mirai-infection/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,processed/iotsim-domotic-monitor-1.csv,1737235794.490721,400,2417,2016,6c149658d1de4957243a3398af9321df9c5f1483d30165937c5fbb80409c0f5c,7279f6c25014f8f07b672bb81a8653abafa62b7d206b84d3f00e58a798704d89
