role,csv_member,pcap_member,record_start_ts,selection_status,first_attack_label,pre_onset_packets,scenario
id_benign_train,processed/iotsim-cooler-motor-8.csv,raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap,,selected_preregistered_benign,,,
id_benign_train,processed/iotsim-combined-cycle-tls-1.csv,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,,selected_preregistered_benign,,,
ood_benign_val,processed/iotsim-building-monitor-3.csv,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,,selected_preregistered_benign,,,
ood_benign_val,processed/iotsim-predictive-maintenance-8.csv,raw/benign/iotsim-predictive-maintenance-8_0-0_to_OpenvSwitch-19_8-0.pcap,,selected_preregistered_benign,,,
final_ood_benign_eval,processed/iotsim-hydraulic-system-8.csv,raw/benign/iotsim-hydraulic-system-8_0-0_to_OpenvSwitch-15_8-0.pcap,,selected_preregistered_benign,,,
final_ood_benign_eval,processed/iotsim-domotic-monitor-2.csv,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,,selected_preregistered_benign,,,
attack_support,processed/iotsim-air-quality-1.csv,raw/malicious/mirai-infection/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,1737235793.490203,selected_onset_aligned_attack,Telnet Brute Force,2032,mirai-infection
attack_support,processed/iotsim-city-power-1.csv,raw/malicious/mirai-infection/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,1737235783.576491,selected_onset_aligned_attack,Telnet Brute Force,863,mirai-infection
attack_support,processed/iotsim-combined-cycle-10.csv,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,1737235781.420146,selected_onset_aligned_attack,Telnet Brute Force,966,mirai-infection
attack_support,processed/iotsim-ip-camera-museum-1.csv,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,1737235770.488062,onset_aligned_deferred_heavy_fast_forward,Telnet Brute Force,644553,mirai-infection
attack_eval,processed/iotsim-building-monitor-1.csv,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,1737235764.020608,selected_onset_aligned_attack,Telnet Brute Force,1254,mirai-infection
attack_eval,processed/iotsim-combined-cycle-1.csv,raw/malicious/mirai-infection/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,1737235781.420146,selected_onset_aligned_attack,Telnet Brute Force,1042,mirai-infection
attack_eval,processed/iotsim-domotic-monitor-1.csv,raw/malicious/mirai-infection/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,1737235794.490721,selected_onset_aligned_attack,Telnet Brute Force,2016,mirai-infection
attack_eval,processed/iotsim-ip-camera-street-1.csv,raw/malicious/mirai-infection/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,1737235800.982347,onset_aligned_deferred_heavy_fast_forward,Telnet Brute Force,413113,mirai-infection
