strategy,adapter,phase,role,row_count,score_shape,score_dtype,finite_rate,nan_count,inf_count
reset_at_split_boundary,LR_Minimal_Interface,score_shape_smoke,attack_eval,1050,[1050],float64,1.0,0,0
reset_at_split_boundary,LR_Minimal_Interface,score_shape_smoke,attack_support,1050,[1050],float64,1.0,0,0
reset_at_split_boundary,LR_Minimal_Interface,score_shape_smoke,final_ood_benign_eval,700,[700],float64,1.0,0,0
reset_at_split_boundary,LR_Minimal_Interface,score_shape_smoke,id_benign_train,700,[700],float64,1.0,0,0
reset_at_split_boundary,LR_Minimal_Interface,score_shape_smoke,ood_benign_val,700,[700],float64,1.0,0,0
reset_at_split_boundary,HistGB_Minimal_Interface,score_shape_smoke,attack_eval,1050,[1050],float64,1.0,0,0
reset_at_split_boundary,HistGB_Minimal_Interface,score_shape_smoke,attack_support,1050,[1050],float64,1.0,0,0
reset_at_split_boundary,HistGB_Minimal_Interface,score_shape_smoke,final_ood_benign_eval,700,[700],float64,1.0,0,0
reset_at_split_boundary,HistGB_Minimal_Interface,score_shape_smoke,id_benign_train,700,[700],float64,1.0,0,0
reset_at_split_boundary,HistGB_Minimal_Interface,score_shape_smoke,ood_benign_val,700,[700],float64,1.0,0,0
reset_at_split_boundary,DeepSADStyle_Lite_Interface,score_shape_smoke,attack_eval,1050,[1050],float32,1.0,0,0
reset_at_split_boundary,DeepSADStyle_Lite_Interface,score_shape_smoke,attack_support,1050,[1050],float32,1.0,0,0
reset_at_split_boundary,DeepSADStyle_Lite_Interface,score_shape_smoke,final_ood_benign_eval,700,[700],float32,1.0,0,0
reset_at_split_boundary,DeepSADStyle_Lite_Interface,score_shape_smoke,id_benign_train,700,[700],float32,1.0,0,0
reset_at_split_boundary,DeepSADStyle_Lite_Interface,score_shape_smoke,ood_benign_val,700,[700],float32,1.0,0,0
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,score_shape_smoke,attack_eval,1050,[1050],float32,1.0,0,0
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,score_shape_smoke,attack_support,1050,[1050],float32,1.0,0,0
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,score_shape_smoke,final_ood_benign_eval,700,[700],float32,1.0,0,0
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,score_shape_smoke,id_benign_train,700,[700],float32,1.0,0,0
reset_at_split_boundary,LOW_GUARD_Protocol_Shell_Interface,score_shape_smoke,ood_benign_val,700,[700],float32,1.0,0,0
train_state_then_eval_online,LR_Minimal_Interface,score_shape_smoke,attack_eval,1050,[1050],float64,1.0,0,0
train_state_then_eval_online,LR_Minimal_Interface,score_shape_smoke,attack_support,1050,[1050],float64,1.0,0,0
train_state_then_eval_online,LR_Minimal_Interface,score_shape_smoke,final_ood_benign_eval,700,[700],float64,1.0,0,0
train_state_then_eval_online,LR_Minimal_Interface,score_shape_smoke,id_benign_train,700,[700],float64,1.0,0,0
train_state_then_eval_online,LR_Minimal_Interface,score_shape_smoke,ood_benign_val,700,[700],float64,1.0,0,0
train_state_then_eval_online,HistGB_Minimal_Interface,score_shape_smoke,attack_eval,1050,[1050],float64,1.0,0,0
train_state_then_eval_online,HistGB_Minimal_Interface,score_shape_smoke,attack_support,1050,[1050],float64,1.0,0,0
train_state_then_eval_online,HistGB_Minimal_Interface,score_shape_smoke,final_ood_benign_eval,700,[700],float64,1.0,0,0
train_state_then_eval_online,HistGB_Minimal_Interface,score_shape_smoke,id_benign_train,700,[700],float64,1.0,0,0
train_state_then_eval_online,HistGB_Minimal_Interface,score_shape_smoke,ood_benign_val,700,[700],float64,1.0,0,0
train_state_then_eval_online,DeepSADStyle_Lite_Interface,score_shape_smoke,attack_eval,1050,[1050],float32,1.0,0,0
train_state_then_eval_online,DeepSADStyle_Lite_Interface,score_shape_smoke,attack_support,1050,[1050],float32,1.0,0,0
train_state_then_eval_online,DeepSADStyle_Lite_Interface,score_shape_smoke,final_ood_benign_eval,700,[700],float32,1.0,0,0
train_state_then_eval_online,DeepSADStyle_Lite_Interface,score_shape_smoke,id_benign_train,700,[700],float32,1.0,0,0
train_state_then_eval_online,DeepSADStyle_Lite_Interface,score_shape_smoke,ood_benign_val,700,[700],float32,1.0,0,0
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,score_shape_smoke,attack_eval,1050,[1050],float32,1.0,0,0
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,score_shape_smoke,attack_support,1050,[1050],float32,1.0,0,0
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,score_shape_smoke,final_ood_benign_eval,700,[700],float32,1.0,0,0
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,score_shape_smoke,id_benign_train,700,[700],float32,1.0,0,0
train_state_then_eval_online,LOW_GUARD_Protocol_Shell_Interface,score_shape_smoke,ood_benign_val,700,[700],float32,1.0,0,0
