strategy,role,fit_forbidden_violation,calibration_forbidden_violation,selection_forbidden_violation,verdict
reset_at_split_boundary,id_benign_train,False,False,False,pass
reset_at_split_boundary,ood_benign_val,False,False,False,pass
reset_at_split_boundary,attack_support,False,False,False,pass
reset_at_split_boundary,final_ood_benign_eval,False,False,False,pass
reset_at_split_boundary,attack_eval,False,False,False,pass
train_state_then_eval_online,id_benign_train,False,False,False,pass
train_state_then_eval_online,ood_benign_val,False,False,False,pass
train_state_then_eval_online,attack_support,False,False,False,pass
train_state_then_eval_online,final_ood_benign_eval,False,False,False,pass
train_state_then_eval_online,attack_eval,False,False,False,pass
