strategy,method_name,collapse_signal,ood_overbudget_signal,interpretation_scope
reset_at_split_boundary,Raw_LR_IDThreshold_diagnostic,no,yes,medium_asset_diagnostic_only
reset_at_split_boundary,LR_ThresholdOnly_OODVal_diagnostic,yes,yes,medium_asset_diagnostic_only
reset_at_split_boundary,LOW_GUARD_LR_Shell_dry_run,yes,yes,medium_asset_diagnostic_only
reset_at_split_boundary,HistGB_Guarded_dry_run,no,no,medium_asset_diagnostic_only
reset_at_split_boundary,DeepSADStyle_Lite_dry_run,no,yes,medium_asset_diagnostic_only
reset_at_split_boundary,IsolationForest_IDOnly_diagnostic,yes,yes,medium_asset_diagnostic_only
train_state_then_eval_online,Raw_LR_IDThreshold_diagnostic,no,yes,medium_asset_diagnostic_only
train_state_then_eval_online,LR_ThresholdOnly_OODVal_diagnostic,yes,yes,medium_asset_diagnostic_only
train_state_then_eval_online,LOW_GUARD_LR_Shell_dry_run,yes,yes,medium_asset_diagnostic_only
train_state_then_eval_online,HistGB_Guarded_dry_run,no,no,medium_asset_diagnostic_only
train_state_then_eval_online,DeepSADStyle_Lite_dry_run,no,yes,medium_asset_diagnostic_only
train_state_then_eval_online,IsolationForest_IDOnly_diagnostic,yes,yes,medium_asset_diagnostic_only
