strategy,method_name,threshold_rule,threshold_source_roles,final_eval_used_for_threshold,attack_eval_used_for_threshold,threshold_value
reset_at_split_boundary,Raw_LR_IDThreshold_diagnostic,id_q99,id_benign_train,False,False,-3.1248647413887465
reset_at_split_boundary,LR_ThresholdOnly_OODVal_diagnostic,ood_val_q99,ood_benign_val,False,False,1037.502592658924
reset_at_split_boundary,LOW_GUARD_LR_Shell_dry_run,max_id_ood_val_q99,id_benign_train|ood_benign_val,False,False,1036.946616096424
reset_at_split_boundary,HistGB_Guarded_dry_run,max_id_ood_val_q99,id_benign_train|ood_benign_val,False,False,0.933768567519623
reset_at_split_boundary,DeepSADStyle_Lite_dry_run,max_id_ood_val_q99,id_benign_train|ood_benign_val,False,False,0.29436523437499296
reset_at_split_boundary,IsolationForest_IDOnly_diagnostic,max_id_ood_val_q99,id_benign_train|ood_benign_val,False,False,0.2542127206217829
train_state_then_eval_online,Raw_LR_IDThreshold_diagnostic,id_q99,id_benign_train,False,False,-2.9502811224952112
train_state_then_eval_online,LR_ThresholdOnly_OODVal_diagnostic,ood_val_q99,ood_benign_val,False,False,1868.0097855182835
train_state_then_eval_online,LOW_GUARD_LR_Shell_dry_run,max_id_ood_val_q99,id_benign_train|ood_benign_val,False,False,1867.4303476520727
train_state_then_eval_online,HistGB_Guarded_dry_run,max_id_ood_val_q99,id_benign_train|ood_benign_val,False,False,0.9411814389734139
train_state_then_eval_online,DeepSADStyle_Lite_dry_run,max_id_ood_val_q99,id_benign_train|ood_benign_val,False,False,3.2791977977752684
train_state_then_eval_online,IsolationForest_IDOnly_diagnostic,max_id_ood_val_q99,id_benign_train|ood_benign_val,False,False,0.246701562016082
