strategy,head_name,variant_name,final_eval_used_for_fit,final_eval_used_for_threshold,final_eval_used_for_selection,attack_eval_used_for_fit,attack_eval_used_for_threshold,attack_eval_used_for_selection,verdict
reset_at_split_boundary,LR,raw_support_id_threshold,False,False,False,False,False,False,pass
reset_at_split_boundary,LR,threshold_guard_only,False,False,False,False,False,False,pass
reset_at_split_boundary,LR,full_guarded_protocol,False,False,False,False,False,False,pass
reset_at_split_boundary,HistGB,raw_support_id_threshold,False,False,False,False,False,False,pass
reset_at_split_boundary,HistGB,threshold_guard_only,False,False,False,False,False,False,pass
reset_at_split_boundary,HistGB,full_guarded_protocol,False,False,False,False,False,False,pass
reset_at_split_boundary,DeepSADStyle_Lite,raw_support_id_threshold,False,False,False,False,False,False,pass
reset_at_split_boundary,DeepSADStyle_Lite,threshold_guard_only,False,False,False,False,False,False,pass
reset_at_split_boundary,DeepSADStyle_Lite,no_support_ood_guard,False,False,False,False,False,False,pass
reset_at_split_boundary,DeepSADStyle_Lite,full_guarded_protocol,False,False,False,False,False,False,pass
reset_at_split_boundary,DevNetStyle_MLP,raw_support_id_threshold,False,False,False,False,False,False,pass
reset_at_split_boundary,DevNetStyle_MLP,threshold_guard_only,False,False,False,False,False,False,pass
reset_at_split_boundary,DevNetStyle_MLP,full_guarded_protocol,False,False,False,False,False,False,pass
reset_at_split_boundary,IsolationForest,raw_idonly_id_threshold,False,False,False,False,False,False,pass
reset_at_split_boundary,IsolationForest,ood_guard_only,False,False,False,False,False,False,pass
train_state_then_eval_online,LR,raw_support_id_threshold,False,False,False,False,False,False,pass
train_state_then_eval_online,LR,threshold_guard_only,False,False,False,False,False,False,pass
train_state_then_eval_online,LR,full_guarded_protocol,False,False,False,False,False,False,pass
train_state_then_eval_online,HistGB,raw_support_id_threshold,False,False,False,False,False,False,pass
train_state_then_eval_online,HistGB,threshold_guard_only,False,False,False,False,False,False,pass
train_state_then_eval_online,HistGB,full_guarded_protocol,False,False,False,False,False,False,pass
train_state_then_eval_online,DeepSADStyle_Lite,raw_support_id_threshold,False,False,False,False,False,False,pass
train_state_then_eval_online,DeepSADStyle_Lite,threshold_guard_only,False,False,False,False,False,False,pass
train_state_then_eval_online,DeepSADStyle_Lite,no_support_ood_guard,False,False,False,False,False,False,pass
train_state_then_eval_online,DeepSADStyle_Lite,full_guarded_protocol,False,False,False,False,False,False,pass
train_state_then_eval_online,DevNetStyle_MLP,raw_support_id_threshold,False,False,False,False,False,False,pass
train_state_then_eval_online,DevNetStyle_MLP,threshold_guard_only,False,False,False,False,False,False,pass
train_state_then_eval_online,DevNetStyle_MLP,full_guarded_protocol,False,False,False,False,False,False,pass
train_state_then_eval_online,IsolationForest,raw_idonly_id_threshold,False,False,False,False,False,False,pass
train_state_then_eval_online,IsolationForest,ood_guard_only,False,False,False,False,False,False,pass
