artifact,path,expected_sha256,actual_sha256,hash_match,strategy
new_heldout_X,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_new_heldout_attack_probe_v1\gotham_kitsune115_new_heldout_attack_probe_X.npy,c4c01ba7bb832704202934340abdc577e792a5c5f80ef154939e4b833c31b03c,c4c01ba7bb832704202934340abdc577e792a5c5f80ef154939e4b833c31b03c,True,
new_heldout_sidecar,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_new_heldout_attack_probe_v1\gotham_kitsune115_new_heldout_attack_probe_sidecar.csv.gz,411b0808ad62286fb087ea90ca8d69d1c0200c960007e3f6024049e71583a783,411b0808ad62286fb087ea90ca8d69d1c0200c960007e3f6024049e71583a783,True,
issue27af_medium_certificate,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27af_gotham_kitsune115_larger_materialization_and_fast_frontend_plan_2026-06-02\kitsune115_materialization_data_certificate_medium.json,,0ccc5352e07766ced4381073e322719a10762dee46a161ee387567feccee7928,True,
summary.md,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27f_config_freeze_then_formal_validation_for_original100_histgb_conservative_2026-05-27\summary.md,,13fb7ad486c8d49cf9cfc0822a177689097f8ce40a098aa11f5aa00e1852eba0,True,
config_freeze_decision_report.md,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27f_config_freeze_then_formal_validation_for_original100_histgb_conservative_2026-05-27\config_freeze_decision_report.md,,849a41062239c67dfe3273ae19beadd11ed3289d2739c0f916bff6ec2f08bf23,True,
run_issue27d_model_specific_objective_smoke.py,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27d_lowguard_adapter_interface_and_model_specific_objectives_smoke_2026-05-26\run_issue27d_model_specific_objective_smoke.py,,f9ab02f7c14a75b7b6b2c3289d0d65b5ca689a1c546dd907d19b269e2f03100f,True,
summary.md,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27aq_model_learning_and_domain_gap_audit_after_new_heldout_zero_detection_2026-06-03\summary.md,,9d85fed7905c4329e788d037892188162959c77d99ad375683c7f32e34293e68,True,
X_115D_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_X.npy,08b25825d98c330e2820f7951c52d4970b815fa64050f1bc221c849e033fc28f,08b25825d98c330e2820f7951c52d4970b815fa64050f1bc221c849e033fc28f,True,reset_at_split_boundary
y_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_y.npy,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,True,reset_at_split_boundary
sidecar_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_sidecar.csv.gz,0a7398b35220f9731151f6b1dd89a229a8a3ac047a4f03f403305d3f4a242541,0a7398b35220f9731151f6b1dd89a229a8a3ac047a4f03f403305d3f4a242541,True,reset_at_split_boundary
split_manifest_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_split_manifest.csv,04079ff6aafcd49d344e6a36b3ceb163163a2b627a326dcfd169c5603e66c902,04079ff6aafcd49d344e6a36b3ceb163163a2b627a326dcfd169c5603e66c902,True,reset_at_split_boundary
feature_schema_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_feature_schema.json,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1,True,reset_at_split_boundary
state_transition_log_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_state_transition_log.csv,3a89801dbd1b8cbc40038a73c2d8ed95392d4cb6bfb8a8539ca2f136f3cf84cc,3a89801dbd1b8cbc40038a73c2d8ed95392d4cb6bfb8a8539ca2f136f3cf84cc,True,reset_at_split_boundary
X_115D_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_train_state_then_eval_online_X.npy,dfb76bca2afa026abb7b20f02ec4420346d7df55b67f169a66206a3c91c26fe0,dfb76bca2afa026abb7b20f02ec4420346d7df55b67f169a66206a3c91c26fe0,True,train_state_then_eval_online
y_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_train_state_then_eval_online_y.npy,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,True,train_state_then_eval_online
