budget,threshold_rule,requested_labels_mean,requested_labels_min,requested_labels_max,confirmed_attack_labels_mean,confirmed_attack_labels_min,confirmed_attack_labels_max,label_efficiency_mean,label_efficiency_min,label_efficiency_max,id_calib_alarm_mean,id_calib_alarm_min,id_calib_alarm_max,ood_val_alarm_mean,ood_val_alarm_min,ood_val_alarm_max,support_val_detection_mean,support_val_detection_min,support_val_detection_max,final_ood_alarm_report_only_mean,final_ood_alarm_report_only_min,final_ood_alarm_report_only_max,medium_attack_eval_detection_report_only_mean,medium_attack_eval_detection_report_only_min,medium_attack_eval_detection_report_only_max,dev_query_detection_report_only_mean,dev_query_detection_report_only_min,dev_query_detection_report_only_max,dev_query_coverage_sufficient_fraction_mean,dev_query_coverage_sufficient_fraction_min,dev_query_coverage_sufficient_fraction_max,dev_query_coverage_review_or_better_fraction_mean,dev_query_coverage_review_or_better_fraction_min,dev_query_coverage_review_or_better_fraction_max,ood_val_safe_all_seeds,final_ood_report_only_safe_all_seeds
0,np_orderstat_id_ood_1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005666666666666667,0.0033333333333333335,0.008333333333333333,0.0022666666666666664,0.0,0.005333333333333333,0.975,0.96875,1.0,0.06233333333333333,0.008,0.163,0.992,0.9893333333333333,0.9928888888888889,0.48489999999999994,0.1795,0.93475,0.1617,0.09575,0.1795,0.1795,0.1795,0.1795,True,False
0,support_val_guided_empirical_1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002666666666666667,0.0,0.005,0.0,0.0,0.0,0.975,0.96875,1.0,0.0204,0.002,0.083,0.9891555555555556,0.976,0.9928888888888889,0.48155000000000003,0.1785,0.93475,0.1617,0.09575,0.1795,0.1795,0.1795,0.1795,True,False
4,np_orderstat_id_ood_1pct,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0003333333333333334,0.0,0.0016666666666666668,0.0005333333333333334,0.0,0.0013333333333333333,0.91875,0.84375,1.0,0.2792,0.25166666666666665,0.317,0.9487111111111111,0.7986666666666666,0.992,0.99725,0.98825,0.9995,0.15435,0.09425,0.17875,0.3172,0.17875,0.85625,True,False
4,support_val_guided_empirical_1pct,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0003333333333333334,0.0,0.0016666666666666668,0.0002666666666666667,0.0,0.0013333333333333333,0.91875,0.84375,1.0,0.279,0.25166666666666665,0.316,0.9484444444444444,0.7986666666666666,0.992,0.99725,0.98825,0.9995,0.15435,0.09425,0.17875,0.3172,0.17875,0.85625,True,False
8,np_orderstat_id_ood_1pct,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.8125,1.0,0.2476,0.206,0.272,0.9379555555555555,0.7848888888888889,0.9897777777777778,0.99695,0.98825,0.9995,0.16485,0.11875,0.19675,0.34290000000000004,0.1815,0.892,True,False
8,support_val_guided_empirical_1pct,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.8125,1.0,0.2476,0.206,0.272,0.9379555555555555,0.7848888888888889,0.9897777777777778,0.99695,0.98825,0.9995,0.16485,0.11875,0.19675,0.34290000000000004,0.1815,0.892,True,False
16,np_orderstat_id_ood_1pct,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0004,0.0,0.0013333333333333333,0.8875,0.84375,1.0,0.12033333333333332,0.011,0.2753333333333333,0.917688888888889,0.7644444444444445,0.992,0.9970000000000001,0.991,0.9995,0.17029999999999998,0.132,0.20875,0.37975000000000003,0.2135,0.89525,True,False
16,support_val_guided_empirical_1pct,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8875,0.84375,1.0,0.1186,0.011,0.27166666666666667,0.9176,0.7644444444444445,0.992,0.9970000000000001,0.991,0.9995,0.17029999999999998,0.132,0.20875,0.37975000000000003,0.2135,0.89525,True,False
32,np_orderstat_id_ood_1pct,32.0,32.0,32.0,32.0,32.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0004,0.0,0.0013333333333333333,0.8625,0.78125,1.0,0.056466666666666665,0.0023333333333333335,0.099,0.8166222222222222,0.6693333333333333,0.9253333333333333,0.9910499999999999,0.976,0.99825,0.22349999999999998,0.1585,0.28125,0.4867,0.28375,0.896,True,False
32,support_val_guided_empirical_1pct,32.0,32.0,32.0,32.0,32.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8625,0.78125,1.0,0.0502,0.0023333333333333335,0.08,0.8051555555555556,0.6693333333333333,0.8822222222222222,0.9907,0.976,0.99825,0.22349999999999998,0.1585,0.28125,0.4867,0.28375,0.896,True,False
