target_role,seed,budget,triage_label,alarm_only,rows,fraction_of_target_rows,alarm_rate,attack_score_mean,attack_score_p90,benign_advantage_mean,attack_distance_advantage_mean
final_ood_benign_eval,42,16,benign_covered,True,820,0.2733333333333333,1.0,0.5364799516521074,0.7279535252005934,18.64186328329691,-18.64186328329691
final_ood_benign_eval,42,16,unknown_uncovered,True,6,0.002,1.0,0.6972328029735086,0.7279535252005934,1.5035807291666667,-1.5035807291666667
final_ood_benign_eval,43,16,benign_covered,True,33,0.011,1.0,0.6617642619941058,0.7209411248507787,20.066227999600496,-20.066227999600496
final_ood_benign_eval,44,16,benign_covered,True,775,0.25833333333333336,1.0,0.526853371372691,0.7727443269908654,19.04976486452164,-19.04976486452164
final_ood_benign_eval,44,16,both_covered_conflict,True,2,0.0006666666666666666,1.0,0.29707752246504043,0.29707752246504043,0.8921600580215454,-0.8921600580215454
final_ood_benign_eval,44,16,unknown_uncovered,True,6,0.002,1.0,0.6074659320408903,0.6376272623730831,1.488037109375,-1.488037109375
final_ood_benign_eval,45,16,benign_covered,True,97,0.03233333333333333,1.0,0.7101094152540609,0.7866155570570661,11.32219047153119,-11.32219047153119
final_ood_benign_eval,45,16,unknown_uncovered,True,1,0.0003333333333333333,1.0,0.7417461780772427,0.7417461780772427,2.4287109375,-2.4287109375
final_ood_benign_eval,46,16,benign_covered,True,64,0.021333333333333333,1.0,0.7064444513913801,0.726716437000429,13.915807962417603,-13.915807962417603
final_ood_benign_eval,46,16,unknown_uncovered,True,1,0.0003333333333333333,1.0,0.6645664858334562,0.6645664858334562,2.39892578125,-2.39892578125
