seed,bank_name,active_label_budget,active_selected_count,confirmed_attack_count,confirmed_benign_or_nonattack_count,label_efficiency,selector,candidate_count,uncovered_candidate_count,uses_candidate_labels_for_selection,uses_query_labels_for_selection,selected_candidate_indices_sha256,confirmed_attack_indices_sha256
42,base_kcenter128_only,0,0,0,0,0.0,none_budget_0,2000,0,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
42,base128_retained_plus_active64_bank192,64,64,64,0,1.0,coverage_aware_uncovered_first_farthest_first_feature_only,2000,1756,False,False,bcf8300552c5e6c4a3064077941671dc4c378b898549a8a0a84bdc6daaec83b0,bcf8300552c5e6c4a3064077941671dc4c378b898549a8a0a84bdc6daaec83b0
42,base128_retained_plus_active128_bank256,128,128,128,0,1.0,coverage_aware_uncovered_first_farthest_first_feature_only,2000,1756,False,False,dfa190f6c274c2e2fbc8e2dac4961dcbf8344cc07ca82666cdead1948204763d,dfa190f6c274c2e2fbc8e2dac4961dcbf8344cc07ca82666cdead1948204763d
43,base_kcenter128_only,0,0,0,0,0.0,none_budget_0,2000,0,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
43,base128_retained_plus_active64_bank192,64,64,64,0,1.0,coverage_aware_uncovered_first_farthest_first_feature_only,2000,1756,False,False,453afc23c3d2a7583e46db14373264e70435fa73ddd98466c51eafacf8b74672,453afc23c3d2a7583e46db14373264e70435fa73ddd98466c51eafacf8b74672
43,base128_retained_plus_active128_bank256,128,128,128,0,1.0,coverage_aware_uncovered_first_farthest_first_feature_only,2000,1756,False,False,25219d4046daef2a0afb074f1a1cb856771cb097c6381a5db04b0769a77754c9,25219d4046daef2a0afb074f1a1cb856771cb097c6381a5db04b0769a77754c9
44,base_kcenter128_only,0,0,0,0,0.0,none_budget_0,2000,0,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
44,base128_retained_plus_active64_bank192,64,64,64,0,1.0,coverage_aware_uncovered_first_farthest_first_feature_only,2000,1756,False,False,0948c3d06b35833bd60e6f869b35ff0d13c78890d45388be36927bf8169a0792,0948c3d06b35833bd60e6f869b35ff0d13c78890d45388be36927bf8169a0792
44,base128_retained_plus_active128_bank256,128,128,128,0,1.0,coverage_aware_uncovered_first_farthest_first_feature_only,2000,1756,False,False,350d598554719a8f4562c21a623398597d6d434c6925407fc943c9eb0d829ae8,350d598554719a8f4562c21a623398597d6d434c6925407fc943c9eb0d829ae8
45,base_kcenter128_only,0,0,0,0,0.0,none_budget_0,2000,0,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
45,base128_retained_plus_active64_bank192,64,64,64,0,1.0,coverage_aware_uncovered_first_farthest_first_feature_only,2000,1756,False,False,b4da3c82e47a19d9b6dadb27978d387edaf2c2cdf76807a4293d39880eaacf4e,b4da3c82e47a19d9b6dadb27978d387edaf2c2cdf76807a4293d39880eaacf4e
45,base128_retained_plus_active128_bank256,128,128,128,0,1.0,coverage_aware_uncovered_first_farthest_first_feature_only,2000,1756,False,False,49e547340bf7836094685aa17e85d5a28ea05d5c985809b9855f6860843f3477,49e547340bf7836094685aa17e85d5a28ea05d5c985809b9855f6860843f3477
46,base_kcenter128_only,0,0,0,0,0.0,none_budget_0,2000,0,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
46,base128_retained_plus_active64_bank192,64,64,64,0,1.0,coverage_aware_uncovered_first_farthest_first_feature_only,2000,1756,False,False,600d4e3a68b3e69d894d34cb7956dc50fc2c2e7676b6868664b3ccb80c7b954c,600d4e3a68b3e69d894d34cb7956dc50fc2c2e7676b6868664b3ccb80c7b954c
46,base128_retained_plus_active128_bank256,128,128,128,0,1.0,coverage_aware_uncovered_first_farthest_first_feature_only,2000,1756,False,False,de43c032340ba62d0a14579e9fcdf93f622db908f9e01e95a2e04724d5a00713,de43c032340ba62d0a14579e9fcdf93f622db908f9e01e95a2e04724d5a00713
