head_id,head_family,protocol_variant,recovery_mode,rescued_from_collapse,converted_to_feasible,promising_for_lowguard_plus_plus
RFF_Logistic,rff_logistic,P0_raw_train_id_threshold,raw_detection_collapse,False,False,False
LOW_GUARD_LR_reference,lr,P0_raw_train_id_threshold,raw_ood_budget_violation,False,False,False
DevNet_like_MLP,devnet_like_mlp,P0_raw_train_id_threshold,raw_ood_budget_violation,False,False,False
HistGB_shallow,histgb,P0_raw_train_id_threshold,raw_ood_budget_violation,False,False,False
Prototype_metric_LR,prototype_metric_lr,P0_raw_train_id_threshold,raw_detection_collapse,False,False,False
DeepSAD_like_center,deepsad_like_center,P0_raw_train_id_threshold,raw_detection_collapse,False,False,False
Prototype_metric_LR,prototype_metric_lr,P1_raw_train_oodval_threshold,no_recovery,False,False,False
DeepSAD_like_center,deepsad_like_center,P1_raw_train_oodval_threshold,no_recovery,False,False,False
LOW_GUARD_LR_reference,lr,P1_raw_train_oodval_threshold,no_recovery,False,False,False
HistGB_shallow,histgb,P1_raw_train_oodval_threshold,no_recovery,False,False,False
RFF_Logistic,rff_logistic,P1_raw_train_oodval_threshold,no_recovery,False,False,False
DevNet_like_MLP,devnet_like_mlp,P1_raw_train_oodval_threshold,no_recovery,False,False,False
LOW_GUARD_LR_reference,lr,P2_guarded_train_id_threshold,no_recovery,False,False,False
DevNet_like_MLP,devnet_like_mlp,P2_guarded_train_id_threshold,no_recovery,False,False,False
Prototype_metric_LR,prototype_metric_lr,P2_guarded_train_id_threshold,no_recovery,False,False,False
RFF_Logistic,rff_logistic,P2_guarded_train_id_threshold,no_recovery,False,False,False
HistGB_shallow,histgb,P2_guarded_train_id_threshold,no_recovery,False,False,False
DeepSAD_like_center,deepsad_like_center,P2_guarded_train_id_threshold,no_recovery,False,False,False
LOW_GUARD_LR_reference,lr,P3_full_lowguard,training_guard_recovers_detection,False,True,False
DevNet_like_MLP,devnet_like_mlp,P3_full_lowguard,no_recovery,False,False,False
Prototype_metric_LR,prototype_metric_lr,P3_full_lowguard,detection_gain_not_feasible,False,False,False
RFF_Logistic,rff_logistic,P3_full_lowguard,detection_gain_not_feasible,False,False,False
HistGB_shallow,histgb,P3_full_lowguard,no_recovery,False,False,False
DeepSAD_like_center,deepsad_like_center,P3_full_lowguard,no_recovery,False,False,False
