evaluation_role,dataset,holdout,split_protocol,head_id,head_family,head_label,protocol_variant,train_uses_ood_guard,threshold_uses_ood_val_guard,selected_config_id,seed,seed_group,feature_input,feature_dim,support_method,support_count,ood_target,threshold_source,threshold,attack_detection,final_ood_alarm,id_calib_alarm,ood_val_alarm,roc_auc_attack_vs_ood,pr_auc_attack_vs_ood,pauc_fpr_1pct,tpr_at_fpr_1pct,feasible_under_1pct,attack_eval_size,final_ood_eval_size,train_time,inference_time,param_count,selection_used_final_eval,threshold_uses_final_eval,hyperparameter_uses_final_eval
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_LR_reference,lr,LOW-GUARD-LR reference,P0_raw_train_id_threshold,False,False,lr_C1,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,-4.95345075905269,0.9680729760547321,0.5164,0.01,0.508,0.9267826681870012,0.41135281277860847,0.49748743718592964,0.0,False,877,10000,0.1267144000157714,0.012022600043565035,65,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_LR_reference,lr,LOW-GUARD-LR reference,P1_raw_train_oodval_threshold,False,True,lr_C1,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,52.191294881078356,0.0,0.0082,0.0,0.01,0.9267826681870012,0.41135281277860847,0.49748743718592964,0.0,True,877,10000,0.12207889999262989,0.011791499971877784,65,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_LR_reference,lr,LOW-GUARD-LR reference,P2_guarded_train_id_threshold,True,False,lr_C1,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,-4.105001834742048,0.9680729760547321,0.0045,0.01,0.0005,0.9811110604332952,0.9727854578991534,0.9830738641898202,0.9680729760547321,True,877,10000,0.3498523000162095,0.011341300036292523,65,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_LR_reference,lr,LOW-GUARD-LR reference,P3_full_lowguard,True,True,lr_C1,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,-4.102580408336336,0.9680729760547321,0.0045,0.01,0.0005,0.9811110604332952,0.9727854578991534,0.9830738641898202,0.9680729760547321,True,877,10000,0.3594530000118539,0.011416199966333807,65,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DevNet_like_MLP,devnet_like_mlp,DevNet-like MLP,P0_raw_train_id_threshold,False,False,mlp_h16_alpha001,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,0.004728072332218318,0.9726339794754846,0.7201,0.01,0.722,0.9484018244013683,0.5595950423077589,0.5083456048772941,0.07639680729760548,False,877,10000,0.6246073999791406,0.010196599992923439,1057,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DevNet_like_MLP,devnet_like_mlp,DevNet-like MLP,P1_raw_train_oodval_threshold,False,True,mlp_h8_alpha001,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,0.8075320093035672,0.8962371721778791,0.016,0.0,0.01,0.9668576966932726,0.904132415913182,0.7800118036018175,0.74230330672748,False,877,10000,0.7060583000420593,0.010481700010132045,529,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DevNet_like_MLP,devnet_like_mlp,DevNet-like MLP,P2_guarded_train_id_threshold,True,False,mlp_h8_alpha001,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,0.003941846564412126,0.9612314709236032,0.0079,0.01,0.0025,0.9847846066134551,0.9717008617820346,0.9712874520836795,0.9623717217787914,True,877,10000,1.1761923999874853,0.008486300008371472,529,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DevNet_like_MLP,devnet_like_mlp,DevNet-like MLP,P3_full_lowguard,True,True,mlp_h8_alpha001,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,0.003972698320168992,0.9612314709236032,0.0079,0.01,0.0025,0.9847846066134551,0.9717008617820346,0.9712874520836795,0.9623717217787914,True,877,10000,1.2993587999953888,0.009419099951628596,529,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,HistGB_shallow,histgb,HistGB shallow,P0_raw_train_id_threshold,False,False,histgb_depth3_iter50_lr005,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,0.0008499567004778843,0.984036488027366,0.7891,0.0096,0.7795,0.9527080957810719,0.8211847132610861,0.8189235802730872,0.6522234891676169,False,877,10000,0.12741720001213253,0.016374300001189113,50,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,HistGB_shallow,histgb,HistGB shallow,P1_raw_train_oodval_threshold,False,True,histgb_depth2_iter50_lr005,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,0.12140935496071886,0.7548460661345496,0.0009,0.0,0.001,0.9579780501710375,0.8693668078983201,0.8728534347908299,0.7548460661345496,True,877,10000,0.10626350005622953,0.01589749997947365,50,False,False,False
