seed,active_label_budget,fit_roles,threshold_roles,gate_radius_roles,gate_selection_roles,report_only_roles,uses_final_ood_for_gate_selection,uses_attack_eval_for_gate_selection,uses_dev_heavy_query_for_gate_selection,uses_final_ood_for_radius,uses_attack_eval_for_radius,forbidden_role_access
42,64,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,id_fit/id_calib|ood_train/ood_val|ood_stress_val|medium_train/medium_val|heavy_train/heavy_val,id_calib|ood_val|ood_stress_val|support_medium_val|support_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,False
42,128,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,id_fit/id_calib|ood_train/ood_val|ood_stress_val|medium_train/medium_val|heavy_train/heavy_val,id_calib|ood_val|ood_stress_val|support_medium_val|support_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,False
43,64,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,id_fit/id_calib|ood_train/ood_val|ood_stress_val|medium_train/medium_val|heavy_train/heavy_val,id_calib|ood_val|ood_stress_val|support_medium_val|support_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,False
43,128,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,id_fit/id_calib|ood_train/ood_val|ood_stress_val|medium_train/medium_val|heavy_train/heavy_val,id_calib|ood_val|ood_stress_val|support_medium_val|support_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,False
44,64,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,id_fit/id_calib|ood_train/ood_val|ood_stress_val|medium_train/medium_val|heavy_train/heavy_val,id_calib|ood_val|ood_stress_val|support_medium_val|support_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,False
44,128,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,id_fit/id_calib|ood_train/ood_val|ood_stress_val|medium_train/medium_val|heavy_train/heavy_val,id_calib|ood_val|ood_stress_val|support_medium_val|support_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,False
45,64,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,id_fit/id_calib|ood_train/ood_val|ood_stress_val|medium_train/medium_val|heavy_train/heavy_val,id_calib|ood_val|ood_stress_val|support_medium_val|support_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,False
45,128,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,id_fit/id_calib|ood_train/ood_val|ood_stress_val|medium_train/medium_val|heavy_train/heavy_val,id_calib|ood_val|ood_stress_val|support_medium_val|support_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,False
46,64,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,id_fit/id_calib|ood_train/ood_val|ood_stress_val|medium_train/medium_val|heavy_train/heavy_val,id_calib|ood_val|ood_stress_val|support_medium_val|support_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,False
46,128,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,id_fit/id_calib|ood_train/ood_val|ood_stress_val|medium_train/medium_val|heavy_train/heavy_val,id_calib|ood_val|ood_stress_val|support_medium_val|support_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,False
