seed,role,rows,hard_alarm_rate,review_rate,suppress_rate,strong_attack_core_rate,conflict_rate,raw_alarm_rate
42,id_calib,600,0.0,0.0,0.0,0.0,0.0,0.0
42,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.0
42,ood_stress_val,2850,0.0,0.02982456140350877,0.21087719298245614,0.0,0.0,0.24070175438596492
42,support_medium_val,32,0.9375,0.0625,0.0,0.9375,0.0,1.0
42,support_heavy_val,16,0.9375,0.0625,0.0,0.9375,0.0,1.0
42,medium_attack_eval_report_only,2250,0.5022222222222222,0.2813333333333333,0.19244444444444445,0.5022222222222222,0.28,0.976
42,dev_heavy_query_report_only,4000,0.52325,0.4425,0.03275,0.52325,0.027,0.9985
42,final_ood_report_only,3000,0.0006666666666666666,0.12866666666666668,0.209,0.0006666666666666666,0.0,0.3383333333333333
43,id_calib,600,0.0033333333333333335,0.0,0.0,0.0033333333333333335,0.0,0.0033333333333333335
43,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.0
43,ood_stress_val,2850,0.0,0.02982456140350877,0.21017543859649124,0.0,0.0,0.24
43,support_medium_val,32,0.90625,0.0,0.0625,0.90625,0.0,0.96875
43,support_heavy_val,16,0.9375,0.0625,0.0,0.9375,0.0,1.0
43,medium_attack_eval_report_only,2250,0.9897777777777778,0.0013333333333333333,0.0013333333333333333,0.9897777777777778,0.0,0.9924444444444445
43,dev_heavy_query_report_only,4000,0.549,0.423,0.0275,0.549,0.0,0.9995
43,final_ood_report_only,3000,0.004,0.0023333333333333335,0.3353333333333333,0.004,0.0,0.3416666666666667
44,id_calib,600,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0033333333333333335
44,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.0
44,ood_stress_val,2850,0.0038596491228070177,0.02982456140350877,0.22666666666666666,0.0038596491228070177,0.0,0.26035087719298244
44,support_medium_val,32,0.90625,0.0,0.0625,0.90625,0.0,0.96875
44,support_heavy_val,16,0.9375,0.0625,0.0,0.9375,0.0,1.0
44,medium_attack_eval_report_only,2250,0.9008888888888889,0.018666666666666668,0.07333333333333333,0.9008888888888889,0.0,0.9928888888888889
44,dev_heavy_query_report_only,4000,0.60225,0.38125,0.016,0.60225,0.0,0.9995
44,final_ood_report_only,3000,0.03266666666666666,0.0023333333333333335,0.3636666666666667,0.03266666666666666,0.0,0.39866666666666667
45,id_calib,600,0.0033333333333333335,0.0,0.0016666666666666668,0.0033333333333333335,0.0,0.005
45,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.0
45,ood_stress_val,2850,0.004210526315789474,0.02982456140350877,0.2112280701754386,0.004210526315789474,0.0,0.24526315789473685
45,support_medium_val,32,0.9375,0.0,0.03125,0.9375,0.0,0.96875
45,support_heavy_val,16,0.9375,0.0625,0.0,0.9375,0.0,1.0
45,medium_attack_eval_report_only,2250,0.8568888888888889,0.021777777777777778,0.11377777777777778,0.8568888888888889,0.0,0.9924444444444445
45,dev_heavy_query_report_only,4000,0.981,0.013,0.0055,0.981,0.0,0.9995
45,final_ood_report_only,3000,0.005666666666666667,0.0023333333333333335,0.336,0.005666666666666667,0.0,0.344
46,id_calib,600,0.0016666666666666668,0.0,0.0,0.0016666666666666668,0.0,0.0016666666666666668
46,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.0
46,ood_stress_val,2850,0.0007017543859649122,0.02982456140350877,0.2112280701754386,0.0007017543859649122,0.0,0.24175438596491228
46,support_medium_val,32,0.90625,0.0,0.0625,0.90625,0.0,0.96875
46,support_heavy_val,16,0.9375,0.0625,0.0,0.9375,0.0,1.0
46,medium_attack_eval_report_only,2250,0.9906666666666667,0.0013333333333333333,0.0,0.9906666666666667,0.0,0.992
46,dev_heavy_query_report_only,4000,0.7335,0.25725,0.00875,0.7335,0.0,0.9995
46,final_ood_report_only,3000,0.0023333333333333335,0.12666666666666668,0.21133333333333335,0.0023333333333333335,0.0,0.3403333333333333
