seed,active_label_budget,label,input_rows,file_count,split_rule,fallback,holdout_file,train_rows,val_rows,pseudo_rows,train_hash,val_hash,pseudo_hash,base_support_hash,base_support_selector,base_support_pool_role,base_support_pool_size,base_support_size,base_selector_scaler_fit_roles,base_distance_metric,base_start_rule,base_uses_final_ood,base_uses_attack_eval,base_selected_indices_sha256,active_confirmed_hash,active_budget,active_candidate_count,active_uncovered_candidate_count,active_support_val_p95_radius,active_selector,active_uses_candidate_labels_for_selection,active_uses_query_labels_for_selection
42,64,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-air-quality-1.csv,75,25,28,15056d2c134a965f753d62468f3f250ec54332216036fec54cc2aee0e2bcab4d,bdb699049c8cb4b0e66dbc5b6b4afbdc2e4778a2414a098106f42944ffd76e9e,a9adc52ddbd75db5abf8b6e96cb3f31a3c947d3d6ec2fabfb81b3e207181853a,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,old_kcenter128,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,,
42,64,active_heavy_attack_support,64,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-museum-1.csv,24,8,32,9beea8f2bce730af01722af4decf811e4257d0e80f0220e9dfc487530bd50088,46e80ba3a4bd71a26356c3c1b4d942252d87c65f0d580ea4ee387b1519b403dd,f138ed2f7f043856296db81c64db908a860a7e71b016d868aced9bde7de6352a,,,,,,,,,,,,99848991ca8313fe8c7079676c4b464055567de13b52273eda9628b265f13cc5,64,2000,1756,10.94919204711914,coverage_aware_uncovered_first_farthest_first_feature_only,False,False
42,128,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-air-quality-1.csv,75,25,28,15056d2c134a965f753d62468f3f250ec54332216036fec54cc2aee0e2bcab4d,bdb699049c8cb4b0e66dbc5b6b4afbdc2e4778a2414a098106f42944ffd76e9e,a9adc52ddbd75db5abf8b6e96cb3f31a3c947d3d6ec2fabfb81b3e207181853a,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,old_kcenter128,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,,
42,128,active_heavy_attack_support,128,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-museum-1.csv,48,17,63,953a0643c90c24cb3b6a18503b2148943a08ad6a9e14087ac7b4eea0c57ff2f2,ad56aabcfba441df08ba08294a2e4ccdd5038125118c411da75e1feb4669e937,796500b1731076192fb58c76aabe0c2e80149fa3743e93fb57a1f9bf9fd8e4c1,,,,,,,,,,,,6210d99aea3fc0a4633e496204f792e28dc658f60fe9f7398d1cc344fd48617c,128,2000,1756,10.94919204711914,coverage_aware_uncovered_first_farthest_first_feature_only,False,False
43,64,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-city-power-1.csv,46,16,66,1d8d8b5968fcedba0d0688adfc2a9b3055197ce8acdb9e4615edf9b3aef2e859,b218ae6f8c58f54716a44a2a58675ae3c0dea70bfa80be6eb8e0cb3cc89338cf,02db849f69b5de5a134ce31dc10d62a5e29ea49cdefba0adaffc57682450d12f,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,old_kcenter128,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,,
43,64,active_heavy_attack_support,64,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-street-1.csv,21,8,35,1da58ab246f168331f3fcdb6ce724d4f08999d7596eafc9c21958b29c3176c11,f27552230f269d786d76f3e82b3b3ca0ce0d9189bacefef9d20955a103c8335f,c660c54413e43d408b3fea2e477008555618167f2780906a72fecbbf83cb456c,,,,,,,,,,,,ae34d96a926f14f6d6b3bc4732693a2310762b9273519c49a644521ee312b2cd,64,2000,1756,17.06118392944336,coverage_aware_uncovered_first_farthest_first_feature_only,False,False
43,128,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-city-power-1.csv,46,16,66,1d8d8b5968fcedba0d0688adfc2a9b3055197ce8acdb9e4615edf9b3aef2e859,b218ae6f8c58f54716a44a2a58675ae3c0dea70bfa80be6eb8e0cb3cc89338cf,02db849f69b5de5a134ce31dc10d62a5e29ea49cdefba0adaffc57682450d12f,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,old_kcenter128,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,,
43,128,active_heavy_attack_support,128,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-street-1.csv,46,16,66,af80d4e1c054faf3257d3fad2814ca694ee8ad3f5357d8b4e5865d5dabb514e7,44a45d0990cb4a67efd39b01a98978d65308a032c8cc0942828863b9596573a9,a10271c10d8793adc6c1ff0fb00976afc309682884b3325b84dc477af2602ce6,,,,,,,,,,,,7b0099cf837955f54669114fcb3db3a4c44bd3e6cea4440ff334fd14fcd84841,128,2000,1756,17.06118392944336,coverage_aware_uncovered_first_farthest_first_feature_only,False,False
44,64,medium_attack_support,128,3,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-combined-cycle-10.csv,70,24,34,7a6ac21ba47ff575c6ae657789a10a7cca29c0c6be1ff01a43db6e5091519294,431874c7ba8bdb28835df47eb66cac2c320766617072eedf13c9df196249d91c,6202c8736e9da5ea789dc4c95fc1bee84b52ebc736ccd7a9d089e710825be641,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,old_kcenter128,attack_support,2250,128,attack_support,euclidean_after_selector_local_standard_scaler,closest_to_attack_support_centroid,False,False,7dddf35a55dc4ba20aad5876d2cb041b09ea6d5292babc7cd5552eb0d1a855c2,,,,,,,,
44,64,active_heavy_attack_support,64,2,leave_one_file_pseudo_query_then_seeded_75_25_train_val,none,processed/iotsim-ip-camera-museum-1.csv,24,9,31,09eef98ac8149de324e662b088214d2957f1a5fb05003f4a05e3c70be2eb50cf,8e305f74a272bc5ebdcfedfc81045f7e8d423da08e54a9db0ecc4c3bd277d0a7,b00c8b30ee3f4e9a9889713a57bf1f3d6357736eb889193e725314d4ad9c3bce,,,,,,,,,,,,a5f5d8792a565f35b6cf7bf3dbf4ff1835d4ebe75b7b4eadbb171a4181128dc9,64,2000,1756,51.36540603637695,coverage_aware_uncovered_first_farthest_first_feature_only,False,False
