namespace,role_or_split,rows,indices_sha256,min_index,max_index
medium_asset,id_fit,2400,ab0dfaed968b79f6555f482216429930506dd022d4900c1c1c5817f6283899d4,50,2599
medium_asset,id_calib,600,77214637cfdff5f1b712ebf11e74c8f9a65e7a717d75b81ec2271e7c56c2eeae,2600,3199
medium_asset,ood_train,1500,53e3751bfdf8cf755cffd6b94c808e94d2e9823f01bfc9edddd191278469182a,3250,4799
medium_asset,ood_val,1500,f7917f06c633dd0e629917f031477f9b4e7ea50bb3edd750aa299772981bdb55,4850,6399
medium_asset,final_ood_report_only,3000,b3d1ead9ff5f2cfc916b69a5a3592422bcbc2b41409b05617f615ae808d28a84,6450,9599
medium_asset,attack_support_pool,2250,945be13928085847f1508ba0d8d3ff39c116487231ead145b26a669f58f9d64d,9650,11999
medium_asset,attack_eval_report_only,2250,f0cbd95585704bc4f57192a291562f9981808313fe13ec3d21b4e0be5b2d8d39,12050,14399
ood_stress_asset,ood_stress_train,2850,4df2d565d37358325abaf91b8b967d50756dcdd2d9d72084cb92e25e96fd0b8f,50,2999
ood_stress_asset,ood_stress_val,2850,89a0dc42203624f0acb57c7679034cf69d61bd3ddc9c5849b791f76bc1b14cb6,3050,5999
new_heavy_dev_probe,active_candidate_stream,2000,288e27a4dee22b578ec82c5d7d947aabc4d51f86342322178a8222e046050596,0,3999
new_heavy_dev_probe,dev_heavy_query_report_only,4000,18927197593e154054437fe1291e8c4b467c0171815dc5a6005bea5618e3ff5f,1000,5999
