seed,scorer_kind,weighting_policy,subspace_name,region_policy,prototype_budget,region_max,top_k,inner_radius_q,outer_radius_q,attack_outer_norm,benign_core_norm,conflict_slack,review_budget,region_id,region_ordinal,source_family,train_rows,val_rows,pseudo_rows,prototype_count,prototype_global_indices_sha256,inner_radius,outer_radius,score_floor,strong_score_floor,source_files,uses_final_ood,uses_attack_eval,uses_dev_heavy_query
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r0,0,mixed:heavy:1|medium:65,66,21,19,16,85cc35fea42e6d9862c3c4056675662e13d0abf61e4e714d6fa944d0c612820c,2.820665121078491,3.844810760021207,-0.054148580944513594,0.02777917988243201,heavy:processed/iotsim-ip-camera-street-1.csv|medium:processed/iotsim-city-power-1.csv|medium:processed/iotsim-combined-cycle-10.csv,False,False,False
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r1,1,heavy,1,2,7,1,e405b024b10c70033563387cef9ce729324b69b3baab119d7eb54e948102b121,9.655446648597717,82.4630844116211,0.3251225412355766,0.775166489843522,heavy:processed/iotsim-ip-camera-street-1.csv,False,False,False
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r2,2,heavy,7,4,12,7,c38d106f99d2e41043f499d0b7c2398d9e0ce012fc09babe2d93989eb8ffbd4c,1.3620457351207733,4.438379406929016,0.34103756317653894,0.34103756317653894,heavy:processed/iotsim-ip-camera-street-1.csv,False,False,False
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r3,3,heavy,1,1,1,1,57c3336692b99e0bb14a04d0ef12a02227436353bd168dbe058e16c5be391861,11.031302452087402,11.031302452087402,0.15046556924189722,0.33386696055422893,heavy:processed/iotsim-ip-camera-street-1.csv,False,False,False
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r4,4,heavy,2,0,4,2,6d37eb42b9f676577a31977ec60f8e2947dd8ccded0eb4b0d66784f2a022b9ec,3.0971480668995355e-07,7.367197084426879,0.523494593325393,0.5394702419609579,heavy:processed/iotsim-ip-camera-street-1.csv,False,False,False
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r5,5,heavy,12,1,8,12,8f7c0d2ac96c7a1417fee521efc25a477eae74aba5635b5d68837ec8bc31ad19,1.7909297943115234,3.876475715637207,0.34103756317653894,0.34103756317653894,heavy:processed/iotsim-ip-camera-street-1.csv,False,False,False
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r6,6,medium,2,1,0,2,d8a438b1a91ef23c081fa3509680c174748826c868601d49b5412b8818467dfb,0.5520280003547668,0.5520280003547668,0.825685394829082,0.825685394829082,medium:processed/iotsim-combined-cycle-10.csv,False,False,False
42,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r7,7,medium,8,3,9,8,2147a42fca0e9137939d021fb03095650ca4f437437597c123a508617a7809b9,0.8618409931659698,3.0443896532058714,0.19815042842582095,0.4390670929142354,medium:processed/iotsim-city-power-1.csv|medium:processed/iotsim-combined-cycle-10.csv,False,False,False
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r0,0,medium,39,9,61,16,442441a45b25bfc05045406da88092176434ebaaacdfd480edba036ace9ae15c,1.6574649810791016,8.075380873680114,-0.047755272091828505,0.27178036841921416,medium:processed/iotsim-air-quality-1.csv|medium:processed/iotsim-combined-cycle-10.csv,False,False,False
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r1,1,heavy,1,0,0,1,eb4762ffa4a2a933a57854b43d3c5c2b319794584a3250029a04aead9686019e,1e-12,1e-12,0.36325316764820975,0.36325316764820975,heavy:processed/iotsim-ip-camera-museum-1.csv,False,False,False
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r2,2,heavy,7,4,11,7,b4d1e48fe833ac06399b9fd91c0b786c6eee198bfda218badb34d575963711ef,1.2245274186134338,3.1470805644989013,0.7335423535312422,0.8368852835026357,heavy:processed/iotsim-ip-camera-museum-1.csv,False,False,False
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r3,3,heavy,3,0,4,3,44f224a802f6f8f92a85e60636b439c0bf45ab3fa308c01db7e2c93dcc073edd,1e-12,4.509220981597901,0.7772264529435247,0.8297396193815724,heavy:processed/iotsim-ip-camera-museum-1.csv,False,False,False
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r4,4,heavy,1,1,0,1,9ede5ec9d73eccdc4e8662c7d231c0e5eeafaee388f97ca1d73cab4af4f5433b,7.4723405838012695,7.4723405838012695,0.8472440081942549,0.8472440081942549,heavy:processed/iotsim-ip-camera-museum-1.csv,False,False,False
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r5,5,heavy,3,0,3,3,2cbb65cb892ce4b3d44f0e931ff3066136fa41e4a606511e7e5994c338a11e12,2.7690833803717396e-07,2.518313980102539,0.7223430352586304,0.7279426943949363,heavy:processed/iotsim-ip-camera-museum-1.csv,False,False,False
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r6,6,medium,7,7,9,7,ae5b6d612144580db1d1f6ccd2060d76f31aa7de6b91e0663516d7140556bd8d,11.74322509765625,52.75058078765869,0.34042442726481265,0.8606750774231623,medium:processed/iotsim-air-quality-1.csv|medium:processed/iotsim-combined-cycle-10.csv,False,False,False
43,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r7,7,heavy,6,3,13,6,969de29b530de69d3b11e5a80b432ce605a950680aea29ede989063d81f45fe4,1.761473000049591,3.410233199596405,0.7335423535312422,0.7335423535312422,heavy:processed/iotsim-ip-camera-museum-1.csv,False,False,False
44,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r0,0,mixed:heavy:1|medium:64,65,16,22,16,3d41fce8c44e99f889ef328897dfa7253d08949d8628d9f71ddf49c0293ac202,2.73946475982666,3.216195237636566,-0.06337129903062536,0.19702841956633518,heavy:processed/iotsim-ip-camera-street-1.csv|medium:processed/iotsim-air-quality-1.csv|medium:processed/iotsim-city-power-1.csv,False,False,False
44,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r1,1,heavy,1,0,3,1,32e45e370fefdab116e6728f7f611e966578b49f5eba763828791bbe5eafc4f7,1e-12,38.31433219909668,0.053181417304590334,0.41780065116946263,heavy:processed/iotsim-ip-camera-street-1.csv,False,False,False
44,shared_histgb,medium_region_boost,HH_HpHp,cluster_kcenter,128,8,3,0.75,0.95,1.0,0.75,1.0,0.03,cluster_kcenter_r2,2,heavy,7,4,12,7,5f57893b323e8263e288b6a01980c6d401280914a46092b4e99c3d375ec11241,1.5619851052761078,4.057734549045563,0.4148834215013489,0.4148834215013489,heavy:processed/iotsim-ip-camera-street-1.csv,False,False,False
