artifact,path,sha256,strategy,expected_sha256,actual_sha256,hash_match
issue27af_certificate,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27af_gotham_kitsune115_larger_materialization_and_fast_frontend_plan_2026-06-02\kitsune115_materialization_data_certificate_medium.json,0ccc5352e07766ced4381073e322719a10762dee46a161ee387567feccee7928,,,,
issue27ba_stress_certificate,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27ba_disjoint_ood_stress_pool_before_mixed_stream_2026-06-05\ood_stress_data_certificate.json,d30f65f17f2c7c90fe8fed7a9e886d7c370f6bf819212b5a92b95e1e8d3ed43a,,,,
issue27bf_config,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27bf_bounded_attack_region_bank_2026-06-08\config.json,7e23ac0da9e5e29409ab9d723a30903f6aa46c8182b3632fd0b03ceab1e184e7,,,,
issue27bg_config,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27bg_shared_scorer_region_refinement_before_ood_gate_2026-06-08\config.json,b6e192693f721faf55b6ab1eced97ef75deb1d4a3baf9c1c55a25cf7d721a51e,,,,
X_115D_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_X.npy,,reset_at_split_boundary,08b25825d98c330e2820f7951c52d4970b815fa64050f1bc221c849e033fc28f,08b25825d98c330e2820f7951c52d4970b815fa64050f1bc221c849e033fc28f,True
y_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_y.npy,,reset_at_split_boundary,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,True
sidecar_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_sidecar.csv.gz,,reset_at_split_boundary,0a7398b35220f9731151f6b1dd89a229a8a3ac047a4f03f403305d3f4a242541,0a7398b35220f9731151f6b1dd89a229a8a3ac047a4f03f403305d3f4a242541,True
split_manifest_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_split_manifest.csv,,reset_at_split_boundary,04079ff6aafcd49d344e6a36b3ceb163163a2b627a326dcfd169c5603e66c902,04079ff6aafcd49d344e6a36b3ceb163163a2b627a326dcfd169c5603e66c902,True
feature_schema_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_feature_schema.json,,reset_at_split_boundary,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1,True
state_transition_log_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_state_transition_log.csv,,reset_at_split_boundary,3a89801dbd1b8cbc40038a73c2d8ed95392d4cb6bfb8a8539ca2f136f3cf84cc,3a89801dbd1b8cbc40038a73c2d8ed95392d4cb6bfb8a8539ca2f136f3cf84cc,True
X_115D_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_ood_stress_pool_v1\gotham_kitsune115_ood_stress_reset_at_split_boundary_X.npy,,,f586b7cf7c60af3e9d156b872092b4fad2c9a5533c85a8967ba1ef0f7d4ccbaa,f586b7cf7c60af3e9d156b872092b4fad2c9a5533c85a8967ba1ef0f7d4ccbaa,True
sidecar_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_ood_stress_pool_v1\gotham_kitsune115_ood_stress_reset_at_split_boundary_sidecar.csv.gz,,,aba2bed52f71de6612bc20edd98e76d747e65650d578d4fad8742ec280fd4d00,aba2bed52f71de6612bc20edd98e76d747e65650d578d4fad8742ec280fd4d00,True
split_manifest_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_ood_stress_pool_v1\gotham_kitsune115_ood_stress_reset_at_split_boundary_split_manifest.csv,,,e98413c286be3ded0f6c61d6fb2bd8aa85928fa73fa74d1297bd5f7ffd8a2ce7,e98413c286be3ded0f6c61d6fb2bd8aa85928fa73fa74d1297bd5f7ffd8a2ce7,True
