candidate_name,seed,kind,calibration,weighting,subspace
calibrated_two_head_margin__ood_val_only,42,calibrated_two_head,ood_val_only,,
calibrated_two_head_margin__ood_val_plus_stress,42,calibrated_two_head,ood_val_plus_stress,,
logistic_twohead_fusion_uniform_rows__ood_val_only,42,logistic_twohead_fusion,ood_val_only,uniform_rows,
logistic_twohead_fusion_uniform_rows__ood_val_plus_stress,42,logistic_twohead_fusion,ood_val_plus_stress,uniform_rows,
logistic_twohead_fusion_balanced_regions__ood_val_only,42,logistic_twohead_fusion,ood_val_only,balanced_regions,
logistic_twohead_fusion_balanced_regions__ood_val_plus_stress,42,logistic_twohead_fusion,ood_val_plus_stress,balanced_regions,
lda_metric_all115__ood_val_only,42,lda_metric_prototype,ood_val_only,,all115
lda_metric_all115__ood_val_plus_stress,42,lda_metric_prototype,ood_val_plus_stress,,all115
lda_metric_HH_HpHp__ood_val_only,42,lda_metric_prototype,ood_val_only,,HH_HpHp
lda_metric_HH_HpHp__ood_val_plus_stress,42,lda_metric_prototype,ood_val_plus_stress,,HH_HpHp
lda_metric_MI_H_HHjit__ood_val_only,42,lda_metric_prototype,ood_val_only,,MI_H_HHjit
lda_metric_MI_H_HHjit__ood_val_plus_stress,42,lda_metric_prototype,ood_val_plus_stress,,MI_H_HHjit
calibrated_two_head_margin__ood_val_only,43,calibrated_two_head,ood_val_only,,
calibrated_two_head_margin__ood_val_plus_stress,43,calibrated_two_head,ood_val_plus_stress,,
logistic_twohead_fusion_uniform_rows__ood_val_only,43,logistic_twohead_fusion,ood_val_only,uniform_rows,
logistic_twohead_fusion_uniform_rows__ood_val_plus_stress,43,logistic_twohead_fusion,ood_val_plus_stress,uniform_rows,
logistic_twohead_fusion_balanced_regions__ood_val_only,43,logistic_twohead_fusion,ood_val_only,balanced_regions,
logistic_twohead_fusion_balanced_regions__ood_val_plus_stress,43,logistic_twohead_fusion,ood_val_plus_stress,balanced_regions,
lda_metric_all115__ood_val_only,43,lda_metric_prototype,ood_val_only,,all115
lda_metric_all115__ood_val_plus_stress,43,lda_metric_prototype,ood_val_plus_stress,,all115
lda_metric_HH_HpHp__ood_val_only,43,lda_metric_prototype,ood_val_only,,HH_HpHp
lda_metric_HH_HpHp__ood_val_plus_stress,43,lda_metric_prototype,ood_val_plus_stress,,HH_HpHp
lda_metric_MI_H_HHjit__ood_val_only,43,lda_metric_prototype,ood_val_only,,MI_H_HHjit
lda_metric_MI_H_HHjit__ood_val_plus_stress,43,lda_metric_prototype,ood_val_plus_stress,,MI_H_HHjit
calibrated_two_head_margin__ood_val_only,44,calibrated_two_head,ood_val_only,,
calibrated_two_head_margin__ood_val_plus_stress,44,calibrated_two_head,ood_val_plus_stress,,
logistic_twohead_fusion_uniform_rows__ood_val_only,44,logistic_twohead_fusion,ood_val_only,uniform_rows,
logistic_twohead_fusion_uniform_rows__ood_val_plus_stress,44,logistic_twohead_fusion,ood_val_plus_stress,uniform_rows,
logistic_twohead_fusion_balanced_regions__ood_val_only,44,logistic_twohead_fusion,ood_val_only,balanced_regions,
logistic_twohead_fusion_balanced_regions__ood_val_plus_stress,44,logistic_twohead_fusion,ood_val_plus_stress,balanced_regions,
lda_metric_all115__ood_val_only,44,lda_metric_prototype,ood_val_only,,all115
lda_metric_all115__ood_val_plus_stress,44,lda_metric_prototype,ood_val_plus_stress,,all115
lda_metric_HH_HpHp__ood_val_only,44,lda_metric_prototype,ood_val_only,,HH_HpHp
lda_metric_HH_HpHp__ood_val_plus_stress,44,lda_metric_prototype,ood_val_plus_stress,,HH_HpHp
lda_metric_MI_H_HHjit__ood_val_only,44,lda_metric_prototype,ood_val_only,,MI_H_HHjit
lda_metric_MI_H_HHjit__ood_val_plus_stress,44,lda_metric_prototype,ood_val_plus_stress,,MI_H_HHjit
calibrated_two_head_margin__ood_val_only,45,calibrated_two_head,ood_val_only,,
calibrated_two_head_margin__ood_val_plus_stress,45,calibrated_two_head,ood_val_plus_stress,,
logistic_twohead_fusion_uniform_rows__ood_val_only,45,logistic_twohead_fusion,ood_val_only,uniform_rows,
logistic_twohead_fusion_uniform_rows__ood_val_plus_stress,45,logistic_twohead_fusion,ood_val_plus_stress,uniform_rows,
logistic_twohead_fusion_balanced_regions__ood_val_only,45,logistic_twohead_fusion,ood_val_only,balanced_regions,
logistic_twohead_fusion_balanced_regions__ood_val_plus_stress,45,logistic_twohead_fusion,ood_val_plus_stress,balanced_regions,
lda_metric_all115__ood_val_only,45,lda_metric_prototype,ood_val_only,,all115
lda_metric_all115__ood_val_plus_stress,45,lda_metric_prototype,ood_val_plus_stress,,all115
lda_metric_HH_HpHp__ood_val_only,45,lda_metric_prototype,ood_val_only,,HH_HpHp
lda_metric_HH_HpHp__ood_val_plus_stress,45,lda_metric_prototype,ood_val_plus_stress,,HH_HpHp
lda_metric_MI_H_HHjit__ood_val_only,45,lda_metric_prototype,ood_val_only,,MI_H_HHjit
lda_metric_MI_H_HHjit__ood_val_plus_stress,45,lda_metric_prototype,ood_val_plus_stress,,MI_H_HHjit
calibrated_two_head_margin__ood_val_only,46,calibrated_two_head,ood_val_only,,
calibrated_two_head_margin__ood_val_plus_stress,46,calibrated_two_head,ood_val_plus_stress,,
logistic_twohead_fusion_uniform_rows__ood_val_only,46,logistic_twohead_fusion,ood_val_only,uniform_rows,
logistic_twohead_fusion_uniform_rows__ood_val_plus_stress,46,logistic_twohead_fusion,ood_val_plus_stress,uniform_rows,
logistic_twohead_fusion_balanced_regions__ood_val_only,46,logistic_twohead_fusion,ood_val_only,balanced_regions,
logistic_twohead_fusion_balanced_regions__ood_val_plus_stress,46,logistic_twohead_fusion,ood_val_plus_stress,balanced_regions,
lda_metric_all115__ood_val_only,46,lda_metric_prototype,ood_val_only,,all115
lda_metric_all115__ood_val_plus_stress,46,lda_metric_prototype,ood_val_plus_stress,,all115
lda_metric_HH_HpHp__ood_val_only,46,lda_metric_prototype,ood_val_only,,HH_HpHp
lda_metric_HH_HpHp__ood_val_plus_stress,46,lda_metric_prototype,ood_val_plus_stress,,HH_HpHp
lda_metric_MI_H_HHjit__ood_val_only,46,lda_metric_prototype,ood_val_only,,MI_H_HHjit
lda_metric_MI_H_HHjit__ood_val_plus_stress,46,lda_metric_prototype,ood_val_plus_stress,,MI_H_HHjit
