seed,role,rows,file_count,top_files,attack_type_count,top_attack_types,device_hint_count,top_device_hints
42,medium_support_train,75,2,processed/iotsim-city-power-1.csv:52|processed/iotsim-combined-cycle-10.csv:23,1,attack:75,1,processed:75
42,medium_support_val,25,2,processed/iotsim-city-power-1.csv:14|processed/iotsim-combined-cycle-10.csv:11,1,attack:25,1,processed:25
42,medium_pseudo_query_dev,28,1,processed/iotsim-air-quality-1.csv:28,1,attack:28,1,processed:28
42,medium_attack_eval_report_only,2250,3,processed/iotsim-building-monitor-1.csv:750|processed/iotsim-combined-cycle-1.csv:750|processed/iotsim-domotic-monitor-1.csv:750,1,attack:2250,1,processed:2250
42,heavy_support_train,24,1,processed/iotsim-ip-camera-street-1.csv:24,1,attack:24,1,processed:24
42,heavy_support_val,8,1,processed/iotsim-ip-camera-street-1.csv:8,1,attack:8,1,processed:8
42,heavy_pseudo_query_dev,32,1,processed/iotsim-ip-camera-museum-1.csv:32,1,attack:32,1,processed:32
42,dev_heavy_query_report_only,4000,2,processed/iotsim-ip-camera-museum-1.csv:2000|processed/iotsim-ip-camera-street-1.csv:2000,1,attack:4000,1,processed:4000
43,medium_support_train,46,2,processed/iotsim-air-quality-1.csv:24|processed/iotsim-combined-cycle-10.csv:22,1,attack:46,1,processed:46
43,medium_support_val,16,2,processed/iotsim-combined-cycle-10.csv:12|processed/iotsim-air-quality-1.csv:4,1,attack:16,1,processed:16
43,medium_pseudo_query_dev,66,1,processed/iotsim-city-power-1.csv:66,1,attack:66,1,processed:66
43,medium_attack_eval_report_only,2250,3,processed/iotsim-building-monitor-1.csv:750|processed/iotsim-combined-cycle-1.csv:750|processed/iotsim-domotic-monitor-1.csv:750,1,attack:2250,1,processed:2250
43,heavy_support_train,21,1,processed/iotsim-ip-camera-museum-1.csv:21,1,attack:21,1,processed:21
43,heavy_support_val,8,1,processed/iotsim-ip-camera-museum-1.csv:8,1,attack:8,1,processed:8
43,heavy_pseudo_query_dev,35,1,processed/iotsim-ip-camera-street-1.csv:35,1,attack:35,1,processed:35
43,dev_heavy_query_report_only,4000,2,processed/iotsim-ip-camera-museum-1.csv:2000|processed/iotsim-ip-camera-street-1.csv:2000,1,attack:4000,1,processed:4000
44,medium_support_train,70,2,processed/iotsim-city-power-1.csv:48|processed/iotsim-air-quality-1.csv:22,1,attack:70,1,processed:70
44,medium_support_val,24,2,processed/iotsim-city-power-1.csv:18|processed/iotsim-air-quality-1.csv:6,1,attack:24,1,processed:24
44,medium_pseudo_query_dev,34,1,processed/iotsim-combined-cycle-10.csv:34,1,attack:34,1,processed:34
44,medium_attack_eval_report_only,2250,3,processed/iotsim-building-monitor-1.csv:750|processed/iotsim-combined-cycle-1.csv:750|processed/iotsim-domotic-monitor-1.csv:750,1,attack:2250,1,processed:2250
44,heavy_support_train,24,1,processed/iotsim-ip-camera-street-1.csv:24,1,attack:24,1,processed:24
44,heavy_support_val,9,1,processed/iotsim-ip-camera-street-1.csv:9,1,attack:9,1,processed:9
44,heavy_pseudo_query_dev,31,1,processed/iotsim-ip-camera-museum-1.csv:31,1,attack:31,1,processed:31
44,dev_heavy_query_report_only,4000,2,processed/iotsim-ip-camera-museum-1.csv:2000|processed/iotsim-ip-camera-street-1.csv:2000,1,attack:4000,1,processed:4000
45,medium_support_train,75,2,processed/iotsim-city-power-1.csv:50|processed/iotsim-combined-cycle-10.csv:25,1,attack:75,1,processed:75
45,medium_support_val,25,2,processed/iotsim-city-power-1.csv:16|processed/iotsim-combined-cycle-10.csv:9,1,attack:25,1,processed:25
45,medium_pseudo_query_dev,28,1,processed/iotsim-air-quality-1.csv:28,1,attack:28,1,processed:28
45,medium_attack_eval_report_only,2250,3,processed/iotsim-building-monitor-1.csv:750|processed/iotsim-combined-cycle-1.csv:750|processed/iotsim-domotic-monitor-1.csv:750,1,attack:2250,1,processed:2250
45,heavy_support_train,23,1,processed/iotsim-ip-camera-museum-1.csv:23,1,attack:23,1,processed:23
45,heavy_support_val,8,1,processed/iotsim-ip-camera-museum-1.csv:8,1,attack:8,1,processed:8
45,heavy_pseudo_query_dev,33,1,processed/iotsim-ip-camera-street-1.csv:33,1,attack:33,1,processed:33
45,dev_heavy_query_report_only,4000,2,processed/iotsim-ip-camera-museum-1.csv:2000|processed/iotsim-ip-camera-street-1.csv:2000,1,attack:4000,1,processed:4000
46,medium_support_train,46,2,processed/iotsim-combined-cycle-10.csv:24|processed/iotsim-air-quality-1.csv:22,1,attack:46,1,processed:46
46,medium_support_val,16,2,processed/iotsim-combined-cycle-10.csv:10|processed/iotsim-air-quality-1.csv:6,1,attack:16,1,processed:16
46,medium_pseudo_query_dev,66,1,processed/iotsim-city-power-1.csv:66,1,attack:66,1,processed:66
46,medium_attack_eval_report_only,2250,3,processed/iotsim-building-monitor-1.csv:750|processed/iotsim-combined-cycle-1.csv:750|processed/iotsim-domotic-monitor-1.csv:750,1,attack:2250,1,processed:2250
46,heavy_support_train,21,1,processed/iotsim-ip-camera-street-1.csv:21,1,attack:21,1,processed:21
46,heavy_support_val,8,1,processed/iotsim-ip-camera-street-1.csv:8,1,attack:8,1,processed:8
46,heavy_pseudo_query_dev,35,1,processed/iotsim-ip-camera-museum-1.csv:35,1,attack:35,1,processed:35
46,dev_heavy_query_report_only,4000,2,processed/iotsim-ip-camera-museum-1.csv:2000|processed/iotsim-ip-camera-street-1.csv:2000,1,attack:4000,1,processed:4000
