seed,fit_mode,ood_weight,support_weight,fit_label,id_rows,ood_train_rows,support_train_rows,total_rows,id_weight,weighted_normal_to_attack_ratio
42,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,2400,1500,128,4028,1.0,16.40625
43,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,2400,1500,128,4028,1.0,16.40625
44,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,2400,1500,128,4028,1.0,16.40625
45,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,2400,1500,128,4028,1.0,16.40625
46,id_ood_support,4.0,4.0,old_weighted_id_ood_support_w4,2400,1500,128,4028,1.0,16.40625
42,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,2400,1500,128,4028,1.0,4.1015625
43,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,2400,1500,128,4028,1.0,4.1015625
44,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,2400,1500,128,4028,1.0,4.1015625
45,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,2400,1500,128,4028,1.0,4.1015625
46,id_ood_support,4.0,16.0,support_emphasis_id_ood_support_w16,2400,1500,128,4028,1.0,4.1015625
42,id_support_only,0.0,4.0,id_support_only_w4,2400,0,128,2528,1.0,4.6875
43,id_support_only,0.0,4.0,id_support_only_w4,2400,0,128,2528,1.0,4.6875
44,id_support_only,0.0,4.0,id_support_only_w4,2400,0,128,2528,1.0,4.6875
45,id_support_only,0.0,4.0,id_support_only_w4,2400,0,128,2528,1.0,4.6875
46,id_support_only,0.0,4.0,id_support_only_w4,2400,0,128,2528,1.0,4.6875
42,id_support_only,0.0,16.0,id_support_only_w16,2400,0,128,2528,1.0,1.171875
43,id_support_only,0.0,16.0,id_support_only_w16,2400,0,128,2528,1.0,1.171875
44,id_support_only,0.0,16.0,id_support_only_w16,2400,0,128,2528,1.0,1.171875
45,id_support_only,0.0,16.0,id_support_only_w16,2400,0,128,2528,1.0,1.171875
46,id_support_only,0.0,16.0,id_support_only_w16,2400,0,128,2528,1.0,1.171875
