feature_name,source,allowed_for_model_input
attack_score_margin,frozen_full115_attack_scorer,True
attack_score_positive_margin,frozen_full115_attack_scorer,True
d_attack_core_HH,attack_support_prototype_bank,True
d_attack_outer_HH,attack_support_pseudo_calibrated_bank,True
d_attack_core_HH_HpHp,attack_support_prototype_bank,True
d_attack_outer_HH_HpHp,attack_support_pseudo_calibrated_bank,True
d_benign_core_HH_jit,id_ood_stress_dev_prototype_bank,True
d_benign_core_MI_H_HHjit,id_ood_stress_dev_prototype_bank,True
d_benign_core_all115,id_ood_stress_dev_prototype_bank,True
d_attack_outer_min,derived_from_attack_distances,True
d_benign_core_min,derived_from_benign_distances,True
benign_minus_attack_distance,derived_distance_margin,True
