seed,role,risk_label,raw_alarm_rows,risk_train_rows,risk_calib_rows,used_for_risk_fit,used_for_controller_selection,is_report_only
42,id_calib,1,6,3,3,True,True,False
42,ood_val,1,1241,620,621,True,True,False
42,ood_stress_val,1,850,425,425,True,True,False
42,support_val,0,63,31,32,True,True,False
42,dev_future_near,0,346,173,173,True,True,False
42,dev_future_mid,0,339,169,170,True,True,False
42,dev_future_far,0,338,169,169,True,True,False
43,id_calib,1,6,3,3,True,True,False
43,ood_val,1,1241,620,621,True,True,False
43,ood_stress_val,1,850,425,425,True,True,False
43,support_val,0,63,31,32,True,True,False
43,dev_future_near,0,346,173,173,True,True,False
43,dev_future_mid,0,339,169,170,True,True,False
43,dev_future_far,0,338,169,169,True,True,False
44,id_calib,1,6,3,3,True,True,False
44,ood_val,1,1241,620,621,True,True,False
44,ood_stress_val,1,850,425,425,True,True,False
44,support_val,0,63,31,32,True,True,False
44,dev_future_near,0,346,173,173,True,True,False
44,dev_future_mid,0,339,169,170,True,True,False
44,dev_future_far,0,338,169,169,True,True,False
45,id_calib,1,6,3,3,True,True,False
45,ood_val,1,1241,620,621,True,True,False
45,ood_stress_val,1,850,425,425,True,True,False
45,support_val,0,63,31,32,True,True,False
45,dev_future_near,0,346,173,173,True,True,False
45,dev_future_mid,0,339,169,170,True,True,False
45,dev_future_far,0,338,169,169,True,True,False
46,id_calib,1,6,3,3,True,True,False
46,ood_val,1,1241,620,621,True,True,False
46,ood_stress_val,1,850,425,425,True,True,False
46,support_val,0,63,31,32,True,True,False
46,dev_future_near,0,346,173,173,True,True,False
46,dev_future_mid,0,339,169,170,True,True,False
46,dev_future_far,0,338,169,169,True,True,False
