seed,feature_set,model_kind,fit_rows,fit_attack_rows,fit_benign_ood_rows,select_rows,uses_report_only_for_fit_or_selection
42,current_evidence,logreg_balanced,3018,543,2475,3020,False
42,current_evidence,histgb_shallow,3018,543,2475,3020,False
42,past_temporal_only,logreg_balanced,3018,543,2475,3020,False
42,past_temporal_only,histgb_shallow,3018,543,2475,3020,False
42,current_plus_temporal,logreg_balanced,3018,543,2475,3020,False
42,current_plus_temporal,histgb_shallow,3018,543,2475,3020,False
43,current_evidence,logreg_balanced,3018,543,2475,3020,False
43,current_evidence,histgb_shallow,3018,543,2475,3020,False
43,past_temporal_only,logreg_balanced,3018,543,2475,3020,False
43,past_temporal_only,histgb_shallow,3018,543,2475,3020,False
43,current_plus_temporal,logreg_balanced,3018,543,2475,3020,False
43,current_plus_temporal,histgb_shallow,3018,543,2475,3020,False
44,current_evidence,logreg_balanced,3018,543,2475,3020,False
44,current_evidence,histgb_shallow,3018,543,2475,3020,False
44,past_temporal_only,logreg_balanced,3018,543,2475,3020,False
44,past_temporal_only,histgb_shallow,3018,543,2475,3020,False
44,current_plus_temporal,logreg_balanced,3018,543,2475,3020,False
44,current_plus_temporal,histgb_shallow,3018,543,2475,3020,False
45,current_evidence,logreg_balanced,3018,543,2475,3020,False
45,current_evidence,histgb_shallow,3018,543,2475,3020,False
45,past_temporal_only,logreg_balanced,3018,543,2475,3020,False
45,past_temporal_only,histgb_shallow,3018,543,2475,3020,False
45,current_plus_temporal,logreg_balanced,3018,543,2475,3020,False
45,current_plus_temporal,histgb_shallow,3018,543,2475,3020,False
46,current_evidence,logreg_balanced,3018,543,2475,3020,False
46,current_evidence,histgb_shallow,3018,543,2475,3020,False
46,past_temporal_only,logreg_balanced,3018,543,2475,3020,False
46,past_temporal_only,histgb_shallow,3018,543,2475,3020,False
46,current_plus_temporal,logreg_balanced,3018,543,2475,3020,False
46,current_plus_temporal,histgb_shallow,3018,543,2475,3020,False
