phase_mode,feature_set,seed,model_kind,fit_rows,fit_attack_rows,fit_benign_ood_rows,uses_report_only_for_fit_or_selection
time_half,current_plus_temporal,42,histgb_shallow,3018,543,2475,False
time_half,current_plus_temporal,43,histgb_shallow,3018,543,2475,False
time_half,current_plus_temporal,44,histgb_shallow,3018,543,2475,False
time_half,current_plus_temporal,45,histgb_shallow,3018,543,2475,False
time_half,current_plus_temporal,46,histgb_shallow,3018,543,2475,False
time_half,current_plus_temporal_no_parent_oodrisk,42,histgb_shallow,3018,543,2475,False
time_half,current_plus_temporal_no_parent_oodrisk,43,histgb_shallow,3018,543,2475,False
time_half,current_plus_temporal_no_parent_oodrisk,44,histgb_shallow,3018,543,2475,False
time_half,current_plus_temporal_no_parent_oodrisk,45,histgb_shallow,3018,543,2475,False
time_half,current_plus_temporal_no_parent_oodrisk,46,histgb_shallow,3018,543,2475,False
time_half,past_temporal_only,42,histgb_shallow,3018,543,2475,False
time_half,past_temporal_only,43,histgb_shallow,3018,543,2475,False
time_half,past_temporal_only,44,histgb_shallow,3018,543,2475,False
time_half,past_temporal_only,45,histgb_shallow,3018,543,2475,False
time_half,past_temporal_only,46,histgb_shallow,3018,543,2475,False
time_half,temporal_no_parent_oodrisk,42,histgb_shallow,3018,543,2475,False
time_half,temporal_no_parent_oodrisk,43,histgb_shallow,3018,543,2475,False
time_half,temporal_no_parent_oodrisk,44,histgb_shallow,3018,543,2475,False
time_half,temporal_no_parent_oodrisk,45,histgb_shallow,3018,543,2475,False
time_half,temporal_no_parent_oodrisk,46,histgb_shallow,3018,543,2475,False
time_half,current_evidence,42,histgb_shallow,3018,543,2475,False
time_half,current_evidence,43,histgb_shallow,3018,543,2475,False
time_half,current_evidence,44,histgb_shallow,3018,543,2475,False
time_half,current_evidence,45,histgb_shallow,3018,543,2475,False
time_half,current_evidence,46,histgb_shallow,3018,543,2475,False
time_half,current_no_parent_oodrisk,42,histgb_shallow,3018,543,2475,False
time_half,current_no_parent_oodrisk,43,histgb_shallow,3018,543,2475,False
time_half,current_no_parent_oodrisk,44,histgb_shallow,3018,543,2475,False
time_half,current_no_parent_oodrisk,45,histgb_shallow,3018,543,2475,False
time_half,current_no_parent_oodrisk,46,histgb_shallow,3018,543,2475,False
group_disjoint_source,current_plus_temporal,42,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_plus_temporal,43,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_plus_temporal,44,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_plus_temporal,45,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_plus_temporal,46,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_plus_temporal_no_parent_oodrisk,42,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_plus_temporal_no_parent_oodrisk,43,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_plus_temporal_no_parent_oodrisk,44,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_plus_temporal_no_parent_oodrisk,45,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_plus_temporal_no_parent_oodrisk,46,histgb_shallow,2390,390,2000,False
group_disjoint_source,past_temporal_only,42,histgb_shallow,2390,390,2000,False
group_disjoint_source,past_temporal_only,43,histgb_shallow,2390,390,2000,False
group_disjoint_source,past_temporal_only,44,histgb_shallow,2390,390,2000,False
group_disjoint_source,past_temporal_only,45,histgb_shallow,2390,390,2000,False
group_disjoint_source,past_temporal_only,46,histgb_shallow,2390,390,2000,False
group_disjoint_source,temporal_no_parent_oodrisk,42,histgb_shallow,2390,390,2000,False
group_disjoint_source,temporal_no_parent_oodrisk,43,histgb_shallow,2390,390,2000,False
group_disjoint_source,temporal_no_parent_oodrisk,44,histgb_shallow,2390,390,2000,False
group_disjoint_source,temporal_no_parent_oodrisk,45,histgb_shallow,2390,390,2000,False
group_disjoint_source,temporal_no_parent_oodrisk,46,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_evidence,42,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_evidence,43,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_evidence,44,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_evidence,45,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_evidence,46,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_no_parent_oodrisk,42,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_no_parent_oodrisk,43,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_no_parent_oodrisk,44,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_no_parent_oodrisk,45,histgb_shallow,2390,390,2000,False
group_disjoint_source,current_no_parent_oodrisk,46,histgb_shallow,2390,390,2000,False
