phase_mode,seed,role,groups,fit_rows,select_rows,report_only_rows,split_method,limitation
time_half,42,dev_future_far,5,169,170,0,time_half_within_role,
time_half,42,dev_future_mid,5,169,170,0,time_half_within_role,
time_half,42,dev_future_near,5,173,173,0,time_half_within_role,
time_half,42,final_ood_report_only,4,0,0,3000,time_half_within_role,
time_half,42,id_calib,1,300,300,0,time_half_within_role,
time_half,42,ood_stress_val,3,1425,1425,0,time_half_within_role,
time_half,42,ood_val,2,750,750,0,time_half_within_role,
time_half,42,sealed_dev_heavy_query_report_only,2,0,0,4000,time_half_within_role,
time_half,42,sealed_heavy_future_far,2,0,0,1332,time_half_within_role,
time_half,42,sealed_heavy_future_mid,2,0,0,1332,time_half_within_role,
time_half,42,sealed_heavy_future_near,2,0,0,1336,time_half_within_role,
time_half,42,sealed_medium_attack_eval_report_only,3,0,0,2250,time_half_within_role,
time_half,42,support_val,5,32,32,0,time_half_within_role,
time_half,43,dev_future_far,5,169,170,0,time_half_within_role,
time_half,43,dev_future_mid,5,169,170,0,time_half_within_role,
time_half,43,dev_future_near,5,173,173,0,time_half_within_role,
time_half,43,final_ood_report_only,4,0,0,3000,time_half_within_role,
time_half,43,id_calib,1,300,300,0,time_half_within_role,
time_half,43,ood_stress_val,3,1425,1425,0,time_half_within_role,
time_half,43,ood_val,2,750,750,0,time_half_within_role,
time_half,43,sealed_dev_heavy_query_report_only,2,0,0,4000,time_half_within_role,
time_half,43,sealed_heavy_future_far,2,0,0,1332,time_half_within_role,
time_half,43,sealed_heavy_future_mid,2,0,0,1332,time_half_within_role,
time_half,43,sealed_heavy_future_near,2,0,0,1336,time_half_within_role,
time_half,43,sealed_medium_attack_eval_report_only,3,0,0,2250,time_half_within_role,
time_half,43,support_val,5,32,32,0,time_half_within_role,
time_half,44,dev_future_far,5,169,170,0,time_half_within_role,
time_half,44,dev_future_mid,5,169,170,0,time_half_within_role,
time_half,44,dev_future_near,5,173,173,0,time_half_within_role,
