phase_mode,feature_set,seed,model_kind,fit_rows,fit_attack_rows,fit_benign_ood_rows,uses_report_only_for_fit_or_selection,source_feature_set
time_half,parent_oodrisk_plus_temporal,42,histgb_shallow,3018,543,2475,False,current_plus_temporal
time_half,parent_oodrisk_plus_temporal,43,histgb_shallow,3018,543,2475,False,current_plus_temporal
time_half,parent_oodrisk_plus_temporal,44,histgb_shallow,3018,543,2475,False,current_plus_temporal
time_half,parent_oodrisk_plus_temporal,45,histgb_shallow,3018,543,2475,False,current_plus_temporal
time_half,parent_oodrisk_plus_temporal,46,histgb_shallow,3018,543,2475,False,current_plus_temporal
time_half,unified_current_plus_temporal_no_parent,42,histgb_shallow,3018,543,2475,False,current_plus_temporal_no_parent_oodrisk
time_half,unified_current_plus_temporal_no_parent,43,histgb_shallow,3018,543,2475,False,current_plus_temporal_no_parent_oodrisk
time_half,unified_current_plus_temporal_no_parent,44,histgb_shallow,3018,543,2475,False,current_plus_temporal_no_parent_oodrisk
time_half,unified_current_plus_temporal_no_parent,45,histgb_shallow,3018,543,2475,False,current_plus_temporal_no_parent_oodrisk
time_half,unified_current_plus_temporal_no_parent,46,histgb_shallow,3018,543,2475,False,current_plus_temporal_no_parent_oodrisk
time_half,unified_current_only_no_parent,42,histgb_shallow,3018,543,2475,False,current_no_parent_oodrisk
time_half,unified_current_only_no_parent,43,histgb_shallow,3018,543,2475,False,current_no_parent_oodrisk
time_half,unified_current_only_no_parent,44,histgb_shallow,3018,543,2475,False,current_no_parent_oodrisk
time_half,unified_current_only_no_parent,45,histgb_shallow,3018,543,2475,False,current_no_parent_oodrisk
time_half,unified_current_only_no_parent,46,histgb_shallow,3018,543,2475,False,current_no_parent_oodrisk
time_half,unified_temporal_only_no_parent,42,histgb_shallow,3018,543,2475,False,temporal_no_parent_oodrisk
time_half,unified_temporal_only_no_parent,43,histgb_shallow,3018,543,2475,False,temporal_no_parent_oodrisk
time_half,unified_temporal_only_no_parent,44,histgb_shallow,3018,543,2475,False,temporal_no_parent_oodrisk
time_half,unified_temporal_only_no_parent,45,histgb_shallow,3018,543,2475,False,temporal_no_parent_oodrisk
time_half,unified_temporal_only_no_parent,46,histgb_shallow,3018,543,2475,False,temporal_no_parent_oodrisk
time_half,parent_current_only,42,histgb_shallow,3018,543,2475,False,current_evidence
time_half,parent_current_only,43,histgb_shallow,3018,543,2475,False,current_evidence
time_half,parent_current_only,44,histgb_shallow,3018,543,2475,False,current_evidence
time_half,parent_current_only,45,histgb_shallow,3018,543,2475,False,current_evidence
time_half,parent_current_only,46,histgb_shallow,3018,543,2475,False,current_evidence
group_disjoint_source,parent_oodrisk_plus_temporal,42,histgb_shallow,2390,390,2000,False,current_plus_temporal
group_disjoint_source,parent_oodrisk_plus_temporal,43,histgb_shallow,2390,390,2000,False,current_plus_temporal
group_disjoint_source,parent_oodrisk_plus_temporal,44,histgb_shallow,2390,390,2000,False,current_plus_temporal
group_disjoint_source,parent_oodrisk_plus_temporal,45,histgb_shallow,2390,390,2000,False,current_plus_temporal
group_disjoint_source,parent_oodrisk_plus_temporal,46,histgb_shallow,2390,390,2000,False,current_plus_temporal
group_disjoint_source,unified_current_plus_temporal_no_parent,42,histgb_shallow,2390,390,2000,False,current_plus_temporal_no_parent_oodrisk
group_disjoint_source,unified_current_plus_temporal_no_parent,43,histgb_shallow,2390,390,2000,False,current_plus_temporal_no_parent_oodrisk
group_disjoint_source,unified_current_plus_temporal_no_parent,44,histgb_shallow,2390,390,2000,False,current_plus_temporal_no_parent_oodrisk
group_disjoint_source,unified_current_plus_temporal_no_parent,45,histgb_shallow,2390,390,2000,False,current_plus_temporal_no_parent_oodrisk
group_disjoint_source,unified_current_plus_temporal_no_parent,46,histgb_shallow,2390,390,2000,False,current_plus_temporal_no_parent_oodrisk
group_disjoint_source,unified_current_only_no_parent,42,histgb_shallow,2390,390,2000,False,current_no_parent_oodrisk
group_disjoint_source,unified_current_only_no_parent,43,histgb_shallow,2390,390,2000,False,current_no_parent_oodrisk
group_disjoint_source,unified_current_only_no_parent,44,histgb_shallow,2390,390,2000,False,current_no_parent_oodrisk
group_disjoint_source,unified_current_only_no_parent,45,histgb_shallow,2390,390,2000,False,current_no_parent_oodrisk
group_disjoint_source,unified_current_only_no_parent,46,histgb_shallow,2390,390,2000,False,current_no_parent_oodrisk
group_disjoint_source,unified_temporal_only_no_parent,42,histgb_shallow,2390,390,2000,False,temporal_no_parent_oodrisk
group_disjoint_source,unified_temporal_only_no_parent,43,histgb_shallow,2390,390,2000,False,temporal_no_parent_oodrisk
group_disjoint_source,unified_temporal_only_no_parent,44,histgb_shallow,2390,390,2000,False,temporal_no_parent_oodrisk
group_disjoint_source,unified_temporal_only_no_parent,45,histgb_shallow,2390,390,2000,False,temporal_no_parent_oodrisk
group_disjoint_source,unified_temporal_only_no_parent,46,histgb_shallow,2390,390,2000,False,temporal_no_parent_oodrisk
group_disjoint_source,parent_current_only,42,histgb_shallow,2390,390,2000,False,current_evidence
group_disjoint_source,parent_current_only,43,histgb_shallow,2390,390,2000,False,current_evidence
group_disjoint_source,parent_current_only,44,histgb_shallow,2390,390,2000,False,current_evidence
group_disjoint_source,parent_current_only,45,histgb_shallow,2390,390,2000,False,current_evidence
group_disjoint_source,parent_current_only,46,histgb_shallow,2390,390,2000,False,current_evidence
