role,csv_member,pcap_member,proposed_rows,role_target_rows,planning_capacity_rows,estimate_source,report_only_role,sealed_final_role,selection_allowed,plan_rule
id_benign_train,processed/iotsim-cooler-motor-1.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,23217,151000,23217,verified_issue27bx_shortfall_available_exact_or_lower_bound,false,false,false,same_contract_role_capacity_aware
id_benign_train,processed/iotsim-cooler-motor-3.csv,raw/benign/iotsim-cooler-motor-3_0-0_to_OpenvSwitch-18_3-0.pcap,22478,151000,22478,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
id_benign_train,processed/iotsim-cooler-motor-4.csv,raw/benign/iotsim-cooler-motor-4_0-0_to_OpenvSwitch-18_4-0.pcap,22478,151000,22478,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
id_benign_train,processed/iotsim-cooler-motor-10.csv,raw/benign/iotsim-cooler-motor-10_0-0_to_OpenvSwitch-18_10-0.pcap,22476,151000,22476,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
id_benign_train,processed/iotsim-cooler-motor-14.csv,raw/benign/iotsim-cooler-motor-14_0-0_to_OpenvSwitch-20_4-0.pcap,22475,151000,22475,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
id_benign_train,processed/iotsim-cooler-motor-11.csv,raw/benign/iotsim-cooler-motor-11_0-0_to_OpenvSwitch-20_1-0.pcap,22472,151000,22472,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
id_benign_train,processed/iotsim-cooler-motor-13.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,15404,151000,22471,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
id_benign_calib,processed/iotsim-combined-cycle-tls-3.csv,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,1944,30000,1944,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
id_benign_calib,processed/iotsim-combined-cycle-tls-4.csv,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,1944,30000,1944,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
id_benign_calib,processed/iotsim-combined-cycle-tls-5.csv,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,1944,30000,1944,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
id_benign_calib,processed/iotsim-cooler-motor-7.csv,raw/benign/iotsim-cooler-motor-7_0-0_to_OpenvSwitch-18_7-0.pcap,22475,30000,22475,file_manifest_upper_bound_unverified_by_115d,false,false,false,same_contract_role_capacity_aware
id_benign_calib,processed/iotsim-cooler-motor-9.csv,raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap,1693,30000,22472,file_manifest_upper_bound_unverified_by_115d,false,false,false,same_contract_role_capacity_aware
ood_benign_val,processed/iotsim-hydraulic-system-1.csv,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,3869,24000,3869,verified_issue27bx_shortfall_available_exact_or_lower_bound,false,false,false,same_contract_role_capacity_aware
ood_benign_val,processed/iotsim-hydraulic-system-10.csv,raw/benign/iotsim-hydraulic-system-10_0-0_to_OpenvSwitch-15_10-0.pcap,2506,24000,2506,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
ood_benign_val,processed/iotsim-hydraulic-system-2.csv,raw/benign/iotsim-hydraulic-system-2_0-0_to_OpenvSwitch-15_2-0.pcap,2501,24000,2501,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
ood_benign_val,processed/iotsim-hydraulic-system-12.csv,raw/benign/iotsim-hydraulic-system-12_0-0_to_OpenvSwitch-16_2-0.pcap,2496,24000,2496,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
ood_benign_val,processed/iotsim-hydraulic-system-15.csv,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,2496,24000,2496,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
ood_benign_val,processed/iotsim-hydraulic-system-13.csv,raw/benign/iotsim-hydraulic-system-13_0-0_to_OpenvSwitch-16_3-0.pcap,2481,24000,2481,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
ood_benign_val,processed/iotsim-hydraulic-system-14.csv,raw/benign/iotsim-hydraulic-system-14_0-0_to_OpenvSwitch-16_4-0.pcap,2481,24000,2481,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
ood_benign_val,processed/iotsim-hydraulic-system-11.csv,raw/benign/iotsim-hydraulic-system-11_0-0_to_OpenvSwitch-16_1-0.pcap,2466,24000,2466,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
ood_benign_val,processed/iotsim-building-monitor-2.csv,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,1740,24000,1740,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
ood_benign_val,processed/iotsim-building-monitor-3.csv,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,964,24000,1740,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
ood_benign_stress,processed/iotsim-stream-consumer-2.csv,raw/benign/iotsim-stream-consumer-2_0-0_to_OpenvSwitch-30_2-0.pcap,80000,80000,465335,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,false,same_contract_role_capacity_aware
sealed_final_ood,processed/iotsim-ip-camera-museum-2.csv,raw/benign/iotsim-ip-camera-museum-2_0-0_to_OpenvSwitch-29_2-0.pcap,55000,55000,1232612,issue27bx_completed_target_plus_file_manifest_upper_bound,true,true,false,same_contract_role_capacity_aware
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,raw/benign/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,45000,45000,1513259,issue27bx_completed_target_plus_file_manifest_upper_bound,false,false,true,same_contract_role_capacity_aware
dev_future_attack_query,processed/iotsim-ip-camera-museum-1.csv,raw/benign/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,80000,80000,5922657,issue27bx_completed_target_plus_file_manifest_upper_bound,true,false,false,same_contract_role_capacity_aware
sealed_final_attack,processed/iotsim-ip-camera-street-1.csv,raw/benign/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,35000,35000,1629489,issue27bx_completed_target_plus_file_manifest_upper_bound,true,true,false,same_contract_role_capacity_aware
