role,csv_member,pcap_member,proposed_rows,role_target_rows,planning_capacity_rows,estimate_source,report_only_role,sealed_final_role,selection_allowed,plan_rule
id_benign_train,processed/iotsim-cooler-motor-1.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,23217,151000,23217,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
id_benign_train,processed/iotsim-cooler-motor-3.csv,raw/benign/iotsim-cooler-motor-3_0-0_to_OpenvSwitch-18_3-0.pcap,22478,151000,22478,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
id_benign_train,processed/iotsim-cooler-motor-4.csv,raw/benign/iotsim-cooler-motor-4_0-0_to_OpenvSwitch-18_4-0.pcap,22478,151000,22478,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
id_benign_train,processed/iotsim-cooler-motor-10.csv,raw/benign/iotsim-cooler-motor-10_0-0_to_OpenvSwitch-18_10-0.pcap,22476,151000,22476,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
id_benign_train,processed/iotsim-cooler-motor-14.csv,raw/benign/iotsim-cooler-motor-14_0-0_to_OpenvSwitch-20_4-0.pcap,22475,151000,22475,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
id_benign_train,processed/iotsim-cooler-motor-11.csv,raw/benign/iotsim-cooler-motor-11_0-0_to_OpenvSwitch-20_1-0.pcap,22472,151000,22472,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
id_benign_train,processed/iotsim-cooler-motor-13.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,15404,151000,22471,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
id_benign_calib,processed/iotsim-combined-cycle-tls-3.csv,raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,1944,80000,1944,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
id_benign_calib,processed/iotsim-combined-cycle-tls-4.csv,raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,1944,80000,1944,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
id_benign_calib,processed/iotsim-combined-cycle-tls-5.csv,raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,1944,80000,1944,issue27bx3_exact_cache_reuse_candidate,false,false,false,cache_preserving_base_500k_exact_target
