role,csv_member,cacheable,cache_status,cache_key,target_rows,emitted_rows,elapsed_seconds
id_benign_train,processed/iotsim-cooler-motor-1.csv,false,disabled_stateful_id_train,f157393e9b008674562ccc8af925cc81dda47004ae340a541df08cb59502f495,23217,23217,10.628
id_benign_train,processed/iotsim-cooler-motor-3.csv,false,disabled_stateful_id_train,d841a09d78068190a151adfcd9e311890ef382b76b12ca4de145e185f229546a,22478,22478,12.303
id_benign_train,processed/iotsim-cooler-motor-4.csv,false,disabled_stateful_id_train,986c4de1d418ce6ddadfa8fdf51de8f6ee7e0e5b8437ca34be83a19d4e8898b6,22478,22478,12.89
id_benign_train,processed/iotsim-cooler-motor-10.csv,false,disabled_stateful_id_train,8415ca623d088534dd00ef8021424c1bf4491f9e79a89ae238b60d5fcd9b67db,22476,22476,13.89
id_benign_train,processed/iotsim-cooler-motor-14.csv,false,disabled_stateful_id_train,fb0e2fd61ba2841065309335a8462cf8aabae48cbac851c2d05f35009a86ccff,22475,22475,14.146
id_benign_train,processed/iotsim-cooler-motor-11.csv,false,disabled_stateful_id_train,746df3c8f05bed90c5e63149877c1a3ab9d0c6fc58f3e99c32459466d1682161,22472,22472,15.373
id_benign_train,processed/iotsim-cooler-motor-13.csv,false,disabled_stateful_id_train,46811b2d133f095f53a7a069bc1060454fbe0ba989775a7f2c9f6961b81da2ac,15404,15404,10.125
id_benign_calib,processed/iotsim-combined-cycle-tls-3.csv,true,hit,84b564340b2823fa7e30a8800e47ced5306a056095635d4159f40ad18bea1a72,1944,1944,0.464
id_benign_calib,processed/iotsim-combined-cycle-tls-4.csv,true,hit,979e52574e84bcc38eaec049015786da6cfa0c015767330a8d24995a035aa75a,1944,1944,0.502
id_benign_calib,processed/iotsim-combined-cycle-tls-5.csv,true,hit,e3c6fb69c397dddfca4fc9f2200ea6ec2a5caee283f4b3b7afebe197fd6aaae3,1944,1944,0.49
id_benign_calib,processed/iotsim-cooler-motor-7.csv,true,hit,3fee5af8174fd1ca491c2062251d0022782492fd2a4f4a28b79ef3c31ae61652,22475,22475,1.201
id_benign_calib,processed/iotsim-cooler-motor-9.csv,true,hit,fc3c4faf6b531220b359a35311642a940c9f54194eb401b55c5681e9163ddf66,1693,1693,0.51
ood_benign_val,processed/iotsim-hydraulic-system-1.csv,true,hit,e7fec2e379f6a4700f645a315698825ad36aa2103d266a9eb25244671fd03025,3869,3869,0.55
ood_benign_val,processed/iotsim-hydraulic-system-10.csv,true,hit,cd9f437147a4f13ff148209f282d44a605f50e39e545092720bfff43a8ea8ee2,2506,2506,0.498
ood_benign_val,processed/iotsim-hydraulic-system-2.csv,true,hit,1cdb3b30a2056398b5510f26951e16f22a16ce3114665442f88bde628d7b596d,2501,2501,0.506
ood_benign_val,processed/iotsim-hydraulic-system-12.csv,true,hit,18a8cdb7b98b99073eee47226ee0c57347bcbcb6db641688f7ee761e164c736c,2496,2496,0.53
ood_benign_val,processed/iotsim-hydraulic-system-15.csv,true,hit,b4c01fc05c63768a7f177ec70eabfb24b307b6daf3b0a655aa7f9154770a5bf5,2496,2496,0.557
ood_benign_val,processed/iotsim-hydraulic-system-13.csv,true,hit,0fc2a601324f0b3b3ab6e83ca81e072643a82330aef411e960908473c831098e,2481,2481,0.572
ood_benign_val,processed/iotsim-hydraulic-system-14.csv,true,hit,dca5745722ca3dabf1712e6b8d0f468e04d87bc6cfcf971c3084b45a15a242b7,2481,2481,0.551
ood_benign_val,processed/iotsim-hydraulic-system-11.csv,true,hit,09a398d6fb1dfb4209f74ec424f929bec5e6396dba96d22fb326669adfa83f1b,2466,2466,0.593
ood_benign_val,processed/iotsim-building-monitor-2.csv,true,hit,423f5d7e6e0ad5e7ab7064c5a11b43acf977e5d3e1e96cac333b8eb94df55c00,1740,1740,0.53
ood_benign_val,processed/iotsim-building-monitor-3.csv,true,hit,5ce8e0abbbf4f923afd00276e2efa1c2a732e9df54096e526a29482085e23ae4,964,964,0.489
ood_benign_stress,processed/iotsim-stream-consumer-2.csv,true,hit,05aca9fb81b51383790a84293d23db860d67505b7995a7c68e1a8aac5c6230c3,80000,80000,3.292
sealed_final_ood,processed/iotsim-ip-camera-museum-2.csv,true,hit,40a3e850290ac6d2e0f15fb22d4df0596196f0fcb7d3321e31582419541d39e8,55000,55000,2.594
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,true,hit,eca88cb925b84e5834d6b253cface68b7d2ab5e577cf3481fb5cae64ff5cf575,45000,45000,2.214
dev_future_attack_query,processed/iotsim-ip-camera-museum-1.csv,true,hit,51f6434dcdd4788303097cb4fe5c00e52ee3503c1063f61f81ba385eb4c36cd0,80000,80000,3.523
sealed_final_attack,processed/iotsim-ip-camera-street-1.csv,true,hit,ec36bcc4f5a82808547c9d77fea7d2cadd15a2235395f341bb72fcf1289f1b8b,35000,35000,1.96
id_benign_calib,processed/iotsim-cooler-motor-5.csv,true,hit,afe93b962694c4c57d8487b638eb82795019aef9ca832c60dca794815856d9e0,22471,22471,1.421
id_benign_calib,processed/iotsim-cooler-motor-6.csv,true,hit,2fd27fceea6dda63680248dadced04c94c176b14a809ed4b5235324a82419f0f,22468,22468,1.298
id_benign_calib,processed/iotsim-cooler-motor-8.csv,true,hit,54ea8011e35c513ce18bf3140832cf422d883a07f5c432fc417c6d6cf962c438,5061,5061,0.639
ood_benign_stress,processed/iotsim-stream-consumer-1.csv,true,hit,792e888f2c6b0a994383a8a3a08304e32ae989287589b5e8b3ac68e2137c1545,150000,150000,5.968
sealed_final_ood,processed/iotsim-ip-camera-street-2.csv,true,hit,b234d888904e1e295d9eacd91a5b017e74de0365de264a6221d5075b286b5a72,100000,100000,4.648
attack_support_candidate_pool,processed/iotsim-air-quality-1.csv,true,hit,a5c05f4f382f30c12196cc1c363430e4d17197bc0da57086ec343c6a986ccd37,45000,45000,2.259
dev_future_attack_query,processed/iotsim-building-monitor-1.csv,true,hit,25059fdf510d6796af01a1a63de89cdb6334b62c6336e8f0a3e8b0c3584fef66,80000,80000,3.782
dev_future_attack_query,processed/iotsim-domotic-monitor-1.csv,true,hit,4adc0a6307a46b8d42ae502f841cefa67f2fd2fe667f7cadedc8f1c276d81735,75000,75000,3.491
