feature_index,feature_name,finite_rate,nan_count,inf_count,std,min,max
0,MI_dir_5_weight,1.0,0,0,5667.8466796875,1.0,31660.220703125
1,MI_dir_5_mean,1.0,0,0,659.9263916015625,42.0,1514.0
2,MI_dir_5_std,1.0,0,0,65075.73046875,0.0,540588.0
3,MI_dir_3_weight,1.0,0,0,5663.458984375,1.0,31660.55078125
4,MI_dir_3_mean,1.0,0,0,657.992431640625,42.0,1514.0
5,MI_dir_3_std,1.0,0,0,64588.71484375,0.0,541692.625
6,MI_dir_1_weight,1.0,0,0,5641.6240234375,1.0,31662.400390625
7,MI_dir_1_mean,1.0,0,0,655.458984375,42.0,1514.0
8,MI_dir_1_std,1.0,0,0,64059.41796875,0.0,541234.1875
9,MI_dir_0.1_weight,1.0,0,0,5454.08837890625,1.0,31689.076171875
10,MI_dir_0.1_mean,1.0,0,0,652.394775390625,42.0,1514.0
11,MI_dir_0.1_std,1.0,0,0,67573.2265625,0.0,532779.6875
12,MI_dir_0.01_weight,1.0,0,0,7811.58251953125,1.0,31924.103515625
13,MI_dir_0.01_mean,1.0,0,0,654.5068969726562,42.0,1514.0
14,MI_dir_0.01_std,1.0,0,0,64281.26171875,0.0,511171.5
15,H_5_weight,1.0,0,0,11668.490234375,1.0,63317.44921875
16,H_5_mean,1.0,0,0,659.96337890625,42.0,1514.0
17,H_5_std,1.0,0,0,65062.6015625,0.0,541372.6875
18,H_3_weight,1.0,0,0,11659.5283203125,1.0,63318.12109375
19,H_3_mean,1.0,0,0,658.0276489257812,42.0,1514.0
20,H_3_std,1.0,0,0,64636.68359375,0.0,540891.625
21,H_1_weight,1.0,0,0,11614.8916015625,1.0,63321.84765625
22,H_1_mean,1.0,0,0,655.4541625976562,42.0,1514.0
23,H_1_std,1.0,0,0,64274.640625,0.0,540949.5625
24,H_0.1_weight,1.0,0,0,11223.5595703125,1.0,63375.15234375
25,H_0.1_mean,1.0,0,0,652.386474609375,42.0,1514.0
26,H_0.1_std,1.0,0,0,67620.4921875,0.0,532650.3125
27,H_0.01_weight,1.0,0,0,15724.8583984375,1.0,63845.4140625
28,H_0.01_mean,1.0,0,0,654.5404663085938,42.0,1514.0
29,H_0.01_std,1.0,0,0,64280.69140625,0.0,503852.03125
30,HH_5_weight_0,1.0,0,0,11668.490234375,2.0,63318.44921875
31,HH_5_mean_0,1.0,0,0,659.9558715820312,42.0,1514.0
32,HH_5_std_0,1.0,0,0,65075.66796875,0.0,540588.0
33,HH_5_radius_0_1,1.0,0,0,69053.6796875,0.0,683729.9375
34,HH_5_magnitude_0_1,1.0,0,0,645.3853149414062,42.0,1626.083984375
35,HH_5_covariance_0_1,1.0,0,0,5244.9814453125,-502326.0,32156.4296875
36,HH_5_pcc_0_1,1.0,0,0,4723.98779296875,-1573076.75,1289615.375
