selector,budget,selected_rows,attack_type_count,file_count,phase_count,region_bucket_count,selected_attack_types,selected_files,selected_phases,selected_region_buckets
random_seed42,32,32,1,2,4,6,"{""Telnet Brute Force"": 32}","{""processed/iotsim-air-quality-1.csv"": 13, ""processed/iotsim-city-power-1.csv"": 19}","{""tail_gt_10000"": 25, ""late_2000_10000"": 5, ""early_0_500"": 1, ""mid_500_2000"": 1}",6
global_kcenter_standardized115_sampled_pool,32,32,1,2,2,4,"{""Telnet Brute Force"": 32}","{""processed/iotsim-air-quality-1.csv"": 16, ""processed/iotsim-city-power-1.csv"": 16}","{""tail_gt_10000"": 27, ""late_2000_10000"": 5}",4
phase_file_balanced_kcenter_standardized115_v1,32,32,1,2,4,8,"{""Telnet Brute Force"": 32}","{""processed/iotsim-air-quality-1.csv"": 17, ""processed/iotsim-city-power-1.csv"": 15}","{""early_0_500"": 6, ""late_2000_10000"": 7, ""mid_500_2000"": 6, ""tail_gt_10000"": 13}",8
random_seed42,64,64,1,2,4,7,"{""Telnet Brute Force"": 64}","{""processed/iotsim-air-quality-1.csv"": 25, ""processed/iotsim-city-power-1.csv"": 39}","{""tail_gt_10000"": 50, ""late_2000_10000"": 9, ""early_0_500"": 1, ""mid_500_2000"": 4}",7
global_kcenter_standardized115_sampled_pool,64,64,1,2,4,6,"{""Telnet Brute Force"": 64}","{""processed/iotsim-air-quality-1.csv"": 36, ""processed/iotsim-city-power-1.csv"": 28}","{""tail_gt_10000"": 55, ""late_2000_10000"": 7, ""early_0_500"": 1, ""mid_500_2000"": 1}",6
phase_file_balanced_kcenter_standardized115_v1,64,64,1,2,4,8,"{""Telnet Brute Force"": 64}","{""processed/iotsim-air-quality-1.csv"": 34, ""processed/iotsim-city-power-1.csv"": 30}","{""early_0_500"": 10, ""late_2000_10000"": 14, ""mid_500_2000"": 12, ""tail_gt_10000"": 28}",8
random_seed42,128,128,1,2,4,7,"{""Telnet Brute Force"": 128}","{""processed/iotsim-air-quality-1.csv"": 58, ""processed/iotsim-city-power-1.csv"": 70}","{""tail_gt_10000"": 106, ""late_2000_10000"": 16, ""early_0_500"": 1, ""mid_500_2000"": 5}",7
global_kcenter_standardized115_sampled_pool,128,128,1,2,4,7,"{""Telnet Brute Force"": 128}","{""processed/iotsim-air-quality-1.csv"": 66, ""processed/iotsim-city-power-1.csv"": 62}","{""tail_gt_10000"": 111, ""late_2000_10000"": 12, ""early_0_500"": 2, ""mid_500_2000"": 3}",7
phase_file_balanced_kcenter_standardized115_v1,128,128,1,2,4,8,"{""Telnet Brute Force"": 128}","{""processed/iotsim-air-quality-1.csv"": 68, ""processed/iotsim-city-power-1.csv"": 60}","{""early_0_500"": 20, ""late_2000_10000"": 28, ""mid_500_2000"": 21, ""tail_gt_10000"": 59}",8
random_seed42,256,256,1,2,4,7,"{""Telnet Brute Force"": 256}","{""processed/iotsim-air-quality-1.csv"": 122, ""processed/iotsim-city-power-1.csv"": 134}","{""tail_gt_10000"": 206, ""late_2000_10000"": 41, ""early_0_500"": 2, ""mid_500_2000"": 7}",7
global_kcenter_standardized115_sampled_pool,256,256,1,2,4,8,"{""Telnet Brute Force"": 256}","{""processed/iotsim-air-quality-1.csv"": 127, ""processed/iotsim-city-power-1.csv"": 129}","{""tail_gt_10000"": 219, ""late_2000_10000"": 27, ""early_0_500"": 4, ""mid_500_2000"": 6}",8
phase_file_balanced_kcenter_standardized115_v1,256,256,1,2,4,8,"{""Telnet Brute Force"": 256}","{""processed/iotsim-air-quality-1.csv"": 139, ""processed/iotsim-city-power-1.csv"": 117}","{""early_0_500"": 24, ""late_2000_10000"": 53, ""mid_500_2000"": 28, ""tail_gt_10000"": 151}",8
