requested_role,csv_member,attack_type,phase,first_segment_start_row,last_segment_end_row,segment_count,available_rows,requested_target_rows,selection_allowed,report_only,sealed_final,priority,notes
attack_support_candidate_pool,processed/iotsim-air-quality-1.csv,Ingress Tool Transfer,late_2000_10000,6511,6808,4,108,0,true,false,false,low_tiny_segment_diagnostic_only,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-air-quality-1.csv,Ingress Tool Transfer,tail_gt_10000,12816,12816,1,1,0,true,false,false,low_tiny_segment_diagnostic_only,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-air-quality-1.csv,TCP Scan,late_2000_10000,4350,10131,180,3335,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-air-quality-1.csv,TCP Scan,tail_gt_10000,10142,49901,1095,21354,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-air-quality-1.csv,Telnet Brute Force,late_2000_10000,2636,9934,184,3973,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-air-quality-1.csv,Telnet Brute Force,tail_gt_10000,10132,49899,1104,18191,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-air-quality-1.csv,Unknown,tail_gt_10000,54023,55003,12,857,0,true,false,false,excluded_label_not_support,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,Ingress Tool Transfer,late_2000_10000,5096,5299,3,104,0,true,false,false,low_tiny_segment_diagnostic_only,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,Ingress Tool Transfer,tail_gt_10000,11472,11472,1,1,0,true,false,false,low_tiny_segment_diagnostic_only,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,Merlin ICMP Flooding,tail_gt_10000,1480798,1495235,9,9573,9573,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,Merlin TCP Flooding,tail_gt_10000,1495447,1515484,2,20000,20000,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,Merlin UDP Flooding,tail_gt_10000,1490398,1495408,9,5000,5000,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,Mirai GRE Flooding,tail_gt_10000,1104853,1480187,25,375303,20000,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,Mirai TCP Flooding,tail_gt_10000,515462,1104840,2,589373,20000,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,Mirai UDP Flooding,tail_gt_10000,49191,1479569,25,466303,20000,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,TCP Scan,late_2000_10000,2640,10037,309,3979,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,TCP Scan,tail_gt_10000,10039,42217,1085,18019,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,Telnet Brute Force,late_2000_10000,2643,9956,309,3295,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,Telnet Brute Force,mid_500_2000,722,2639,1,1918,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,Telnet Brute Force,tail_gt_10000,10038,48504,1091,20391,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-city-power-1.csv,Unknown,tail_gt_10000,1515523,1516412,7,852,0,true,false,false,excluded_label_not_support,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-combined-cycle-10.csv,C&C Communication,tail_gt_10000,18114,137141,40,90,0,true,false,false,low_tiny_segment_diagnostic_only,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-combined-cycle-10.csv,File Download,tail_gt_10000,16611,17825,5,1210,1210,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-combined-cycle-10.csv,Ingress Tool Transfer,tail_gt_10000,16415,126688,2067,3206,3206,true,false,false,high_missing_attack_type,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-combined-cycle-10.csv,Reporting,tail_gt_10000,47300,109334,26,64,0,true,false,false,low_tiny_segment_diagnostic_only,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-combined-cycle-10.csv,TCP Scan,late_2000_10000,2534,10002,289,2977,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-combined-cycle-10.csv,TCP Scan,tail_gt_10000,10007,137165,3560,103023,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
attack_support_candidate_pool,processed/iotsim-combined-cycle-10.csv,Telnet Brute Force,early_0_500,398,1807,1,1410,0,true,false,false,low_existing_label_covered,future_targeted_materialization_only_do_not_reassign_current_report_only_rows
