csv_member,segment_id,label,segment_start_row,segment_end_row,segment_rows,first_attack_row,phase_at_start
processed/iotsim-air-quality-1.csv,0,Telnet Brute Force,2636,2637,2,2636,early_0_500
processed/iotsim-air-quality-1.csv,1,Telnet Brute Force,2646,2858,213,2636,early_0_500
processed/iotsim-air-quality-1.csv,2,Telnet Brute Force,2863,2903,41,2636,early_0_500
processed/iotsim-air-quality-1.csv,3,Telnet Brute Force,2912,3319,408,2636,early_0_500
processed/iotsim-air-quality-1.csv,4,Telnet Brute Force,3324,3560,237,2636,mid_500_2000
processed/iotsim-air-quality-1.csv,5,Telnet Brute Force,3569,3967,399,2636,mid_500_2000
processed/iotsim-air-quality-1.csv,6,Telnet Brute Force,3972,3995,24,2636,mid_500_2000
processed/iotsim-air-quality-1.csv,7,Telnet Brute Force,4004,4349,346,2636,mid_500_2000
processed/iotsim-air-quality-1.csv,8,TCP Scan,4350,4351,2,2636,mid_500_2000
processed/iotsim-air-quality-1.csv,9,Telnet Brute Force,4352,4382,31,2636,mid_500_2000
processed/iotsim-air-quality-1.csv,10,TCP Scan,4383,4452,70,2636,mid_500_2000
processed/iotsim-air-quality-1.csv,11,Telnet Brute Force,4453,4476,24,2636,mid_500_2000
processed/iotsim-air-quality-1.csv,12,Telnet Brute Force,4481,4827,347,2636,mid_500_2000
processed/iotsim-air-quality-1.csv,13,TCP Scan,4828,4877,50,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,14,Telnet Brute Force,4886,4893,8,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,15,TCP Scan,4894,4895,2,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,16,Telnet Brute Force,4896,4896,1,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,17,TCP Scan,4897,4908,12,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,18,Telnet Brute Force,4909,4909,1,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,19,TCP Scan,4910,4913,4,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,20,Telnet Brute Force,4914,4918,5,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,21,TCP Scan,4919,4955,37,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,22,Telnet Brute Force,4956,4963,8,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,23,TCP Scan,4964,4971,8,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,24,Telnet Brute Force,4972,4974,3,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,25,TCP Scan,4975,4978,4,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,26,Telnet Brute Force,4979,4979,1,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,27,TCP Scan,4980,4983,4,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,28,Telnet Brute Force,4984,4987,4,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,29,TCP Scan,4988,4988,1,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,30,Telnet Brute Force,4989,5025,37,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,31,TCP Scan,5026,5028,3,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,32,Telnet Brute Force,5029,5030,2,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,33,TCP Scan,5031,5033,3,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,34,Telnet Brute Force,5034,5041,8,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,35,TCP Scan,5042,5045,4,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,36,Telnet Brute Force,5046,5047,2,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,37,TCP Scan,5048,5074,27,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,38,Telnet Brute Force,5075,5076,2,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,39,TCP Scan,5077,5085,9,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,40,Telnet Brute Force,5086,5089,4,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,41,TCP Scan,5090,5090,1,2636,late_2000_10000
processed/iotsim-air-quality-1.csv,42,Telnet Brute Force,5091,5099,9,2636,late_2000_10000
