csv_member,attack_type,preferred_pcap_candidate,all_pcap_candidates,pcap_pairing_confidence,requires_pcap_pairing_verification,planned_rows,plan_roles
processed/iotsim-air-quality-1.csv,Ingress Tool Transfer,raw/malicious/mirai-infection/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,raw/malicious/mirai-infection/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap|raw/malicious/mirai-dos/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap|raw/malicious/network-scanning/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,medium_scenario_token_match,false,109,dev_future_attack_query_exact
processed/iotsim-air-quality-1.csv,TCP Scan,raw/malicious/network-scanning/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,raw/malicious/mirai-infection/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap|raw/malicious/mirai-dos/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap|raw/malicious/network-scanning/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,medium_scenario_token_match,false,12000,dev_future_attack_query_exact
processed/iotsim-air-quality-1.csv,Telnet Brute Force,raw/malicious/network-scanning/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,raw/malicious/mirai-infection/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap|raw/malicious/mirai-dos/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap|raw/malicious/network-scanning/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,medium_scenario_token_match,false,12000,dev_future_attack_query_exact
processed/iotsim-building-monitor-1.csv,C&C Communication,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/network-scanning/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,medium_multiple_scenario_candidates,true,84,dev_future_attack_query_exact
processed/iotsim-building-monitor-1.csv,File Download,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/network-scanning/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,medium_multiple_scenario_candidates,true,1191,dev_future_attack_query_exact
processed/iotsim-building-monitor-1.csv,Ingress Tool Transfer,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/network-scanning/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,medium_multiple_scenario_candidates,true,3754,dev_future_attack_query_exact
processed/iotsim-building-monitor-1.csv,Merlin C&C Communication,raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/network-scanning/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,medium_scenario_token_match,false,9657,dev_future_attack_query_exact
processed/iotsim-building-monitor-1.csv,Merlin ICMP Flooding,raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/network-scanning/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,medium_scenario_token_match,false,9150,dev_future_attack_query_exact
processed/iotsim-building-monitor-1.csv,Merlin TCP Flooding,raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/network-scanning/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,medium_scenario_token_match,false,12000,dev_future_attack_query_exact
processed/iotsim-building-monitor-1.csv,Merlin UDP Flooding,raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/network-scanning/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,medium_scenario_token_match,false,5000,dev_future_attack_query_exact
processed/iotsim-building-monitor-1.csv,Mirai C&C Communication,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/network-scanning/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,medium_scenario_token_match,false,358,dev_future_attack_query_exact
processed/iotsim-building-monitor-1.csv,Mirai GRE Flooding,raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,raw/malicious/mirai-infection/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap|raw/malicious/network-scanning/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,medium_scenario_token_match,false,12000,dev_future_attack_query_exact
