device_or_source_group,exact_attack_label,pcap_path,phase,region_id,rows,semantic_attack_group
combined-cycle,Ingress Tool Transfer,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,tail_gt_10000,region_0369e547dd6b,801,tooling
city-power,Merlin TCP Flooding,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,region_077018d36485,5000,merlin
ip-camera-museum,Merlin UDP Flooding,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,region_30a0d8207839,1250,merlin
city-power,Mirai TCP Flooding,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,region_344545fea0a2,8000,mirai
ip-camera-museum,Merlin TCP Flooding,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,region_45769f242726,5000,merlin
ip-camera-museum,Mirai UDP Flooding,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,region_6f947c21c48d,8000,mirai
combined-cycle,File Download,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,tail_gt_10000,region_70bad82822ac,605,tooling
ip-camera-museum,Mirai C&C Communication,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,region_74b6b93e3434,250,mirai
ip-camera-museum,Merlin C&C Communication,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,region_8d047f00b4b5,2441,merlin
city-power,Merlin UDP Flooding,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,region_ad3ddb47cfbf,1250,merlin
city-power,Merlin ICMP Flooding,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,region_bd932a2b754c,2393,merlin
ip-camera-museum,Mirai GRE Flooding,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,region_c142ef6aec60,8000,mirai
ip-camera-museum,Mirai TCP Flooding,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,region_c53fc20d6dca,8000,mirai
ip-camera-museum,Merlin ICMP Flooding,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,region_e8c67037b292,2502,merlin
city-power,Mirai GRE Flooding,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,region_f314a58786c4,8000,mirai
city-power,Mirai UDP Flooding,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,region_fd5bc0e81f49,8000,mirai
