attack_type,block_end,block_start,chunk_id,device,global_max_timestamp_abs_diff_seconds,meta_sha256,pcap_member,phase,rows,sidecar_sha256,timestamp_tolerance_seconds,x_sha256,y_sha256
Merlin ICMP Flooding,2392,0,1,city-power,1.90734863281e-06,c3d7dd25ac88405b9a5bded6497092cc40655968c34f9b24060516508e9ae956,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,2393,637fcabb116340f3509842c41fc6109b4626bdf26febf690e2d01ef53a4f0606,2e-06,3573f845f9e8d3c49d064cd31ae97543c20294dea7d7f02826accd884ddb5d4d,93ae0626c3ec875de4c8b0b8b86e7c28fd34c757aa75ffa12613805f7c9ded33
Merlin TCP Flooding,7392,2393,2,city-power,1.90734863281e-06,c7ed0731b3f7e81e161af00606f505a547c37519549e64ee9f8522b0db537745,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,5000,88a0777929b2ac60c9be7a90f618135eca298ed07b1b07484ee3f61b698e846f,2e-06,152c65aa5500aa1881a1bde00cf2c912e347b7e5f298ea82f14a1af5c50c9041,42c945db4f646d55f63642fc426d2ad64773052d2c79913defddb0d50c09a143
Merlin UDP Flooding,8642,7393,3,city-power,1.90734863281e-06,5ee84c73caa2ab5a115979b208702619dcb44656ed89ebbd71c511122cbb1e8c,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,1250,ed5a0eec80bb60df382a21d9d746c0579adeea3af3038d7fe0b623194c7e77a3,2e-06,a560708232a5991b6b9faf75d6e74dddc7c881b4d15ce000734c45a7a0d73931,eaaa8269a2133d1da4713c15ff09f3d7782c277843c2d6ca036d6066097e5c04
Mirai GRE Flooding,16642,8643,4,city-power,1.90734863281e-06,f21f0f6f5139537b731e80fb15a6c1f244b16561e9cff597a0d147bc9f2810ad,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,8000,1df8110cb85894556ef8e20abc94af8ab99681170b9fca9f9665b0bac0301ff8,2e-06,8ece7e0a139f8d4d3774d94034b382dec34122be2913345aacb7844d9fa62105,49cd60e24b7254e9d8537621a81d4111eed38f34221c2d4d1c60f5a924bff398
Mirai TCP Flooding,24642,16643,5,city-power,1.90734863281e-06,7bdfc1b6679304c7d8f071e3113077e9652690a06668861c3369a0f468a65914,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,8000,32e11f8aae1286f2ae1b1bada287f94ec6714faafbe16e22bc132a016534ba60,2e-06,5756b62b501194bab4cc88fcde13a9912acc8c7fd020d9771dde5ae3aced33d7,49cd60e24b7254e9d8537621a81d4111eed38f34221c2d4d1c60f5a924bff398
Mirai UDP Flooding,32642,24643,6,city-power,1.90734863281e-06,99ced66e71a399d8f8bd9b5b95d7c90a860e2816ac69c3b5704c3662a11d8674,raw/malicious/mirai-dos/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,tail_gt_10000,8000,60ec5e4181f51aaf642e694c3fd68e00c40a2fb156c3a925ba268758558eceff,2e-06,bc701d94f0607fd428a6dd43144a9a95dfdd9c50141d8cefb6058e55c2910404,49cd60e24b7254e9d8537621a81d4111eed38f34221c2d4d1c60f5a924bff398
File Download,33247,32643,7,combined-cycle,1.90734863281e-06,9e31a14e281d734f21f185b56ef73ef19f5fb2a7adcec9c66505917d32346a70,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,tail_gt_10000,605,fe8a95f424fc3bc7896992e88afae2648d0b9c5780019f1aa1cc3a3a1a565343,2e-06,b1767737a0ef5a99809e012fb8db081d2d28f37289b8f1a132d88a9172d24b6f,e2b9a913d18d167d6be04247d6f4c1c702755dfb06c3cd104e2a62aed0608dae
Ingress Tool Transfer,34048,33248,8,combined-cycle,1.90734863281e-06,0b8f76b99f197f6f92d385a4bc10d24b8cf66891d80b851927f5f5d1ba83b0cc,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,tail_gt_10000,801,b574e3ba8892cb1d925c0059ea5e61e800c9bc70af0ebe1b2e5e647c4803f8be,2e-06,f5a92ef3b729a1e20473abb3251d76ec432d0c196774931a9e0359a2cca6bcd5,acfe344203f7f05bf7309582691bb6660cb761eeb4951020dd4d5a23506e91de
Merlin C&C Communication,36489,34049,9,ip-camera-museum,1.90734863281e-06,698cd33e92875882163820472b62694b336f3381d5159176ddb27f12aa57719c,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,2441,6e726fd73c6ae4520295db03d385311a380656e7e549bbe439d3f120ee6ceb76,2e-06,a64af011d748e38c9ae446e09a7af2297664dd63a0c0675835d856b5024aa224,f89bfd95f5bdfcf26e79191416e73397d1bb27bc5826a6aa423aaaa23f565c8e
Merlin ICMP Flooding,38991,36490,10,ip-camera-museum,1.90734863281e-06,1348a72d8c841752214cc929cfada62ada8544e5c57397be0c2b46308eee81ce,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,2502,59073f186cd969f04dab2469e611f6f561caa8e591b17233ef9f50cf2e80f9f4,2e-06,eb5d95938841198fc239be525bac1d0e26521c3694451ea0ad153274567cc4cd,c6c95a659c3d4a714a34d9cfb5a4fa0ea2cafaf991498359ff4155a3a24cc903
Merlin TCP Flooding,43991,38992,11,ip-camera-museum,1.90734863281e-06,8fa469c237657a211a4e326658c389e235cb0927864b765b89ee0c4653fa54e4,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,5000,6527721f8bffe0109886062367bd920bba984613b6af5dfe39155229b11f09b9,2e-06,c06bab35800d2c0d76020ce879f53611968bed8ea00103e4feb4b11f5de0ad48,42c945db4f646d55f63642fc426d2ad64773052d2c79913defddb0d50c09a143
Merlin UDP Flooding,45241,43992,12,ip-camera-museum,1.90734863281e-06,0935220098f1e7601b2ba27e7055a8374a41e34e0d74093f3df7cbeef7ca0958,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,1250,2c44e9e1f97aed5de9f0de1ee70a559935fbde89560f693764599462360107da,2e-06,f7434324e524ff497adae65401f81d9a3007955f42dca9309bbd056911efb7db,eaaa8269a2133d1da4713c15ff09f3d7782c277843c2d6ca036d6066097e5c04
Mirai C&C Communication,45491,45242,13,ip-camera-museum,1.90734863281e-06,79103e4339494f774da33ef06b4e4142a8a48a4f0ce0b0fd85201f9d75f7370f,raw/malicious/mirai-infection/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,250,9886e6af3efc53309223f53d71a21965e319b6ae7ece3945233d17e0e6b09abb,2e-06,ddbf6550664b1b1ad1b351544efb08d9b35767a7367a9192cca26e632f64d45b,f152834d25855ffdb2c11db9f517f5289075f6c8761d53d376d1eff2bbc551d7
Mirai GRE Flooding,53491,45492,14,ip-camera-museum,1.90734863281e-06,1b1a20bea64a4a5d8eac2bd563717609ab2e969b07a981ff15ba03f5cfbd2b5a,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,8000,3d9fafd2ac033ff5ace78b18b8cebc6b0f1aded5fafc377da6c1d9791a459984,2e-06,70483fe259af372f4b8144b8a76287584f7f7a9549ae587ab5eada693c8f7933,49cd60e24b7254e9d8537621a81d4111eed38f34221c2d4d1c60f5a924bff398
Mirai TCP Flooding,61491,53492,15,ip-camera-museum,1.90734863281e-06,fd9d26c011dd88f96f021fa0ed4255eac965811d332a87ec32259e3269f11491,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,8000,caf230555d1475f161cbb1f89a2abf904d3ccaed442751fc51882be53542043a,2e-06,abefaf57dddb953ba213c1f29f50c258c08b8774e12c7af8960df2f796048b04,49cd60e24b7254e9d8537621a81d4111eed38f34221c2d4d1c60f5a924bff398
Mirai UDP Flooding,69491,61492,16,ip-camera-museum,1.90734863281e-06,1cb176a4040e7904940ff8e0999ac77763b2563ec1ef67b7656c5076241f2d9b,raw/malicious/mirai-dos/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,tail_gt_10000,8000,37b03754870700801381492c40f694f8d1f2a7680ba9b2a6f8b833205d4651e8,2e-06,37e88036dab869d97788ed03f387fa66f9f57173ce71008c5dfc85cfb3322f3a,49cd60e24b7254e9d8537621a81d4111eed38f34221c2d4d1c60f5a924bff398
